lat,lng,formatted_address,city,uf,cep
-23.20242,-46.89193,"Fagron Technologies, Avenida Nove de Julho, 3575, Bonfiglioli, Jundiaí - SP, 13207-480, Brasil",Jundiaí,SP,13207-480
-22.7201,-47.34751,"Rua Aurélio Cibim, 109, Morada do Sol, Americana - SP, 13470-241, Brasil",Americana,SP,13470-241
-23.56476,-46.61961,"Rua da Independência, 165, Cambuci, São Paulo - SP, 01524-000, Brasil",São Paulo,SP,01524-000
-22.89391,-47.06417,"Rua Tiradentes, 313, Vila Itapura, Campinas - SP, 13023-190, Brasil",Campinas,SP,13023-190
-22.96968,-47.01227,"Avenida Invernada, 1963, Invernada, Valinhos - SP, 13271-450, Brasil",Valinhos,SP,13271-450
-22.75337,-47.36101,"Consultório Odontológico Leandra Roberta Gotti, Rua do Chumbo, 741, Jardim Mollon, Santa Bárbara d'Oeste - SP, 13468-600, Brasil",Santa Bárbara d'Oeste,SP,13468-600
-23.19205,-46.90352,"Cronix Security, Anhangabaú, Jundiaí - SP, 13208-703, Brasil",Jundiaí,SP,13208-703
-23.18325,-46.89278,"Renata Silva - Clinic & Academy, Avenida Capitão Cassiano Ricardo Toledo, 190, Centro, Jundiaí - SP, 13201-840, Brasil",Jundiaí,SP,13201-840
-23.18898,-46.90204,"Rua Helena Conci Gaspari, 85, Retiro, Jundiaí - SP, 13209-810, Brasil",Jundiaí,SP,13209-810
-22.90193,-47.06042,"Petra Medicina do Trabalho, Rua Barão de Jaguara, 1481, Centro, Campinas - SP, 13015-002, Brasil",Campinas,SP,13015-002
-22.85363,-47.22803,"Avenida Thereza Ana Cecon Breda, 272, Parque Orestes Ongaro, Hortolândia - SP, 13183-255, Brasil",Hortolândia,SP,13183-255
-22.34243,-49.06801,"Avenida Nossa Senhora de Fátima, 79, Jardim Estoril IV, Bauru - SP, 17017-337, Brasil",Bauru,SP,17017-337
-23.25566,-47.29846,"Avenida Antônio Gazzola, 1001, Jardim Corazza, Itu - SP, 13301-245, Brasil",Itu,SP,13301-245
-25.44636,-49.29042,"Rua Carneiro Lobo, 536, Batel, Curitiba - PR, 80240-240, Brasil",Curitiba,PR,80240-240
-25.42007,-49.28265,"Rua Dom Alberto Gonçalves, 274, Mercês, Curitiba - PR, 80510-340, Brasil",Curitiba,PR,80510-340
-23.32415,-51.16728,"Avenida Higienópolis, 1601, Higienópolis, Londrina - PR, 86015-010, Brasil",Londrina,PR,86015-010
-25.41101,-49.25551,"Dr. Sérgio Keinert, Praça São Paulo da Cruz, Juveve, Curitiba - PR, 80030-480, Brasil",Curitiba,PR,80030-480
-25.44214,-49.28802,"Zletric, Avenida do Batel, 1550, Batel, Curitiba - PR, 80420-090, Brasil",Curitiba,PR,80420-090
-25.44903,-49.28851,"Luvitae, Avenida Iguaçu, Água Verde, Curitiba - PR, 80240-031, Brasil",Curitiba,PR,80240-031
-21.78449,-48.19758,"Implaara, Avenida Rodrigo Fernando Grillo, Jardim dos Manacás, Araraquara - SP, 14801-534, Brasil",Araraquara,SP,14801-534
