lat,lng
-3.7325,-38.49733
-3.81171,-38.48783
-20.78774,-51.70746
-20.46372,-54.60584
-20.79014,-51.70697
-20.4622,-54.59591
-20.46201,-54.60304
-20.78701,-51.71098
-19.4,-54.56936
-20.85445,-41.11958
-20.31569,-40.29761
-20.27465,-40.28255
-20.29481,-40.29067
-20.31133,-40.2906
-20.31273,-40.30079
-20.29699,-40.29161
-20.29626,-40.29106
-20.31246,-40.30499
-20.19449,-40.25655
-20.30452,-40.30039
-20.29486,-40.29247
-20.274,-40.29752
-20.37146,-40.31661
-20.31399,-40.29413
-18.75713,-40.88981
-19.53699,-40.63058
-19.72342,-40.69557
-19.39829,-40.0593
-18.73683,-39.75101
-20.25486,-40.26464
-17.41304,-39.20495
-12.97815,-38.45569
-12.97957,-38.45635
-14.85434,-40.83376
-12.98705,-38.44872
-12.89985,-38.40994
-12.94005,-38.41265
-12.98789,-38.46674
-12.98926,-38.4486
-12.97906,-38.45793
-12.97641,-39.26666
-12.98283,-38.45504
-20.33576,-40.29135
-20.27989,-40.30095
-19.39283,-40.06336
-14.78962,-39.03391
-12.98451,-38.46743
-12.96982,-38.51202
-12.97078,-38.51031
-12.98133,-38.45423
-12.8929,-38.41079
-12.99396,-38.48079
-12.96592,-39.26502
-12.78629,-38.3979
-11.18843,-38.00153
-10.93321,-37.05527
-10.94565,-37.06045
-10.9284,-37.05639
-10.94608,-37.04544
-13.00035,-38.45065
-9.74711,-36.64589
-9.66241,-35.70785
-9.6518,-35.70691
-10.95076,-37.06591
-8.26998,-35.97386
-8.11994,-34.90168
-8.08683,-34.89423
-8.08886,-34.88378
-9.65286,-35.72106
-8.0898,-34.88211
-7.10313,-34.84746
-8.29212,-35.94474
-12.9868,-38.45012
-12.99653,-38.49379
-12.97902,-38.45838
-12.9667,-38.50899
-12.88436,-38.29215
-12.9196,-38.35575
-12.98722,-38.4604
-7.98008,-34.83959
-8.27613,-35.96675
-8.08852,-34.88423
-8.05497,-34.9112
-7.12013,-34.87451
-8.08554,-34.88981
-8.06489,-34.89668
-7.11814,-34.83721
-8.03355,-34.91026
-8.09269,-34.88327
-8.28125,-35.97075
-10.93138,-37.05368
-7.03042,-37.27797
-12.22326,-38.9829
-5.83578,-35.22565
-5.7867,-35.19618
-5.81725,-35.20717
-5.79391,-35.20196
-5.81556,-35.21471
-7.11383,-34.82523
-3.7437,-38.50105
-3.73741,-38.49928
-3.73406,-38.49696
-3.74598,-38.47378
-3.74286,-38.50014
-3.73292,-38.52289
-3.73389,-38.49681
-3.73645,-38.49874
-3.73443,-38.5049
-3.75547,-38.62326
-3.7535,-38.49063
-3.78839,-38.48857
-3.73645,-38.56376
-8.06054,-34.88096
-8.06481,-34.87832
-7.22663,-35.88002
-7.98773,-34.83873
-8.04331,-34.88827
-8.1228,-34.90418
-8.12098,-34.90579
-8.15611,-34.91559
-8.06417,-34.9058
-8.11693,-34.90118
-8.12523,-34.91529
-4.26081,-38.9356
-3.79529,-38.49575
-10.93416,-37.06192
-5.78991,-35.19967
-7.21724,-35.88535
-3.73326,-38.50933
-3.83569,-38.40261
-4.18284,-38.13005
-3.74487,-38.4837
-3.73963,-38.48815
-3.80475,-38.48119
-3.72401,-38.51011
-8.29458,-35.02684
-8.09137,-34.91645
-7.84397,-35.25594
-8.18957,-34.91978
-7.09767,-34.8343
-7.90211,-34.8264
-3.68781,-40.36401
-2.75004,-42.82763
-2.55447,-44.22242
-6.68692,-35.44279
-5.0646,-42.77488
-5.03643,-42.76741
-2.51883,-45.07832
-2.50137,-44.28864
-5.08548,-42.7673
-1.45221,-48.48776
-5.07741,-42.7967
-3.79551,-38.48488
-3.90687,-38.38658
-3.86761,-38.50087
-2.49875,-44.28462
-1.45792,-48.47856
-5.52241,-47.48963
-1.2884,-47.92777
-1.44123,-48.4925
-3.73567,-38.5605
-3.74272,-38.61039
-3.68975,-40.35334
-1.45566,-48.49209
-1.45815,-48.50428
-1.44574,-48.4859
-1.43663,-48.4575
-1.43944,-48.48844
-1.43612,-48.48474
-3.13198,-60.02464
-3.05705,-59.99483
-4.2627,-55.98775
-3.10504,-60.02239
-2.99703,-59.97918
-11.87098,-55.5044
-11.86515,-55.50069
-3.10846,-60.01262
-3.10393,-60.01036
-8.76086,-63.88975
-13.0779,-55.94236
-13.07894,-55.91129
-3.06213,-59.99531
-3.1108,-60.02354
-3.10079,-60.01008
-12.56531,-55.72237
-9.94686,-67.87865
-9.9661,-67.802
-9.96971,-67.82134
-8.75711,-63.90747
-8.7587,-63.90185
-8.76899,-63.88253
-8.75733,-63.86634
-8.75762,-63.89696
-13.07575,-55.94028
-13.0592,-55.91441
-15.65405,-56.12368
-15.62697,-56.06633
-13.05561,-55.91887
-15.58773,-56.08346
-15.55525,-54.30125
-16.47859,-54.61679
-16.47263,-54.63201
-15.59494,-56.11989
-26.72771,-53.5159
-14.85803,-40.83447
-9.39602,-40.49698
-9.41762,-40.5023
-9.40263,-40.49999
-7.20042,-39.32009
-7.24658,-39.31377
-7.2392,-39.42206
-7.26712,-39.32209
-7.25275,-39.31762
-10.18457,-48.33305
-20.33983,-40.28397
-20.30217,-40.29225
-12.99123,-38.52479
-12.99897,-38.52245
-13.00798,-38.51571
-13.00946,-38.46584
-12.97899,-38.46237
-12.88209,-38.30371
-10.93503,-37.0523
-9.6602,-35.69805
-8.03743,-34.87527
-8.12503,-34.89935
-5.79349,-35.19837
-5.07017,-42.79129
-2.48737,-44.24483
-1.44878,-48.48696
-20.46,-54.61547
-15.58938,-56.10862
-3.11261,-60.02342
-12.97119,-38.51336
-12.97908,-38.45446
-20.45986,-54.61511
-3.13585,-60.02139
-1.45271,-48.48118
-3.73593,-38.50022
-7.11924,-34.84624
-5.80813,-35.20943
-8.06228,-34.89686
-8.11712,-34.89549
-9.66391,-35.73628
-5.80984,-35.20925
-20.46126,-54.61528
-15.59608,-56.0968
-14.85406,-40.83799
-7.11989,-34.84592
-3.10654,-60.01285
-10.93507,-37.0522
-20.30462,-40.29319
-9.65735,-35.69884
-8.11409,-34.89811
-8.04864,-34.89353
-13.00935,-38.52887
-13.00574,-38.45906
