lat,lng,formatted_address,city,uf,cep
-15.75903,-49.31378,"Avenida Coronel Diógenes de Castro Ribeiro, Jaraguá - GO, 76330-000, Brasil",Jaraguá,GO,76330-000
-26.89974,-49.01108,"Rua Anfilóquio Nunes Pires, 5300, Bela Vista, Gaspar - SC, 89111-090, Brasil",Gaspar,SC,89111-090
-25.97982,-52.5678,"Rua Iguaçu, Coronel Vivida - PR, 85550-000, Brasil",Coronel Vivida,PR,85550-000
-23.51643,-46.17028,"Avenida Engenheiro Miguel Gemma, 838, Mogi das Cruzes - SP, 08780-680, Brasil",Mogi das Cruzes,SP,08780-680
-30.98612,-54.66432,"Avenida Rio Branco, 2182, Dom Pedrito - RS, 96450-000, Brasil",Dom Pedrito,RS,96450-000
-16.97228,-49.77627,"Rua Nove, Cezarina - GO, 76195-000, Brasil",Cezarina,GO,76195-000
-22.97139,-46.99417,"Prefeitura de Valinhos, Rua Antônio Carlos, 301, Centro, Valinhos - SP, 13270-005, Brasil",Valinhos,SP,13270-005
-17.23112,-48.25887,"Pires do Rio, GO, Brasil",Pires do Rio,GO,75200-000
-22.25225,-45.7036,"Algodão Doce, Avenida Barão do Rio Branco, 351, Santa Rita do Sapucaí - MG, 37536-042, Brasil",Santa Rita do Sapucaí,MG,37536-042
-17.8407,-41.51516,"Rua Hélio Gomes, 45, São Cristóvão, Teófilo Otoni - MG, 39804-542, Brasil",Teófilo Otoni,MG,39804-542
-23.60363,-51.64001,"Parque, Rua Pastor João Marcondes, Jandaia do Sul - PR, 86900-000, Brasil",Jandaia do Sul,PR,86900-000
-32.11727,-52.17572,"ERS-734, Rio Grande - RS, 96216-400, Brasil",Rio Grande,RS,96216-400
-21.49306,-47.37876,"Rua Ângelo Sordi, 456, Santa Rosa de Viterbo - SP, 14270-000, Brasil",Santa Rosa de Viterbo,SP,14270-000
-23.53315,-47.63666,"Rodovia Raposo Tavares, Araçoiaba da Serra - SP, 18190-000, Brasil",Araçoiaba da Serra,SP,18190-000
-15.79599,-47.88504,"SUBWAY, Erw S Bloco M, Asa Sul, Brasília - DF, Brasil",Brasília,DF,
-18.03209,-41.68279,"Ipe Country Clube, Rua Olavo Campanha, 90, Itambacuri - MG, 39830-000, Brasil",Itambacuri,MG,39830-000
-20.50314,-48.59679,"Barretos Park Hotel, Los Angeles, Barretos - SP, 14786-115, Brasil",Barretos,SP,14786-115
-19.65088,-43.89664,"Avenida Senhora de Copacabana, 87, Lagoa Santa - MG, 33400-000, Brasil",Lagoa Santa,MG,33400-000
-24.24325,-51.67651,"Avenida Marechal Cordeiro de Farias, 79, Ivaiporã - PR, 86870-000, Brasil",Ivaiporã,PR,86870-000
-22.50107,-43.18457,"Rua Fagundes Varella, 136, Petrópolis - RJ, 25680-100, Brasil",Petrópolis,RJ,25680-100
-25.2843,-54.08618,"Avenida Vinte e Quatro de Outubro, 1946, Medianeira - PR, 85884-000, Brasil",Medianeira,PR,85884-000
-23.43407,-52.2934,"Panificadora Santo Antônio, Rua Tiradentes, São Jorge do Ivaí - PR, 87190-000, Brasil",São Jorge do Ivaí,PR,87190-000
-22.97377,-43.49376,"Rua Agapanto, 2, Vargem Grande, Rio de Janeiro - RJ, 22785-000, Brasil",Rio de Janeiro,RJ,22785-000
-26.22208,-51.09326,"Avenida Bento Munhoz da Rocha Neto, 995, União da Vitória - PR, 84600-040, Brasil",União da Vitória,PR,84600-040
-23.09526,-52.48271,"Avenida General André Neves, Paranavaí - PR, Brasil",Paranavaí,PR,
-16.08428,-48.50051,"Rua Noventa, Alexânia - GO, 72930-000, Brasil",Alexânia,GO,72930-000
-26.45462,-52.69355,"Avenida Sansão Carneiro, 182, Galvão - SC, 89838-000, Brasil",Galvão,SC,89838-000
-21.78365,-43.36007,"Rua Miguel José Mansur, 420, Cascatinha, Juiz de Fora - MG, 36033-250, Brasil",Juiz de Fora,MG,36033-250
