lat,lng
-18.41303,-40.21924
-3.73161,-38.50514
-1.3299,-48.43953
-15.53337,-56.08997
-18.70749,-40.39559
-18.29291,-39.95618
-1.35816,-48.36832
-16.36859,-39.57719
-9.92412,-63.02037
-14.85885,-40.82359
-10.59713,-55.12013
-9.95011,-54.9147
-8.77674,-63.86637
-7.43311,-34.91153
-3.06457,-59.97798
-18.42525,-40.82671
-18.99794,-57.65057
-19.39382,-54.58412
-15.24751,-40.25099
-3.6959,-40.34598
-24.08276,-54.25808
-8.03678,-34.90163
-9.92409,-63.02039
-11.4433,-61.43684
-17.53469,-39.729
-10.81587,-55.45601
-2.92859,-41.75369
-5.08853,-42.77135
-20.27039,-40.2895
-21.62297,-55.16826
-12.13059,-44.98683
-8.03382,-34.9509
