lat,lng,formatted_address,city,uf,cep
-23.56808,-46.67356,"Avenida Brasil, 1695, Jardim Paulista, São Paulo - SP, 01431-001, Brasil",São Paulo,SP,01431-001
-23.51316,-46.69956,"Rua Mateo Forte, 259, Lapa, São Paulo - SP, 05038-160, Brasil",São Paulo,SP,05038-160
-23.54666,-46.56686,"Rua Emílio Mallet, 717, Tatuapé, São Paulo - SP, 03320-000, Brasil",São Paulo,SP,03320-000
-23.63945,-46.72235,"Avenida das Nações Unidas, 16979, Santo Amaro, São Paulo - SP, 04794-000, Brasil",São Paulo,SP,04794-000
-23.49724,-46.84195,"Avenida Tamboré, 973, Alphaville, Barueri - SP, 06460-000, Brasil",Barueri,SP,06460-000
-23.55507,-46.69844,"Rua Jubiabá, 150, Alto de Pinheiros, São Paulo - SP, 05444-030, Brasil",São Paulo,SP,05444-030
-23.58193,-46.68321,"Rua Jerônimo da Veiga, 446, Itaim Bibi, São Paulo - SP, 04536-001, Brasil",São Paulo,SP,04536-001
-23.67938,-46.54344,"Rua Ibirá, 181, Vila Scarpelli, Santo André - SP, 09190-130, Brasil",Santo André,SP,09190-130
-23.62201,-46.6621,"Avenida Washington Luís, 7059, Campo Belo, São Paulo - SP, 04627-006, Brasil",São Paulo,SP,04627-006
-23.5338,-46.21286,"Churrascaria Ponteio Mogi das Cruzes, Avenida Francisco Ferreira Lopes, 460, Mogi das Cruzes - SP, 08735-200, Brasil",Mogi das Cruzes,SP,08735-200
-21.21015,-47.80086,"Grupo Toniello, Avenida Wladimir Meirelles Ferreira, 1566, Subsetor Sul-4, Ribeirão Preto - SP, 14021-630, Brasil",Ribeirão Preto,SP,14021-630
-23.01203,-43.29932,"Avenida Ministro Ivan Lins, Barra da Tijuca, Rio de Janeiro - RJ, 22620-160, Brasil",Rio de Janeiro,RJ,22620-160
-22.95622,-43.19224,"Rua Real Grandeza, 240, Botafogo, Rio de Janeiro - RJ, 22281-036, Brasil",Rio de Janeiro,RJ,22281-036
-22.95545,-43.18044,"Rua da Passagem, 175, Botafogo, Rio de Janeiro - RJ, 21760-750, Brasil",Rio de Janeiro,RJ,21760-750
-18.90229,-48.26608,"Trans Ferraz, Avenida Afonso Pena, 2259, Nossa Senhora Aparecida, Uberlândia - MG, 38400-708, Brasil",Uberlândia,MG,38400-708
-25.42095,-49.24846,"AUDI, Rua Padre Germano Mayer, 1629, Hugo Lange, Curitiba - PR, 80040-170, Brasil",Curitiba,PR,80040-170
-23.01087,-43.44941,"Audi Service Barra, Rua Celestino Basílio, 69, Recreio dos Bandeirantes, Rio de Janeiro - RJ, 22790-285, Brasil",Rio de Janeiro,RJ,22790-285
-24.95361,-53.42082,"Audi Service Cascavel, Avenida Brasil, 1869, Pacaembu, Cascavel - PR, 85816-302, Brasil",Cascavel,PR,85816-302
-26.96661,-48.63923,"Avenida do Estado, 1155, Dos Pioneiros, Balneário Camboriú - SC, 88331-110, Brasil",Balneário Camboriú,SC,88331-110
-22.82619,-47.09693,"Rua Ten. Cel. Waldomiro V. Ferreira, 284, Barão Geraldo, Campinas - SP, 13082-730, Brasil",Campinas,SP,13082-730
-23.20619,-45.90468,"Audi Center Vale, Avenida Jorge Zarur, 181, Vila Ema, São José dos Campos - SP, 12243-081, Brasil",São José dos Campos,SP,12243-081
-23.5497,-46.56667,"Rua Antônio Camardo, 141, Tatuapé, São Paulo - SP, 03309-060, Brasil",São Paulo,SP,03309-060
-21.80576,-43.37565,"Avenida Deusdedith Salgado, 4052, Salvaterra, Juiz de Fora - MG, 36033-007, Brasil",Juiz de Fora,MG,36033-007
-20.85364,-49.41322,"Avenida Presidente Juscelino K. de Oliveira, 3600, Quinta do Golfe, São José do Rio Preto - SP, 15091-450, Brasil",São José do Rio Preto,SP,15091-450
-19.95959,-43.96371,"Rua Geraldo Vasconcelos, 405, Estoril, Belo Horizonte - MG, 30494-100, Brasil",Belo Horizonte,MG,30494-100
-23.64994,-46.57818,"Avenida Dr. Rudge Ramos, 837, Rudge Ramos, São Bernardo do Campo - SP, 09639-000, Brasil",São Bernardo do Campo,SP,09639-000
-21.21044,-47.80211,"Zletric, Avenida Wladimir Meirelles Ferreira, 1660, Subsetor Sul-4, Ribeirão Preto - SP, 14021-683, Brasil",Ribeirão Preto,SP,14021-683
-28.67796,-49.36562,"Rua Coronel Marcos Rovaris, 281, Centro, Criciúma - SC, 88801-100, Brasil",Criciúma,SC,88801-100
