lat,lng
-20.29753,-40.30052
-12.9481,-38.42227
-15.63597,-56.11893
-20.45847,-54.58153
-5.08024,-42.78692
-1.45892,-48.47857
-15.61258,-56.07551
-5.08065,-42.76167
-8.10076,-34.91058
-11.84736,-55.49197
-15.61188,-56.07707
-12.93699,-38.40411
-20.31365,-40.31627
-7.0815,-34.84858
-2.48899,-44.24832
-1.43566,-48.49087
-5.85324,-35.21117
-15.60628,-56.08305
-20.28485,-40.3023
-8.7571,-63.88666
-10.9123,-37.06406
-9.62675,-35.73422
-3.00783,-60.03286
-20.28293,-40.30176
-20.38593,-40.49805
-20.19125,-40.26775
-19.48551,-40.12122
-20.53045,-54.59837
-22.16931,-54.6594
-20.48635,-54.61434
-16.45783,-54.66237
-15.60643,-56.08283
-12.14067,-45.81587
-12.08381,-45.70981
-14.82331,-40.81427
-12.24212,-38.98587
-12.30686,-38.89001
-12.82407,-38.3961
31.95216,35.23315
-10.93584,-37.08309
-9.56554,-35.78579
-8.22163,-34.9911
-8.11029,-34.91052
-7.32293,-35.89615
-7.11991,-34.85168
-5.85208,-35.20995
-5.99511,-35.26257
-10.01151,-67.78473
-3.77108,-38.49808
-5.07985,-42.75989
-5.14702,-42.77424
-2.49382,-44.27084
-5.50274,-47.47134
-3.10726,-60.02577
-3.09547,-60.02702
-12.75082,-60.10632
-9.46911,-40.48053
-5.35426,-49.09188
-3.08588,-60.02477
-12.97923,-38.45168
-3.74449,-38.47177
-20.29535,-40.30166
-2.48832,-44.24346
-15.60366,-56.08529
-20.46827,-54.58983
-7.03176,-34.84125
-1.43533,-48.491
-8.11047,-34.91121
-5.071,-42.80031
-5.86391,-35.21648
-10.27436,-48.33263
-7.95876,-34.91418
