lat,lng,formatted_address,city,uf,cep
-23.57256,-46.68153,"Alameda Gabriel Monteiro da Silva, 1487, Pinheiros, São Paulo - SP, 05477-000, Brasil",São Paulo,SP,05477-000
-23.56322,-46.67519,"Alameda Gabriel Monteiro da Silva, 268, Jardim Paulista, São Paulo - SP, 01442-000, Brasil",São Paulo,SP,01442-000
-23.57394,-46.68449,"Alameda Gabriel Monteiro da Silva, 1824, Pinheiros, São Paulo - SP, 01442-001, Brasil",São Paulo,SP,01442-001
-23.57257,-46.68162,"Rua Doutor Antônio Carlos Assumpção, Pinheiros, São Paulo - SP, 01441-020, Brasil",São Paulo,SP,01441-020
-23.59525,-46.6743,"Rua João Cachoeira, 1731, Itaim Bibi, São Paulo - SP, 04535-016, Brasil",São Paulo,SP,04535-016
-23.57442,-46.68761,"Alameda Gabriel Monteiro da Silva, 2138, Pinheiros, São Paulo - SP, 01442-001, Brasil",São Paulo,SP,01442-001
-23.60898,-46.69695,"Iberostar Praia do Forte, Avenida das Nações Unidas, Itaim Bibi, São Paulo - SP, 04578-000, Brasil",São Paulo,SP,04578-000
-23.57396,-46.68452,"Alameda Gabriel Monteiro da Silva, 1824, Pinheiros, São Paulo - SP, 01442-001, Brasil",São Paulo,SP,01442-001
-22.9325,-47.04471,"Avenida Jorge Tibiriçá, 1256, Vila Georgina, Campinas - SP, 13045-706, Brasil",Campinas,SP,13045-706
-23.57003,-46.6798,"Rua Ibsen da Costa Manso, 48, Pinheiros, São Paulo - SP, 01440-010, Brasil",São Paulo,SP,01440-010
-23.56391,-46.67578,"Papel Assinado, Alameda Gabriel Monteiro da Silva, Jardim Paulista, São Paulo - SP, 01441-000, Brasil",São Paulo,SP,01441-000
-23.59984,-46.89655,"Mix Conceito, Rodovia Raposo Tavares, 27500, Jardim dos Ipês, Cotia - SP, 06708-000, Brasil",Cotia,SP,06708-000
-23.57316,-46.68276,"Alameda Gabriel Monteiro da Silva, 1606, Pinheiros, São Paulo - SP, 01442-001, Brasil",São Paulo,SP,01442-001
-23.49839,-46.85797,"Caixa Econômica Federal., Alameda Araguaia, 370, Alphaville, Barueri - SP, 06455-000, Brasil",Barueri,SP,06455-000
