lat,lng,formatted_address,city,uf,cep
-22.23189,-43.11414,"Estrada União e Açúcar, Areal - RJ, 25845-000, Brasil",Areal,RJ,25845-000
-29.69819,-53.7833,"Alameda Timbaúva, 281, Cerrito, Santa Maria - RS, 97095-610, Brasil",Santa Maria,RS,97095-610
-23.57007,-46.8787,"Ponto De Carregamento Para Veículos Elétricos, Avenida Fernando Nobre, 4003, Vila de São Fernando, Cotia - SP, Brasil",Cotia,SP,
-20.02687,-43.93394,"Estrada S. S. das Águas Claras, São Sebastião das Águas Claras, Nova Lima - MG, 34000-000, Brasil",Nova Lima,MG,34000-000
-22.39516,-42.98604,"Avenida Presidente Roosevelt, Golfe, Teresópolis - RJ, Brasil",Teresópolis,RJ,
-29.68584,-53.80889,"Rua Venâncio Aires, 1730, Centro, Santa Maria - RS, 97010-002, Brasil",Santa Maria,RS,97010-002
-30.19063,-51.17268,"Avenida Juca Batista, Belém Novo, Porto Alegre - RS, 91781-001, Brasil",Porto Alegre,RS,91781-001
-22.88882,-47.04904,"Rua Ana Neri, 41, Cambuí, Campinas - SP, 13024-500, Brasil",Campinas,SP,13024-500
-23.34013,-47.54748,"Alameda dos Pinus, Porto Feliz - SP, 18548-100, Brasil",Porto Feliz,SP,18548-100
-23.80617,-46.0569,"Cobel Comércio de Materiais de Construção, Avenida Anchieta, 11239, Indaiá, Bertioga - SP, 11260-054, Brasil",Bertioga,SP,11260-054
-23.51941,-46.64916,"Rua Neves de Carvalho, 514, Bom Retiro, São Paulo - SP, 01132-010, Brasil",São Paulo,SP,01132-010
-25.46803,-49.53897,"Rua Alcebíades Affonso Guimarães, 624, Loteamento Santa Rita, Campo Largo - PR, 83602-210, Brasil",Campo Largo,PR,83602-210
-29.37616,-50.87814,"Rua Ernesto Volk, 217, Minuano, Gramado - RS, 95670-082, Brasil",Gramado,RS,95670-082
-29.12233,-51.02323,"VRS-829, Caxias do Sul - RS, Brasil",Caxias do Sul,RS,
-23.60751,-47.02613,"Rua Ambrosina Maria de Jesus, 184, Vargem Grande Paulista - SP, 06730-470, Brasil",Vargem Grande Paulista,SP,06730-470
-29.3384,-49.72823,"Avenida Benjamin Constant, Torres - RS, 95560-000, Brasil",Torres,RS,95560-000
-23.95837,-46.38906,"Avenida Pérsio de Queirós Filho, 493, Catiapoã, São Vicente - SP, 11370-302, Brasil",São Vicente,SP,11370-302
-25.39663,-49.23123,"Rua Vereador Augusto Staben, 84, Bacacheri, Curitiba - PR, 82515-240, Brasil",Curitiba,PR,82515-240
-23.77869,-46.74308,"Avenida do Jaceguava, 2961, Parelheiros, São Paulo - SP, 04870-425, Brasil",São Paulo,SP,04870-425
-22.79977,-45.16036,"Avenida das Nações, Clube dos 500, Guaratinguetá - SP, 12524-200, Brasil",Guaratinguetá,SP,12524-200
-23.53315,-47.63666,"Rodovia Raposo Tavares, Araçoiaba da Serra - SP, 18190-000, Brasil",Araçoiaba da Serra,SP,18190-000
-15.79423,-47.88217,"Shell, ERL S, Zona Cívico Administrativa, Brasília - DF, Brasil",Brasília,DF,
-23.10041,-48.91604,"Rua Amazonas, Braz I, Avaré - SP, 18701-180, Brasil",Avaré,SP,18701-180
-21.24903,-47.79829,"Avenida Heráclito Fontoura Sobral Pinto, Ribeirão Preto - SP, 14022-020, Brasil",Ribeirão Preto,SP,14022-020
-23.96624,-46.19118,"Avenida das Mangueiras, 1025, Guarujá - SP, 11444-060, Brasil",Guarujá,SP,11444-060
-22.42845,-43.1156,"Avenida Country Club, 4995, Cascatinha, Petrópolis - RJ, 25730-410, Brasil",Petrópolis,RJ,25730-410
-17.79272,-50.91966,"Rua das Turmalinas, 500, QD62, Parque Bandeirante Prol, Rio Verde - GO, 75905-630, Brasil",Rio Verde,GO,75905-630
-23.98501,-48.87427,"Rua Olívia Marques, 553, Centro, Itapeva - SP, 18400-100, Brasil",Itapeva,SP,18400-100
-24.712,-53.71762,"Rua São Paulo, 1128, Jardim Porto Alegre, Toledo - PR, 85906-150, Brasil",Toledo,PR,85906-150
-23.41187,-46.32224,"Rua Mauro Lopes, Arujá - SP, 07434-300, Brasil",Arujá,SP,07434-300
-25.10829,-50.09572,"Rua Onze, 2, Cara Cara, Ponta Grossa - PR, 84052-020, Brasil",Ponta Grossa,PR,84052-020
-21.92214,-50.73178,"Praça Kunito Miyasaka, Bastos - SP, 17690-000, Brasil",Bastos,SP,17690-000
-23.31078,-51.29416,"Bar da Cocheira, Cambé - PR, Brasil",Cambé,PR,
-23.5591,-46.58641,"Rua Fernando Falcão, 649, Água Rasa, São Paulo - SP, 03180-000, Brasil",São Paulo,SP,03180-000
-22.99735,-43.26438,"Estrada da Gávea, 800, São Conrado, Rio de Janeiro - RJ, 22610-002, Brasil",Rio de Janeiro,RJ,22610-002
-22.01767,-47.89194,"Rua Episcopal, 1457, Centro, São Carlos - SP, 13560-570, Brasil",São Carlos,SP,13560-570
-22.8116,-47.25776,"Avenida Julio de Vasconcelos, Nova Veneza, Sumaré - SP, 13174-405, Brasil",Sumaré,SP,13174-405
-23.30763,-47.29666,"Rua São José Golfe, Condomínio Terras de São José, Itu - SP, Brasil",Itu,SP,
-22.94914,-46.64444,"Rua 3, Campinho, Bragança Paulista - SP, 12918-001, Brasil",Bragança Paulista,SP,12918-001
-23.16867,-47.07155,"Estrada Iva-351, Itupeva - SP, 13295-000, Brasil",Itupeva,SP,13295-000
-23.36972,-46.35357,"Estrada Fazenda Velha, 3365, Arujá - SP, 07400-000, Brasil",Arujá,SP,07400-000
-23.81262,-46.47334,"Rua Galenbeck, São Bernardo do Campo - SP, Brasil",São Bernardo do Campo,SP,
-24.63392,-53.30974,"Rua Osvaldo Scartezini, 118, Cafelândia - PR, 85415-000, Brasil",Cafelândia,PR,85415-000
-23.62167,-47.01852,"Estrada do Matão I, Vargem Grande Paulista - SP, 06730-000, Brasil",Vargem Grande Paulista,SP,06730-000
-22.9914,-43.30407,"Estrada da Barra da Tijuca, Itanhangá, Rio de Janeiro - RJ, 22611-201, Brasil",Rio de Janeiro,RJ,22611-201
-23.6641,-46.69905,"Rua Doutor Armando da Silva Prado, 300, Campo Grande, São Paulo - SP, 04672-040, Brasil",São Paulo,SP,04672-040
-22.97139,-46.99417,"Prefeitura de Valinhos, Rua Antônio Carlos, 301, Centro, Valinhos - SP, 13270-005, Brasil",Valinhos,SP,13270-005
