lat,lng,formatted_address,city,uf,cep
-28.12422,-49.82092,"São Joaquim, SC, Brasil",São Joaquim,SC,88600-000
-27.20859,-49.63256,"Ponte Dom Tito Buss, Jardim América, Rio do Sul - SC, 89160-000, Brasil",Rio do Sul,SC,89160-000
-26.84787,-49.26781,"Rua Afonso Pena, Timbó - SC, 89120-000, Brasil",Timbó,SC,89120-000
-27.12149,-48.90193,"Avenida Primeiro de Maio, 961, Poço Fundo, Brusque - SC, 88353-202, Brasil",Brusque,SC,88353-202
-27.10766,-48.91622,"Rua Gerhard Nelson Appel, 145, Centro 2, Brusque - SC, 88354-121, Brasil",Brusque,SC,88354-121
-27.10494,-48.93455,"Rua Doutor Olímpio de Souza Pitanga, 688, Jardim Maluche, Brusque - SC, 88354-310, Brasil",Brusque,SC,88354-310
-27.58266,-48.54542,"Avenida Governador Irineu Bornhausen, Agronômica, Florianópolis - SC, 88015-710, Brasil",Florianópolis,SC,88015-710
-29.00542,-49.56499,"BR-101, Araranguá - SC, 88900-000, Brasil",Araranguá,SC,88900-000
-27.10698,-48.90726,"Rua Oswaldo Loos, 287, Poço Fundo, Brusque - SC, 88353-134, Brasil",Brusque,SC,88353-134
-26.7657,-49.07735,"Rua Gustavo Zimmermann, 9969, Itoupava Alta, Blumenau - SC, 89063-185, Brasil",Blumenau,SC,89063-185
-26.94565,-49.38081,"Rua Santa Catarina, 819, Ascurra - SC, 89138-000, Brasil",Ascurra,SC,89138-000
-27.00748,-48.61041,"Avenida Normando Tedesco, 153, Centro, Balneário Camboriú - SC, 88330-120, Brasil",Balneário Camboriú,SC,88330-120
-27.68048,-48.76614,"Rua Bertolino João de Melo, Santo Amaro da Imperatriz - SC, 88140-000, Brasil",Santo Amaro da Imperatriz,SC,88140-000
-27.14922,-48.49815,"Rua Cherne, 464, Centro, Bombinhas - SC, 88215-000, Brasil",Bombinhas,SC,88215-000
-26.91061,-48.68594,"Rua Otto Hoier, 56, São Vicente, Itajaí - SC, 88308-100, Brasil",Itajaí,SC,88308-100
-29.14364,-51.20103,"Tattoo Show Studio - Tatuagens e Piercing, Nossa Senhora da Saúde, Caxias do Sul - RS, Brasil",Caxias do Sul,RS,
-28.32123,-49.18375,"Avenida Monsenhor Frederico Trombock, Industrial, São Ludgero - SC, 88730-000, Brasil",São Ludgero,SC,88730-000
-26.76696,-48.67135,"Avenida Emanoel Pinto, 367, Balneário Piçarras - SC, 88380-000, Brasil",Balneário Piçarras,SC,88380-000
-26.88936,-48.66324,"Corpo de Bombeiros Militar Navegantes, São Domingos, Navegantes - SC, 88370-513, Brasil",Navegantes,SC,88370-513
-27.54213,-48.6239,"Rua São Benedito, 420, Serraria, São José - SC, 88115-160, Brasil",São José,SC,88115-160
