lat,lng
-20.2308,-40.27706
-20.31836,-40.32288
-20.32718,-40.26915
-20.23726,-40.27964
-21.15237,-53.28148
-20.51485,-54.65451
-21.65309,-53.87199
-14.34217,-42.53163
-20.23176,-40.2773
-20.45062,-54.57653
-19.00499,-57.59441
-15.56241,-56.08878
-3.06401,-60.10753
-16.6936,-39.14521
-16.86647,-39.14731
-16.60944,-39.11669
-14.27578,-38.99145
-12.79421,-38.49796
-12.9977,-38.46731
-12.9895,-38.47369
-13.88221,-38.94465
-12.97966,-38.46137
-10.88924,-37.05491
-11.00224,-39.29595
-9.74938,-43.20815
-10.02793,-36.02075
-8.69378,-37.27076
-12.97948,-38.4524
-5.00956,-42.76759
-8.04515,-34.89764
-8.05892,-34.88382
-8.19114,-35.50255
-12.67364,-38.27345
-12.96258,-38.43584
-8.13671,-34.9022
-7.24003,-35.93072
-8.08968,-34.88194
-8.17294,-35.63819
-8.05248,-34.89805
-8.18647,-35.49964
-7.06724,-37.3514
-8.16007,-36.19716
-5.38243,-36.82176
-7.15459,-34.81856
-7.11592,-34.84253
-8.19299,-35.50355
-8.02506,-35.03977
-7.18972,-34.80306
-8.15871,-34.91148
-8.07479,-34.90529
-4.92824,-39.16787
-4.43221,-37.77839
-4.23175,-38.89085
-3.96795,-38.88977
-3.74741,-38.48995
-3.81044,-38.43161
-7.16433,-34.86295
-7.29483,-34.81981
-8.06415,-34.89811
-8.13271,-34.90053
-4.37902,-39.0335
-5.35392,-35.35934
-12.79472,-38.53139
-12.5071,-39.18702
-2.49405,-44.26076
-2.52516,-44.12556
-2.48946,-44.29549
-2.46863,-44.20092
-2.47004,-44.17384
-8.03534,-34.90527
-4.46731,-43.88215
-4.5108,-43.91863
-2.24241,-49.50418
-5.00959,-42.76759
-9.96442,-67.81379
