lat,lng,formatted_address,city,uf,cep
-16.70687,-49.23757,"Avenida Deputado Jamel Cecílio, Jardim Goiás, Goiânia - GO, 74810-100, Brasil",Goiânia,GO,74810-100
-22.99946,-43.35136,"Pégasus Art Esportivos Ltda, Brasil",,,
-15.71941,-47.88518,"Shin Ca 4, Setor de Hab. Individuais Norte, Lago Norte - DF, 71503-504, Brasil",Lago Norte,DF,71503-504
-23.59042,-46.69055,"Salvatore Ferragamo, Avenida Presidente Juscelino Kubitschek, 2041, Itaim Bibi, São Paulo - SP, 04543-011, Brasil",São Paulo,SP,04543-011
-23.59725,-46.69733,"Lima's Lanches Truck, Avenida Marginal Pinheiros, Morumbi, São Paulo - SP, 05502-001, Brasil",São Paulo,SP,05502-001
-23.57732,-46.68818,"Fit, Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo - SP, 01456-060, Brasil",São Paulo,SP,01456-060
-23.5709,-46.69072,"Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo - SP, 05426-100, Brasil",São Paulo,SP,05426-100
-23.63382,-46.82559,"Avenida Hélio Ossamu Daikuara, 1551, Jardim Vista Alegre, Embu das Artes - SP, 06807-315, Brasil",Embu das Artes,SP,06807-315
-25.44349,-49.29056,"Avenida do Batel, 1868, Batel, Curitiba - PR, 80420-090, Brasil",Curitiba,PR,80420-090
-23.62648,-46.57981,"PANDORA, Alameda Terracota, 545, Cerâmica, São Caetano do Sul - SP, Brasil",São Caetano do Sul,SP,
-16.62994,-49.27552,"Avenida Perimetral Norte, Jardim Balneário Meia Ponte, Goiânia - GO, 74573-260, Brasil",Goiânia,GO,74573-260
-23.62338,-46.69861,"New Time, Santo Amaro, São Paulo - SP, 04710-190, Brasil",São Paulo,SP,04710-190
-22.93876,-43.24818,"Avenida Maracanã, 972, Tijuca, Rio de Janeiro - RJ, 20511-000, Brasil",Rio de Janeiro,RJ,20511-000
-26.99302,-48.6469,"Porsche Smart Mobility, Avenida Santa Catarina, 1, Dos Estados, Balneário Camboriú - SC, 88339-005, Brasil",Balneário Camboriú,SC,88339-005
-25.42933,-49.21469,"J Canedo, Rua Konrad Adenauer, 370, Tarumã, Curitiba - PR, 82810-350, Brasil",Curitiba,PR,82810-350
-23.56633,-46.65094,"Alameda Joaquim Eugênio de Lima, 547, Jardim Paulista, São Paulo - SP, 01403-001, Brasil",São Paulo,SP,01403-001
-21.78163,-43.36094,"TOUCH, Avenida Independência, São Mateus, Juiz de Fora - MG, 36025-320, Brasil",Juiz de Fora,MG,36025-320
-26.30352,-48.85028,"Stein Associados, Centro, Joinville - SC, 89201-420, Brasil",Joinville,SC,89201-420
-22.89273,-47.02788,"Applebee's, Avenida Iguatemi, 777, Vila Brandina, Campinas - SP, 13092-500, Brasil",Campinas,SP,13092-500
-22.69031,-43.29149,"Avenida Dona Tereza Cristina, 100, Figueira, Duque de Caxias - RJ, 25230-480, Brasil",Duque de Caxias,RJ,25230-480
-23.52604,-46.68088,"Sol Câmbio, Avenida Pompéia, Barra Funda, São Paulo - SP, 05022-000, Brasil",São Paulo,SP,05022-000
-25.42285,-49.27066,"intimissimi, Avenida Cândido de Abreu, 127, Centro Cívico, Curitiba - PR, 80530-010, Brasil",Curitiba,PR,80530-010
-19.87439,-43.92667,"Triton Eyewear, Avenida Cristiano Machado, 4000, União, Belo Horizonte - MG, Brasil",Belo Horizonte,MG,
-22.82736,-43.34763,"Avenida Pastor Martin Luther King Júnior, 10805, Coelho Neto, Rio de Janeiro - RJ, 21530-015, Brasil",Rio de Janeiro,RJ,21530-015
-23.58075,-46.59401,"JOHN JOHN, Móoca, São Paulo - SP, 03109-000, Brasil",São Paulo,SP,03109-000
-26.25174,-48.85261,"Rua Tenente Antonio João, Zona Industrial Norte, Joinville - SC, 89219-720, Brasil",Joinville,SC,89219-720
-23.42211,-47.16116,"Rodovia Presidente Castelo Branco, São Roque - SP, 18132-851, Brasil",São Roque,SP,18132-851
-20.57512,-48.55855,"Rua North Shopping Barretos, Pereira, Barretos - SP, 14784-190, Brasil",Barretos,SP,14784-190
-20.54775,-47.41675,"havaianas, Avenida Rio Negro, 1100, Franca - SP, 14406-010, Brasil",Franca,SP,14406-010
-22.34233,-49.04946,"Carmen Steffens, Rua Henrique Savi, Jardim Infante Dom Henrique, Bauru - SP, 17012-205, Brasil",Bauru,SP,17012-205
-23.57113,-46.64395,"Rua Treze de Maio, 150, Bela Vista, São Paulo - SP, 04849-529, Brasil",São Paulo,SP,04849-529
-23.18533,-45.85287,"Avenida Deputado Benedito Matarazzo, 11641, Vila Tatetuba, São José dos Campos - SP, 12220-610, Brasil",São José dos Campos,SP,12220-610
-23.62051,-46.62768,"Rua Frei Rolim, Cursino, São Paulo - SP, 04151-100, Brasil",São Paulo,SP,04151-100
-19.94004,-43.93411,"Avenida do Contorno, 6075, São Pedro, Belo Horizonte - MG, 30110-042, Brasil",Belo Horizonte,MG,30110-042
-27.17725,-48.61196,"Rodovia Governador Mário Covas, Porto Belo - SC, 85874-000, Brasil",Porto Belo,SC,85874-000
-23.53096,-46.44675,"Rua Doutor Rodrigo Pereira Barreto, 4, Itaquera, São Paulo - SP, 08210-535, Brasil",São Paulo,SP,08210-535
-23.61003,-46.66727,"Avenida Ibirapuera, 3103, Moema, São Paulo - SP, 04029-902, Brasil",São Paulo,SP,04029-902
-23.5509,-47.46581,"Avenida Gisele Constantino, 180, Votorantim - SP, 18116-650, Brasil",Votorantim,SP,18116-650
-22.87872,-43.46682,"ATM, Rua Fonseca, Bangu, Rio de Janeiro - RJ, 21820-005, Brasil",Rio de Janeiro,RJ,21820-005
-22.88767,-43.28302,"Oficina de Lanternagem Estrela de Davi., Avenida Dom Helder Câmara, Cachambi, Rio de Janeiro - RJ, 20771-004, Brasil",Rio de Janeiro,RJ,20771-004
-16.70617,-49.26906,"Praça T 24, Avenida T-10, Bueno, Goiânia - GO, 74223-060, Brasil",Goiânia,GO,74223-060
-23.56209,-46.56081,"Vivenda do Camarão, Avenida Regente Feijó, Vila Formosa, São Paulo - SP, 03342-000, Brasil",São Paulo,SP,03342-000
-22.98196,-43.21684,"W. Map, Rua Professor Antônio Maria Teixeira, Leblon, Rio de Janeiro - RJ, 22430-050, Brasil",Rio de Janeiro,RJ,22430-050
-25.43552,-49.3164,"PUMA, Rua Prof. Pedro V. Parigot de Souza, 600, Mossungue, Curitiba - PR, 81200-100, Brasil",Curitiba,PR,81200-100
-16.74024,-43.8704,"Avenida Donato Quintino, 125, Canelas II, Montes Claros - MG, 39400-546, Brasil",Montes Claros,MG,39400-546
-16.74325,-49.27874,"Avenida Rio Verde, 988, Jardim Nova Era, Aparecida de Goiânia - GO, 74916-260, Brasil",Aparecida de Goiânia,GO,74916-260
-22.31513,-49.05515,"Rodovia Marechal Rondon, Vila Cardia, Bauru - SP, 17030-005, Brasil",Bauru,SP,17030-005
-25.43472,-49.4131,"Rodovia do Café Governador Ney Braga, Campo Largo - PR, Brasil",Campo Largo,PR,
-21.22533,-47.837,"Alameda 1, Ribeirão Preto - SP, Brasil",Ribeirão Preto,SP,
-22.85133,-43.31104,"Avenida Vicente de Carvalho, 821, Vicente de Carvalho, Rio de Janeiro - RJ, 21220-270, Brasil",Rio de Janeiro,RJ,21220-270
-23.01753,-43.51128,"BRT Transoeste, Vargem Grande, Rio de Janeiro - RJ, 22640-100, Brasil",Rio de Janeiro,RJ,22640-100
-30.0803,-51.24716,"Tupinambá, Avenida Padre Cacique, 2893, Cristal, Porto Alegre - RS, 90810-240, Brasil",Porto Alegre,RS,90810-240
-25.44019,-49.27693,"Praça Oswaldo Cruz, Centro, Curitiba - PR, 80250-230, Brasil",Curitiba,PR,80250-230
-22.87693,-42.03234,"Rua Roma, Jardim Excelsior, Cabo Frio - RJ, Brasil",Cabo Frio,RJ,
-21.78357,-48.20079,"Primi Passi, Avenida Alberto Benassi, Jardim dos Manacás, Araraquara - SP, 14804-300, Brasil",Araraquara,SP,14804-300
-23.44048,-46.54328,"Avenida Transguarulhense, Picanço, Guarulhos - SP, 07082-055, Brasil",Guarulhos,SP,07082-055
-22.95559,-43.33994,"Soldado Mário Kozel Filho, Estrada do Engenho d'Água, Anil, Rio de Janeiro - RJ, 22765-240, Brasil",Rio de Janeiro,RJ,22765-240
-22.1169,-51.40621,"Avenida Manoel Goulart, 2622, Jardim das Rosas, Presidente Prudente - SP, 19060-000, Brasil",Presidente Prudente,SP,19060-000
