lat,lng
-11.86075,-55.48884
-8.75202,-63.87625
-20.31216,-40.28913
-15.61765,-56.12276
-12.92586,-38.37931
-3.08473,-60.07314
-20.34116,-40.28946
-15.57592,-56.0724
-3.08773,-60.02422
-9.636,-35.70305
-2.52884,-44.25705
-3.10346,-60.01347
-12.98019,-38.45682
-1.44601,-48.48904
-20.34719,-40.29484
-20.45796,-54.58788
-12.97718,-38.45349
-8.1177,-34.90227
-20.2395,-40.27446
-8.08612,-34.89438
-3.75771,-38.48887
-8.08619,-34.89436
-5.5713,-47.4452
-8.08928,-34.88196
-15.65869,-56.12335
-20.34199,-40.28839
-3.87758,-38.61731
-5.07714,-42.80021
-7.22665,-39.3373
-20.48017,-54.62679
-13.00574,-38.52322
-15.61189,-56.07358
-5.81194,-35.2063
-7.23478,-35.86909
-12.98177,-38.46412
-16.47212,-54.60927
-1.45824,-48.49502
-3.70641,-40.34323
-5.81982,-35.20762
-0.0112,-51.08305
-1.3742,-48.38751
-14.79951,-39.27612
-12.24114,-38.94639
-15.5524,-56.05596
-9.39361,-40.49276
-12.9711,-38.47458
-12.9812,-38.46495
-2.50189,-44.27618
-20.45881,-54.58958
-3.73595,-38.49708
-7.10283,-34.84289
-12.90993,-38.34882
-1.38899,-48.47135
-20.35242,-40.29762
-10.21653,-48.319
-12.90312,-38.33633
-8.03671,-34.91319
-8.16647,-34.91852
-15.61152,-56.1284
-3.77637,-38.56099
-5.36632,-49.11606
-1.44627,-48.48947
-9.56068,-35.74633
-9.6092,-35.68537
-3.09471,-60.02306
-10.94306,-37.04793
-3.73575,-38.56618
-7.994,-34.84008
-10.94282,-37.05987
-7.21586,-48.22611
-20.31275,-40.28822
-8.05552,-34.8973
-5.08494,-42.7898
-15.58807,-56.11276
-2.49383,-44.27014
-3.87604,-38.45682
-20.36821,-40.42514
-1.36372,-48.44938
2.84807,-60.70589
-10.95017,-37.04535
-3.74126,-38.47074
-8.08597,-34.89472
-3.72666,-38.5669
-7.16528,-34.85202
-3.08484,-60.07278
-9.73408,-36.65552
-5.8115,-35.20703
-1.3891,-48.4704
-8.29474,-35.95226
-8.16659,-34.91835
-20.24011,-40.27508
-8.03843,-34.87195
-20.39755,-54.55866
-12.86136,-38.28839
-5.08517,-42.79046
-9.98455,-67.84161
-8.29522,-35.95309
-3.09434,-60.02327
-14.87629,-40.81751
-8.03697,-34.91267
-1.45782,-48.49516
-12.70651,-38.30886
-3.03008,-59.97586
-2.52769,-44.25462
-5.74957,-35.20616
-5.84173,-35.21108
-6.07942,-49.83715
-10.18324,-48.33717
-3.1073,-60.00954
-9.62715,-35.69907
-15.58781,-56.112
-3.75692,-38.48827
-5.17553,-37.36995
-2.5218,-44.22598
-3.77549,-38.5819
-20.75819,-51.6938
