lat,lng
-0.05466,-51.17925
-3.02693,-60.09758
-2.19939,-56.71305
-1.68072,-50.47952
2.82864,-60.65787
-2.42123,-54.74104
-9.69168,-35.7753
-23.08407,-53.48434
-20.31298,-40.35845
-13.36507,-39.06263
-1.47697,-48.48247
-0.0574,-51.15382
-15.46478,-55.75035
-23.37093,-53.74893
-12.78703,-38.40329
-2.85811,-41.81895
-7.84916,-34.84561
-16.10422,-57.69272
-15.86284,-56.07925
-2.759,-42.82362
-2.80946,-42.86887
-15.63029,-56.07325
-9.3879,-40.48447
-20.29119,-40.29992
-16.44435,-39.06537
-8.59144,-35.11863
-8.88982,-35.15151
-20.79051,-51.70844
-14.91139,-55.82197
-15.2941,-39.06768
-0.74765,-48.02504
-6.09369,-35.19945
-12.81096,-38.45268
-11.06184,-55.27705
-14.10395,-39.0153
-8.05784,-34.8829
-8.13815,-34.9557
-7.55734,-34.99654
-1.35151,-48.46059
-9.68948,-35.77355
-2.90914,-41.78849
-9.32157,-64.7472
-9.42953,-40.73174
-11.1103,-37.15473
-11.06361,-37.13848
-23.36624,-53.74838
-2.53856,-44.29688
-7.92707,-34.82208
-8.75787,-35.10507
-9.83918,-35.90853
-13.08642,-55.92875
-1.475,-48.4732
-17.52778,-39.1921
-6.97381,-34.8376
-24.08015,-54.26073
-7.03459,-34.85524
-12.92208,-38.49135
-23.40326,-53.80996
-7.74808,-34.83063
-20.08774,-51.09661
-1.26814,-48.44396
-6.64137,-51.98253
-5.084,-42.83651
-10.94725,-37.07308
-17.74295,-39.24641
-19.00005,-57.62785
-7.86019,-34.83947
-3.10096,-60.06928
-2.97355,-60.08377
-20.78817,-51.70305
-11.12962,-54.46308
-1.39779,-48.32178
-9.38576,-37.99902
-20.29116,-40.30055
-13.37002,-39.07206
-7.01823,-34.82995
-4.2699,-55.97754
