lat,lng,formatted_address,city,uf,cep
-22.78144,-45.66284,"Botanique Hotel & Spa in Campos do Jordão, Rua Elípio Gonçalves da Silva, 4000, Campos do Jordão - SP, 12460-000, Brasil",Campos do Jordão,SP,12460-000
-23.59742,-46.70085,"Avenida Doutor Alberto Penteado, 35, Morumbi, São Paulo - SP, 05678-000, Brasil",São Paulo,SP,05678-000
-23.56369,-46.65608,"Zoe Films, Avenida Paulista, 1374, Jardim Paulista, São Paulo - SP, 01419-001, Brasil",São Paulo,SP,01419-001
-22.77137,-45.59987,"Estrada Ernesto Diedericksen, Campos do Jordão - SP, 12460-000, Brasil",Campos do Jordão,SP,12460-000
-22.4339,-44.51979,"Rua Harry Bertell, Jardim Martinelli, Itatiaia - RJ, 27580-000, Brasil",Itatiaia,RJ,27580-000
-23.632,-46.72268,"Rua Deputado Laércio Corte, 1501, Vila Andrade, São Paulo - SP, 05706-290, Brasil",São Paulo,SP,05706-290
-3.94428,-38.27628,"Rua Francisco Vieira Mota, 10, Jacaúna, Aquiraz - CE, 61700-000, Brasil",Aquiraz,CE,61700-000
-23.3717,-47.56257,"Alameda das Siriemas, Porto Feliz - SP, 18540-000, Brasil",Porto Feliz,SP,18540-000
-23.3706,-47.55009,"Boa Vista Surf Lodge, Porto Feliz - SP, 18540-000, Brasil",Porto Feliz,SP,18540-000
-23.05409,-47.07024,"Residencial Fazenda da Grama, Rodovia Miguel Melhado Campos, Itupeva - SP, 13295-000, Brasil",Itupeva,SP,13295-000
