lat,lng,formatted_address,city,uf,cep
-23.52555,-46.50845,"Rua Irmã, 158, Penha, São Paulo - SP, 03656-040, Brasil",São Paulo,SP,03656-040
-23.56624,-46.67955,"Maní, Rua Joaquim Antunes, 210, Pinheiros, São Paulo - SP, 05415-000, Brasil",São Paulo,SP,05415-000
-23.54491,-46.6447,"Restaurante Parador, Rua Araújo, 126, República, São Paulo - SP, 01247-090, Brasil",São Paulo,SP,01247-090
-23.56512,-46.66596,"Rua Padre João Manuel, 950, Jardim Paulista, São Paulo - SP, 01411-001, Brasil",São Paulo,SP,01411-001
-23.54484,-46.64622,"Rua General Jardim, 173, República, São Paulo - SP, 01223-011, Brasil",São Paulo,SP,01223-011
-23.56646,-46.66866,"Rua Augusta, 2985, Jardim Paulista, São Paulo - SP, 01412-100, Brasil",São Paulo,SP,01412-100
-23.55183,-46.69431,"Rua Fradique Coutinho, 1897, Pinheiros, São Paulo - SP, 05416-012, Brasil",São Paulo,SP,05416-012
-23.55612,-46.69257,"Rua Mourato Coelho, 1404, Pinheiros, São Paulo - SP, 05417-002, Brasil",São Paulo,SP,05417-002
-23.5555,-46.6571,"Rua Augusta, 1291, Consolação, São Paulo - SP, 01304-001, Brasil",São Paulo,SP,01304-001
-23.56445,-46.66949,"Rua Vitório Fasano, 88, Jardim Paulista, São Paulo - SP, 01414-020, Brasil",São Paulo,SP,01414-020
-23.59881,-46.69824,"Dior, Avenida Magalhães de Castro, 12000, Morumbi, São Paulo - SP, 05676-030, Brasil",São Paulo,SP,05676-030
-23.56829,-46.68974,"Rua dos Pinheiros, 1269, Pinheiros, São Paulo - SP, 05422-012, Brasil",São Paulo,SP,05422-012
-23.56262,-46.6686,"Rua Bela Cintra, 2062, Jardim Paulista, São Paulo - SP, 01415-007, Brasil",São Paulo,SP,01415-007
-23.55973,-46.69936,"Uniao Geral Armênia de Beneficencia, Rua Natingui, 1545, Pinheiros, São Paulo - SP, 05429-040, Brasil",São Paulo,SP,05429-040
-23.56515,-46.66881,"Rua Haddock Lobo, 1663, Jardim Paulista, São Paulo - SP, 01414-001, Brasil",São Paulo,SP,01414-001
-23.58558,-46.68481,"Rua Tabapuã, 1480, Itaim Bibi, São Paulo - SP, 04533-005, Brasil",São Paulo,SP,04533-005
-23.56053,-46.66233,"Lair Nunes Ribeiro, Rua Augusta, Jardim Paulista, São Paulo - SP, 01412-000, Brasil",São Paulo,SP,01412-000
-23.58487,-46.68501,"Rua Doutor Mário Ferraz, 529, Itaim Bibi, São Paulo - SP, 01453-011, Brasil",São Paulo,SP,01453-011
-23.56473,-46.68111,"Barbearia da Esquina, Rua Joaquim Antunes, Pinheiros, São Paulo - SP, 05415-001, Brasil",São Paulo,SP,05415-001
-23.56781,-46.66391,"Rua Oscar Freire, 155, Jardim Paulista, São Paulo - SP, 01426-001, Brasil",São Paulo,SP,01426-001
-23.59713,-46.66792,"Rua Diogo Jácome, 618, Moema, São Paulo - SP, 04512-001, Brasil",São Paulo,SP,04512-001
-23.55786,-46.67376,"Rua Oscar Freire, 1631, Jardim Paulista, São Paulo - SP, 05409-010, Brasil",São Paulo,SP,05409-010
-23.56504,-46.67092,"Rua Estados Unidos, 1812, Jardim Paulista, São Paulo - SP, 01427-001, Brasil",São Paulo,SP,01427-001
-23.5676,-46.69342,"Rua dos Pinheiros, 1629, Pinheiros, São Paulo - SP, 05422-012, Brasil",São Paulo,SP,05422-012
-23.56479,-46.68047,"Rua dos Pinheiros, 227, Pinheiros, São Paulo - SP, 05422-010, Brasil",São Paulo,SP,05422-010
-23.56467,-46.68085,"Rua dos Pinheiros, 262, Pinheiros, São Paulo - SP, 05422-000, Brasil",São Paulo,SP,05422-000
-23.56272,-46.6682,"Rua Bela Cintra, 2047, Jardim Paulista, São Paulo - SP, 01415-002, Brasil",São Paulo,SP,01415-002
-23.56353,-46.67311,"Rua Estados Unidos, 2085, Jardim Paulista, São Paulo - SP, 01427-002, Brasil",São Paulo,SP,01427-002
-23.56374,-46.6694,"Rua Bela Cintra, 2209, Jardim Paulista, São Paulo - SP, 01415-009, Brasil",São Paulo,SP,01415-009
-23.56761,-46.68833,"Rua dos Pinheiros, 1106, Pinheiros, São Paulo - SP, 05422-001, Brasil",São Paulo,SP,05422-001
-23.56666,-46.67982,"Rua Joaquim Antunes, 183, Pinheiros, São Paulo - SP, 05415-010, Brasil",São Paulo,SP,05415-010
-23.56453,-46.68018,"Rua dos Pinheiros, 209, Pinheiros, São Paulo - SP, 05422-010, Brasil",São Paulo,SP,05422-010
-23.54536,-46.64346,"Ourominas Dtvm, Avenida São Luís, República, São Paulo - SP, 01046-000, Brasil",São Paulo,SP,01046-000
-23.56338,-46.66893,"Ateliermix, Rua Oscar Freire, Jardim Paulista, São Paulo - SP, 01426-003, Brasil",São Paulo,SP,01426-003
-22.98445,-43.22741,"Rua Dias Ferreira, 166, Leblon, Rio de Janeiro - RJ, 22431-050, Brasil",Rio de Janeiro,RJ,22431-050
-22.98627,-43.189,"Ponto De Carregamento Para Veículos Elétricos, Avenida Atlântica, 4240, Copacabana, Rio de Janeiro - RJ, 22070-002, Brasil",Rio de Janeiro,RJ,22070-002
-22.98478,-43.22804,"Rua Dias Ferreira, 147, Leblon, Rio de Janeiro - RJ, 22431-050, Brasil",Rio de Janeiro,RJ,22431-050
-23.55689,-46.65919,"Brazilian Hits Remakes, Rua Luís Coelho, Consolação, São Paulo - SP, 01309-000, Brasil",São Paulo,SP,01309-000
-23.58686,-46.67822,"Rua Iaiá, 107, Itaim Bibi, São Paulo - SP, 04537-010, Brasil",São Paulo,SP,04537-010
-23.56707,-46.67918,"Rua Joaquim Antunes, 116, Pinheiros, São Paulo - SP, 05415-000, Brasil",São Paulo,SP,05415-000
-23.56443,-46.68026,"Rua Cônego Eugênio Leite, 220, Pinheiros, São Paulo - SP, 05414-011, Brasil",São Paulo,SP,05414-011
