lat,lng,formatted_address,city,uf,cep
-30.02512,-51.16242,"Beercode, Vila Ipiranga, Porto Alegre - RS, 91340-001, Brasil",Porto Alegre,RS,91340-001
-29.17606,-51.22034,"LE LIS BLANC, Sanvitto, Caxias do Sul - RS, 95112-360, Brasil",Caxias do Sul,RS,95112-360
-27.59011,-48.51503,"Conserto de Roupas, Avenida Madre Benvenuta, 568, Itacorubi, Florianópolis - SC, 88035-020, Brasil",Florianópolis,SC,88035-020
-25.44293,-49.29081,"iPlace, Avenida do Batel, 1868, Batel, Curitiba - PR, 80420-090, Brasil",Curitiba,PR,80420-090
-23.59891,-46.6976,"Bacio di Latte, Avenida Marginal Pinheiros, Morumbi, São Paulo - SP, 05676-030, Brasil",São Paulo,SP,05676-030
-23.59145,-46.68982,"Avenida Presidente Juscelino Kubitschek, 2041, Itaim Bibi, São Paulo - SP, 04543-000, Brasil",São Paulo,SP,04543-000
-23.57704,-46.68819,"Lojas Centauro, Avenida Brigadeiro Faria Lima, 2232, Pinheiros, São Paulo - SP, 01452-001, Brasil",São Paulo,SP,01452-001
-23.53366,-47.46344,"Casas Bahia, Avenida Professora Izoraida M. Peres, 401, Parque Campolim, Sorocaba - SP, 18048-105, Brasil",Sorocaba,SP,18048-105
-23.50456,-46.84836,"Alameda Xingu, 350, Alphaville, Barueri - SP, 06454-000, Brasil",Barueri,SP,06454-000
-22.99934,-43.35155,"Pégasus Art Esportivos Ltda, Brasil",,,
-22.92833,-43.22536,"Rua dos Junquilhos, 10, Tijuca, Rio de Janeiro - RJ, 20521-090, Brasil",Rio de Janeiro,RJ,20521-090
-22.91933,-43.25019,"Garagem de Parqueamento, Rua Barão de São Francisco, Andaraí, Rio de Janeiro - RJ, 20560-032, Brasil",Rio de Janeiro,RJ,20560-032
-22.89264,-47.02727,"Gav Resorts, Avenida Iguatemi, 777, Vila Brandina, Campinas - SP, 13092-516, Brasil",Campinas,SP,13092-516
-22.89234,-47.02688,"Hering, Avenida Iguatemi, 777, Vila Brandina, Campinas - SP, 13092-500, Brasil",Campinas,SP,13092-500
-22.01751,-47.915,"Crislen Ótica, Parque Faber Castell I, São Carlos - SP, Brasil",São Carlos,SP,
-21.2257,-47.83524,"Ponto De Carregamento Para Veículos Elétricos, Avenida Luiz Eduardo Toledo Prado, 900, Ribeirão Preto - SP, Brasil",Ribeirão Preto,SP,
-20.86646,-49.41453,"Ponto De Carregamento Para Veículos Elétricos, Avenida Pres. Juscelino Kubitschek Oliveira, São José do Rio Preto - SP, 15091-450, Brasil",São José do Rio Preto,SP,15091-450
-19.94401,-44.04065,"Big Shopping, Av. João César de Oliveira, 1275, Cidade Jardim Eldorado, Contagem - MG, 32310-000, Brasil",Contagem,MG,32310-000
-18.91045,-48.2598,"Emporio do Aço, Avenida João Naves de Ávila, Tibery, Uberlândia - MG, 38405-142, Brasil",Uberlândia,MG,38405-142
-18.59798,-46.51376,"Rua Cônego Getúlio, 621, Cônego Getúlio, Patos de Minas - MG, 38700-205, Brasil",Patos de Minas,MG,38700-205
-15.72094,-47.88592,"Kopenhagen, Shin Ca, 4, Setor de Hab. Individuais Norte, Lago Norte - DF, 71503-504, Brasil",Lago Norte,DF,71503-504
