audiencia;lat;lng
bancos;-3.7325;-38.49733
bancos;-3.81171;-38.48783
bancos;-20.78774;-51.70746
bancos;-20.46372;-54.60584
bancos;-20.79014;-51.70697
bancos;-20.4622;-54.59591
bancos;-20.46201;-54.60304
bancos;-20.78701;-51.71098
bancos;-19.4;-54.56936
bancos;-20.85445;-41.11958
bancos;-20.31569;-40.29761
bancos;-20.27465;-40.28255
bancos;-20.29481;-40.29067
bancos;-20.31133;-40.2906
bancos;-20.31273;-40.30079
bancos;-20.29699;-40.29161
bancos;-20.29626;-40.29106
bancos;-20.31246;-40.30499
bancos;-20.19449;-40.25655
bancos;-20.30452;-40.30039
bancos;-20.29486;-40.29247
bancos;-20.274;-40.29752
bancos;-20.37146;-40.31661
bancos;-20.31399;-40.29413
bancos;-18.75713;-40.88981
bancos;-19.53699;-40.63058
bancos;-19.72342;-40.69557
bancos;-19.39829;-40.0593
bancos;-18.73683;-39.75101
bancos;-20.25486;-40.26464
bancos;-17.41304;-39.20495
bancos;-12.97815;-38.45569
bancos;-12.97957;-38.45635
bancos;-14.85434;-40.83376
bancos;-12.98705;-38.44872
bancos;-12.89985;-38.40994
bancos;-12.94005;-38.41265
bancos;-12.98789;-38.46674
bancos;-12.98926;-38.4486
bancos;-12.97906;-38.45793
bancos;-12.97641;-39.26666
bancos;-12.98283;-38.45504
bancos;-20.33576;-40.29135
bancos;-20.27989;-40.30095
bancos;-19.39283;-40.06336
bancos;-14.78962;-39.03391
bancos;-12.98451;-38.46743
bancos;-12.96982;-38.51202
bancos;-12.97078;-38.51031
bancos;-12.98133;-38.45423
bancos;-12.8929;-38.41079
bancos;-12.99396;-38.48079
bancos;-12.96592;-39.26502
bancos;-12.78629;-38.3979
bancos;-11.18843;-38.00153
bancos;-10.93321;-37.05527
bancos;-10.94565;-37.06045
bancos;-10.9284;-37.05639
bancos;-10.94608;-37.04544
bancos;-13.00035;-38.45065
bancos;-9.74711;-36.64589
bancos;-9.66241;-35.70785
bancos;-9.6518;-35.70691
bancos;-10.95076;-37.06591
bancos;-8.26998;-35.97386
bancos;-8.11994;-34.90168
bancos;-8.08683;-34.89423
bancos;-8.08886;-34.88378
bancos;-9.65286;-35.72106
bancos;-8.0898;-34.88211
bancos;-7.10313;-34.84746
bancos;-8.29212;-35.94474
bancos;-12.9868;-38.45012
bancos;-12.99653;-38.49379
bancos;-12.97902;-38.45838
bancos;-12.9667;-38.50899
bancos;-12.88436;-38.29215
