linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Fagron Technologies, Avenida Nove de Julho, 3575, Bonfiglioli, Jundiaí - SP, 13207-480, Brasil;Avenida Nove de Julho 3575 Jundiai SP 13207480 Brazil;Jundiaí;SP;13207480;-23.20242;-46.89193;-23.20242;-46.89193;Bonfiglioli;;
3;;;endereco;Rua Aurélio Cibim, 109, Morada do Sol, Americana - SP, 13470-241, Brasil;Rua Aurelio Cibim 109 Americana SP 13470241 Brazil;Americana;SP;13470241;-22.7201;-47.34751;-22.7201;-47.34751;Morada do Sol;;
4;;;endereco;Rua da Independência, 165, Cambuci, São Paulo - SP, 01524-000, Brasil;Rua da Independencia 165 Sao Paulo SP 01524000 Brazil;São Paulo;SP;01524000;-23.56476;-46.61961;-23.56476;-46.61961;Cambuci;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
5;;;endereco;Rua Tiradentes, 313, Vila Itapura, Campinas - SP, 13023-190, Brasil;Rua Tiradentes 313 Campinas SP 13023190 Brazil;Campinas;SP;13023190;-22.89391;-47.06417;-22.89391;-47.06417;Vila Itapura;;
6;;;endereco;Avenida Invernada, 1963, Invernada, Valinhos - SP, 13271-450, Brasil;Avenida Invernada 1963 Valinhos SP 13271450 Brazil;Valinhos;SP;13271450;-22.96968;-47.01227;-22.96968;-47.01227;Invernada;;
7;;;endereco;Consultório Odontológico Leandra Roberta Gotti, Rua do Chumbo, 741, Jardim Mollon, Santa Bárbara d'Oeste - SP, 13468-600, Brasil;Rua do Chumbo 741 Santa Barbara d Oeste SP 13468600 Brazil;Santa Bárbara d'Oeste;SP;13468600;-22.75337;-47.36101;-22.75337;-47.36101;Jardim Mollon;;
8;;;endereco;Cronix Security, Anhangabaú, Jundiaí - SP, 13208-703, Brasil;Cronix Security Anhangabau Jundiai SP 13208703 Brazil;Jundiaí;SP;13208703;-23.19205;-46.90352;-23.19205;-46.90352;;ALTO;sem numero de porta
9;;;endereco;Renata Silva - Clinic & Academy, Avenida Capitão Cassiano Ricardo Toledo, 190, Centro, Jundiaí - SP, 13201-840, Brasil;Avenida Capitao Cassiano Ricardo Toledo 190 Jundiai SP 13201840 Brazil;Jundiaí;SP;13201840;-23.18325;-46.89278;-23.18325;-46.89278;Centro;;
10;;;endereco;Rua Helena Conci Gaspari, 85, Retiro, Jundiaí - SP, 13209-810, Brasil;Rua Helena Conci Gaspari 85 Jundiai SP 13209810 Brazil;Jundiaí;SP;13209810;-23.18898;-46.90204;-23.18898;-46.90204;Retiro;;
11;;;endereco;Petra Medicina do Trabalho, Rua Barão de Jaguara, 1481, Centro, Campinas - SP, 13015-002, Brasil;Rua Barao de Jaguara 1481 Campinas SP 13015002 Brazil;Campinas;SP;13015002;-22.90193;-47.06042;-22.90193;-47.06042;Centro;;
