severidade;linha;nome;endereco_dsp;risco
ALTO;8;;Cronix Security Anhangabau Jundiai SP 13208703 Brazil;sem numero de porta
ALTO;18;;Dr Sergio Keinert Praca Sao Paulo da Cruz Juveve Curitiba PR 80030480 Brazil;sem numero de porta
ALTO;20;;Avenida Iguacu Agua Verde Curitiba PR 80240031 Brazil;sem numero de porta
ALTO;21;;Avenida Rodrigo Fernando Grillo Jardim dos Manacas Araraquara SP 14801534 Brazil;sem numero de porta
ALTO;26;;Avenida Brigadeiro Faria Lima Pinheiros Sao Paulo SP 01452001 Brazil;sem numero de porta
ALTO;52;;Avenida Sete de Setembro Reboucas 80230 010 Curitiba PR 80230010 Brazil;sem numero de porta
ALTO;54;;Rua Jose Fernandes Maldonado Bairro Alto Curitiba PR 82840020 Brazil;sem numero de porta
ALTO;62;;Rodovia Professor Alfredo Rolim de Moura 1001 Mogi das Cruzes SP 08880000 Brazil;"endereco de rodovia (57-67% falharam); CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;70;;Rua Raimundo Correa Vila Marina Dias Sorocaba SP 18035265 Brazil;sem numero de porta
ALTO;71;;Torre Maggiore Rua Nestor Guimaraes Estrela Ponta Grossa PR 84040130 Brazil;sem numero de porta
ALTO;96;;Avenida Sete de Setembro Centro Passo Fundo RS 99010121 Brazil;sem numero de porta
ALTO;110;;Rua Gra Nicco Mossungue Curitiba PR 81200200 Brazil;sem numero de porta
ALTO;111;;Avenida Brigadeiro Faria Lima Itaim Bibi Sao Paulo SP 04538133 Brazil;sem numero de porta
ALTO;127;;Dr Diego Chemello Centro Santa Maria RS Brazil;sem numero de porta
ALTO;138;;Rua Sete de Setembro Centro Blumenau SC 89010203 Brazil;sem numero de porta
ALTO;150;;Avenida Anchieta Jardim Nova America Sao Jose dos Campos SP 12242280 Brazil;sem numero de porta
ALTO;151;;Avenida Cassiano Ricardo Parque Residencial Aquarius Sao Jose dos Campos SP 12240540 Brazil;sem numero de porta
ALTO;162;;Alameda Terracota Ceramica Sao Caetano do Sul SP 09531190 Brazil;sem numero de porta
ALTO;174;;Rua Marechal Floriano Tres de Maio RS 98910000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;180;;Phix It Santo Amaro Sao Paulo SP 04719002 Brazil;sem numero de porta
ALTO;184;;Rua Lourenco Marques Itaim Bibi Sao Paulo SP 04547100 Brazil;sem numero de porta
ALTO;186;;Rua Barao do Triunfo Campo Belo Sao Paulo SP 04620001 Brazil;sem numero de porta
ALTO;187;;Banco Western Union do Brasil Pinheiros Sao Paulo SP 05477000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;190;;Rua Alfredo Chaves Exposicao Caxias do Sul RS 95020460 Brazil;sem numero de porta
ALTO;195;;Abin RS Petropolis Porto Alegre RS Brazil;sem numero de porta
ALTO;196;;Abf Advogados Associados Boa Vista Porto Alegre RS 90470130 Brazil;sem numero de porta
ALTO;219;;Rua Doutor Jose Bonifacio Malburg Centro Itajai SC 88301350 Brazil;sem numero de porta
ALTO;226;;Praca Prefeito Dogelo Goss Centro Concordia SC 89700000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;234;;Rua Antonio Carlos Berta Vila Ipiranga Porto Alegre RS 91340020 Brazil;sem numero de porta
ALTO;243;;Avenida Mauro Ramos Agronomica Florianopolis SC Brazil;sem numero de porta
ALTO;252;;Zoo Trindade Centro Florianopolis SC 88015200 Brazil;sem numero de porta
ALTO;253;;Rodovia Jose Carlos Daux 4100 Florianopolis SC 88032005 Brazil;endereco de rodovia (57-67% falharam)
ALTO;255;;Rua Esteves Junior Centro Florianopolis SC 88015130 Brazil;sem numero de porta
ALTO;262;;Rodovia Osvaldo Reis 600 Itajai SC 88306000 Brazil;"endereco de rodovia (57-67% falharam); CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;263;;Praia Brava Itajai SC 88306002 Brazil;sem numero de porta
ALTO;266;;Rodovia Jose Carlos Daux 10416 Florianopolis SC 88050001 Brazil;endereco de rodovia (57-67% falharam)
ALTO;279;;Tonia s House Centro Itajai SC 88301350 Brazil;sem numero de porta
ALTO;284;;Rua Doutor Jose Bonifacio Malburg Centro Itajai SC 88301350 Brazil;sem numero de porta
ALTO;292;;Rua Jorge Lacerda Rio Fortuna SC 88760000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;300;;Avenida Doutor Victor do Amaral Centro Araucaria PR 83702040 Brazil;sem numero de porta
ALTO;303;;Alameda Doutor Octavio Pinheiro Brisolla Vila Cidade Universitaria Bauru SP 17012424 Brazil;sem numero de porta
ALTO;304;;Avenida Getulio Vargas 21 51 Vila Aviacao Bauru SP 17017383 Brazil;sem numero de porta
ALTO;309;;Ibbca 2008 Corretora de Seguros Centro Florianopolis SC 88015200 Brazil;sem numero de porta
ALTO;319;;Rua Padre Nobrega Oficinas Ponta Grossa PR 84040090 Brazil;sem numero de porta
ALTO;329;;D Daniel 620 686 Rua Dom Jose Vila Real Balneario Camboriu SC 88337130 Brazil;sem numero de porta
