linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Avenida Coronel Diógenes de Castro Ribeiro, Jaraguá - GO, 76330-000, Brasil;Avenida Coronel Diogenes de Castro Ribeiro Jaragua GO 76330000 Brazil;Jaraguá;GO;76330000;-15.75903;-49.31378;-15.75903;-49.31378;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
3;;;endereco;Rua Anfilóquio Nunes Pires, 5300, Bela Vista, Gaspar - SC, 89111-090, Brasil;Rua Anfiloquio Nunes Pires 5300 Gaspar SC 89111090 Brazil;Gaspar;SC;89111090;-26.89974;-49.01108;-26.89974;-49.01108;Bela Vista;;
4;;;endereco;Rua Iguaçu, Coronel Vivida - PR, 85550-000, Brasil;Rua Iguacu Coronel Vivida PR 85550000 Brazil;Coronel Vivida;PR;85550000;-25.97982;-52.5678;-25.97982;-52.5678;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
5;;;endereco;Avenida Engenheiro Miguel Gemma, 838, Mogi das Cruzes - SP, 08780-680, Brasil;Avenida Engenheiro Miguel Gemma 838 Mogi das Cruzes SP 08780680 Brazil;Mogi das Cruzes;SP;08780680;-23.51643;-46.17028;-23.51643;-46.17028;;;
6;;;endereco;Avenida Rio Branco, 2182, Dom Pedrito - RS, 96450-000, Brasil;Avenida Rio Branco 2182 Dom Pedrito RS 96450000 Brazil;Dom Pedrito;RS;96450000;-30.98612;-54.66432;-30.98612;-54.66432;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
7;;;endereco;Rua Nove, Cezarina - GO, 76195-000, Brasil;Rua Nove Cezarina GO 76195000 Brazil;Cezarina;GO;76195000;-16.97228;-49.77627;-16.97228;-49.77627;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
8;;;endereco;Prefeitura de Valinhos, Rua Antônio Carlos, 301, Centro, Valinhos - SP, 13270-005, Brasil;Rua Antonio Carlos 301 Valinhos SP 13270005 Brazil;Valinhos;SP;13270005;-22.97139;-46.99417;-22.97139;-46.99417;Centro;;
10;;;endereco;Algodão Doce, Avenida Barão do Rio Branco, 351, Santa Rita do Sapucaí - MG, 37536-042, Brasil;Avenida Barao do Rio Branco 351 Santa Rita do Sapucai MG 37536042 Brazil;Santa Rita do Sapucaí;MG;37536042;-22.25225;-45.7036;-22.25225;-45.7036;;;
11;;;endereco;Rua Hélio Gomes, 45, São Cristóvão, Teófilo Otoni - MG, 39804-542, Brasil;Rua Helio Gomes 45 Teofilo Otoni MG 39804542 Brazil;Teófilo Otoni;MG;39804542;-17.8407;-41.51516;-17.8407;-41.51516;São Cristóvão;;
12;;;endereco;Parque, Rua Pastor João Marcondes, Jandaia do Sul - PR, 86900-000, Brasil;Parque Rua Pastor Joao Marcondes Jandaia do Sul PR 86900000 Brazil;Jandaia do Sul;PR;86900000;-23.60363;-51.64001;-23.60363;-51.64001;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
