linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Avenida Brasil, 1695, Jardim Paulista, São Paulo - SP, 01431-001, Brasil;Avenida Brasil 1695 Sao Paulo SP 01431001 Brazil;São Paulo;SP;01431001;-23.56808;-46.67356;-23.56808;-46.67356;Jardim Paulista;;
3;;;endereco;Rua Mateo Forte, 259, Lapa, São Paulo - SP, 05038-160, Brasil;Rua Mateo Forte 259 Sao Paulo SP 05038160 Brazil;São Paulo;SP;05038160;-23.51316;-46.69956;-23.51316;-46.69956;Lapa;;
4;;;endereco;Rua Emílio Mallet, 717, Tatuapé, São Paulo - SP, 03320-000, Brasil;Rua Emilio Mallet 717 Sao Paulo SP 03320000 Brazil;São Paulo;SP;03320000;-23.54666;-46.56686;-23.54666;-46.56686;Tatuapé;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
5;;;endereco;Avenida das Nações Unidas, 16979, Santo Amaro, São Paulo - SP, 04794-000, Brasil;Avenida das Nacoes Unidas 16979 Sao Paulo SP 04794000 Brazil;São Paulo;SP;04794000;-23.63945;-46.72235;-23.63945;-46.72235;Santo Amaro;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
6;;;endereco;Avenida Tamboré, 973, Alphaville, Barueri - SP, 06460-000, Brasil;Avenida Tambore 973 Barueri SP 06460000 Brazil;Barueri;SP;06460000;-23.49724;-46.84195;-23.49724;-46.84195;Alphaville;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
7;;;endereco;Rua Jubiabá, 150, Alto de Pinheiros, São Paulo - SP, 05444-030, Brasil;Rua Jubiaba 150 Sao Paulo SP 05444030 Brazil;São Paulo;SP;05444030;-23.55507;-46.69844;-23.55507;-46.69844;Alto de Pinheiros;;
8;;;endereco;Rua Jerônimo da Veiga, 446, Itaim Bibi, São Paulo - SP, 04536-001, Brasil;Rua Jeronimo da Veiga 446 Sao Paulo SP 04536001 Brazil;São Paulo;SP;04536001;-23.58193;-46.68321;-23.58193;-46.68321;Itaim Bibi;;
9;;;endereco;Rua Ibirá, 181, Vila Scarpelli, Santo André - SP, 09190-130, Brasil;Rua Ibira 181 Santo Andre SP 09190130 Brazil;Santo André;SP;09190130;-23.67938;-46.54344;-23.67938;-46.54344;Vila Scarpelli;;
10;;;endereco;Avenida Washington Luís, 7059, Campo Belo, São Paulo - SP, 04627-006, Brasil;Avenida Washington Luis 7059 Sao Paulo SP 04627006 Brazil;São Paulo;SP;04627006;-23.62201;-46.6621;-23.62201;-46.6621;Campo Belo;;
11;;;endereco;Churrascaria Ponteio Mogi das Cruzes, Avenida Francisco Ferreira Lopes, 460, Mogi das Cruzes - SP, 08735-200, Brasil;Avenida Francisco Ferreira Lopes 460 Mogi das Cruzes SP 08735200 Brazil;Mogi das Cruzes;SP;08735200;-23.5338;-46.21286;-23.5338;-46.21286;;;
