linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Alameda Gabriel Monteiro da Silva, 1487, Pinheiros, São Paulo - SP, 05477-000, Brasil;Alameda Gabriel Monteiro da Silva 1487 Sao Paulo SP 05477000 Brazil;São Paulo;SP;05477000;-23.57256;-46.68153;-23.57256;-46.68153;Pinheiros;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
3;;;endereco;Alameda Gabriel Monteiro da Silva, 268, Jardim Paulista, São Paulo - SP, 01442-000, Brasil;Alameda Gabriel Monteiro da Silva 268 Sao Paulo SP 01442000 Brazil;São Paulo;SP;01442000;-23.56322;-46.67519;-23.56322;-46.67519;Jardim Paulista;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
4;;;endereco;Alameda Gabriel Monteiro da Silva, 1824, Pinheiros, São Paulo - SP, 01442-001, Brasil;Alameda Gabriel Monteiro da Silva 1824 Sao Paulo SP 01442001 Brazil;São Paulo;SP;01442001;-23.57394;-46.68449;-23.57394;-46.68449;Pinheiros;;
5;;;endereco;Rua Doutor Antônio Carlos Assumpção, Pinheiros, São Paulo - SP, 01441-020, Brasil;Rua Doutor Antonio Carlos Assumpcao Pinheiros Sao Paulo SP 01441020 Brazil;São Paulo;SP;01441020;-23.57257;-46.68162;-23.57257;-46.68162;;ALTO;sem numero de porta
6;;;endereco;Rua João Cachoeira, 1731, Itaim Bibi, São Paulo - SP, 04535-016, Brasil;Rua Joao Cachoeira 1731 Sao Paulo SP 04535016 Brazil;São Paulo;SP;04535016;-23.59525;-46.6743;-23.59525;-46.6743;Itaim Bibi;;
7;;;endereco;Alameda Gabriel Monteiro da Silva, 2138, Pinheiros, São Paulo - SP, 01442-001, Brasil;Alameda Gabriel Monteiro da Silva 2138 Sao Paulo SP 01442001 Brazil;São Paulo;SP;01442001;-23.57442;-46.68761;-23.57442;-46.68761;Pinheiros;;
8;;;endereco;Iberostar Praia do Forte, Avenida das Nações Unidas, Itaim Bibi, São Paulo - SP, 04578-000, Brasil;Avenida das Nacoes Unidas Itaim Bibi Sao Paulo SP 04578000 Brazil;São Paulo;SP;04578000;-23.60898;-46.69695;-23.60898;-46.69695;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
9;;;endereco;Alameda Gabriel Monteiro da Silva, 1824, Pinheiros, São Paulo - SP, 01442-001, Brasil;Alameda Gabriel Monteiro da Silva 1824 Sao Paulo SP 01442001 Brazil;São Paulo;SP;01442001;-23.57396;-46.68452;-23.57396;-46.68452;Pinheiros;;
10;;;endereco;Avenida Jorge Tibiriçá, 1256, Vila Georgina, Campinas - SP, 13045-706, Brasil;Avenida Jorge Tibirica 1256 Campinas SP 13045706 Brazil;Campinas;SP;13045706;-22.9325;-47.04471;-22.9325;-47.04471;Vila Georgina;;
11;;;endereco;Rua Ibsen da Costa Manso, 48, Pinheiros, São Paulo - SP, 01440-010, Brasil;Rua Ibsen da Costa Manso 48 Sao Paulo SP 01440010 Brazil;São Paulo;SP;01440010;-23.57003;-46.6798;-23.57003;-46.6798;Pinheiros;;
12;;;endereco;Papel Assinado, Alameda Gabriel Monteiro da Silva, Jardim Paulista, São Paulo - SP, 01441-000, Brasil;Alameda Gabriel Monteiro da Silva Jardim Paulista Sao Paulo SP 01441000 Brazil;São Paulo;SP;01441000;-23.56391;-46.67578;-23.56391;-46.67578;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
13;;;endereco;Mix Conceito, Rodovia Raposo Tavares, 27500, Jardim dos Ipês, Cotia - SP, 06708-000, Brasil;Rodovia Raposo Tavares 27500 Cotia SP 06708000 Brazil;Cotia;SP;06708000;-23.59984;-46.89655;-23.59984;-46.89655;Jardim dos Ipês;ALTO;"endereco de rodovia (57-67% falharam); CEP generico de cidade, nao de rua (2,4x mais falha)"
14;;;endereco;Alameda Gabriel Monteiro da Silva, 1606, Pinheiros, São Paulo - SP, 01442-001, Brasil;Alameda Gabriel Monteiro da Silva 1606 Sao Paulo SP 01442001 Brazil;São Paulo;SP;01442001;-23.57316;-46.68276;-23.57316;-46.68276;Pinheiros;;
15;;;endereco;Caixa Econômica Federal., Alameda Araguaia, 370, Alphaville, Barueri - SP, 06455-000, Brasil;Alameda Araguaia 370 Barueri SP 06455000 Brazil;Barueri;SP;06455000;-23.49839;-46.85797;-23.49839;-46.85797;Alphaville;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
