linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Estrada União e Açúcar, Areal - RJ, 25845-000, Brasil;Estrada Uniao e Acucar Areal RJ 25845000 Brazil;Areal;RJ;25845000;-22.23189;-43.11414;-22.23189;-43.11414;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
3;;;endereco;Alameda Timbaúva, 281, Cerrito, Santa Maria - RS, 97095-610, Brasil;Alameda Timbauva 281 Santa Maria RS 97095610 Brazil;Santa Maria;RS;97095610;-29.69819;-53.7833;-29.69819;-53.7833;Cerrito;;
4;;;endereco;Ponto De Carregamento Para Veículos Elétricos, Avenida Fernando Nobre, 4003, Vila de São Fernando, Cotia - SP, Brasil;Avenida Fernando Nobre 4003 Cotia SP Brazil;Cotia;SP;;-23.57007;-46.8787;-23.57007;-46.8787;Vila de São Fernando;;
5;;;endereco;Estrada S. S. das Águas Claras, São Sebastião das Águas Claras, Nova Lima - MG, 34000-000, Brasil;Estrada S S das Aguas Claras Sao Sebastiao das Aguas Claras Nova Lima MG 34000000 Brazil;Nova Lima;MG;34000000;-20.02687;-43.93394;-20.02687;-43.93394;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
6;;;endereco;Avenida Presidente Roosevelt, Golfe, Teresópolis - RJ, Brasil;Avenida Presidente Roosevelt Golfe Teresopolis RJ Brazil;Teresópolis;RJ;;-22.39516;-42.98604;-22.39516;-42.98604;;ALTO;sem numero de porta
7;;;endereco;Rua Venâncio Aires, 1730, Centro, Santa Maria - RS, 97010-002, Brasil;Rua Venancio Aires 1730 Santa Maria RS 97010002 Brazil;Santa Maria;RS;97010002;-29.68584;-53.80889;-29.68584;-53.80889;Centro;;
8;;;endereco;Avenida Juca Batista, Belém Novo, Porto Alegre - RS, 91781-001, Brasil;Avenida Juca Batista Belem Novo Porto Alegre RS 91781001 Brazil;Porto Alegre;RS;91781001;-30.19063;-51.17268;-30.19063;-51.17268;;ALTO;sem numero de porta
9;;;endereco;Rua Ana Neri, 41, Cambuí, Campinas - SP, 13024-500, Brasil;Rua Ana Neri 41 Campinas SP 13024500 Brazil;Campinas;SP;13024500;-22.88882;-47.04904;-22.88882;-47.04904;Cambuí;;
10;;;endereco;Alameda dos Pinus, Porto Feliz - SP, 18548-100, Brasil;Alameda dos Pinus Porto Feliz SP 18548100 Brazil;Porto Feliz;SP;18548100;-23.34013;-47.54748;-23.34013;-47.54748;;ALTO;sem numero de porta
11;;;endereco;Cobel Comércio de Materiais de Construção, Avenida Anchieta, 11239, Indaiá, Bertioga - SP, 11260-054, Brasil;Avenida Anchieta 11239 Bertioga SP 11260054 Brazil;Bertioga;SP;11260054;-23.80617;-46.0569;-23.80617;-46.0569;Indaiá;;
12;;;endereco;Rua Neves de Carvalho, 514, Bom Retiro, São Paulo - SP, 01132-010, Brasil;Rua Neves de Carvalho 514 Sao Paulo SP 01132010 Brazil;São Paulo;SP;01132010;-23.51941;-46.64916;-23.51941;-46.64916;Bom Retiro;;
13;;;endereco;Rua Alcebíades Affonso Guimarães, 624, Loteamento Santa Rita, Campo Largo - PR, 83602-210, Brasil;Rua Alcebiades Affonso Guimaraes 624 Campo Largo PR 83602210 Brazil;Campo Largo;PR;83602210;-25.46803;-49.53897;-25.46803;-49.53897;Loteamento Santa Rita;;
14;;;endereco;Rua Ernesto Volk, 217, Minuano, Gramado - RS, 95670-082, Brasil;Rua Ernesto Volk 217 Gramado RS 95670082 Brazil;Gramado;RS;95670082;-29.37616;-50.87814;-29.37616;-50.87814;Minuano;;
15;;;endereco;VRS-829, Caxias do Sul - RS, Brasil;VRS 829 Caxias do Sul RS Brazil;Caxias do Sul;RS;;-29.12233;-51.02323;-29.12233;-51.02323;;ALTO;"sem numero de porta; logradouro sem nome"
16;;;endereco;Rua Ambrosina Maria de Jesus, 184, Vargem Grande Paulista - SP, 06730-470, Brasil;Rua Ambrosina Maria de Jesus 184 Vargem Grande Paulista SP 06730470 Brazil;Vargem Grande Paulista;SP;06730470;-23.60751;-47.02613;-23.60751;-47.02613;;;
17;;;endereco;Avenida Benjamin Constant, Torres - RS, 95560-000, Brasil;Avenida Benjamin Constant Torres RS 95560000 Brazil;Torres;RS;95560000;-29.3384;-49.72823;-29.3384;-49.72823;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
18;;;endereco;Avenida Pérsio de Queirós Filho, 493, Catiapoã, São Vicente - SP, 11370-302, Brasil;Avenida Persio de Queiros Filho 493 Sao Vicente SP 11370302 Brazil;São Vicente;SP;11370302;-23.95837;-46.38906;-23.95837;-46.38906;Catiapoã;;
19;;;endereco;Rua Vereador Augusto Staben, 84, Bacacheri, Curitiba - PR, 82515-240, Brasil;Rua Vereador Augusto Staben 84 Curitiba PR 82515240 Brazil;Curitiba;PR;82515240;-25.39663;-49.23123;-25.39663;-49.23123;Bacacheri;;
20;;;endereco;Avenida do Jaceguava, 2961, Parelheiros, São Paulo - SP, 04870-425, Brasil;Avenida do Jaceguava 2961 Sao Paulo SP 04870425 Brazil;São Paulo;SP;04870425;-23.77869;-46.74308;-23.77869;-46.74308;Parelheiros;;
21;;;endereco;Avenida das Nações, Clube dos 500, Guaratinguetá - SP, 12524-200, Brasil;Avenida das Nacoes Clube dos 500 Guaratingueta SP 12524200 Brazil;Guaratinguetá;SP;12524200;-22.79977;-45.16036;-22.79977;-45.16036;;;
22;;;endereco;Rodovia Raposo Tavares, Araçoiaba da Serra - SP, 18190-000, Brasil;Rodovia Raposo Tavares Aracoiaba da Serra SP 18190000 Brazil;Araçoiaba da Serra;SP;18190000;-23.53315;-47.63666;-23.53315;-47.63666;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
23;;;endereco;Shell, ERL S, Zona Cívico Administrativa, Brasília - DF, Brasil;Shell ERL S Zona Civico Administrativa Brasilia DF Brazil;Brasília;DF;;-15.79423;-47.88217;-15.79423;-47.88217;;ALTO;sem numero de porta
24;;;endereco;Rua Amazonas, Braz I, Avaré - SP, 18701-180, Brasil;Rua Amazonas Braz I Avare SP 18701180 Brazil;Avaré;SP;18701180;-23.10041;-48.91604;-23.10041;-48.91604;;ALTO;sem numero de porta
25;;;endereco;Avenida Heráclito Fontoura Sobral Pinto, Ribeirão Preto - SP, 14022-020, Brasil;Avenida Heraclito Fontoura Sobral Pinto Ribeirao Preto SP 14022020 Brazil;Ribeirão Preto;SP;14022020;-21.24903;-47.79829;-21.24903;-47.79829;;ALTO;sem numero de porta
26;;;endereco;Avenida das Mangueiras, 1025, Guarujá - SP, 11444-060, Brasil;Avenida das Mangueiras 1025 Guaruja SP 11444060 Brazil;Guarujá;SP;11444060;-23.96624;-46.19118;-23.96624;-46.19118;;;
27;;;endereco;Avenida Country Club, 4995, Cascatinha, Petrópolis - RJ, 25730-410, Brasil;Avenida Country Club 4995 Petropolis RJ 25730410 Brazil;Petrópolis;RJ;25730410;-22.42845;-43.1156;-22.42845;-43.1156;Cascatinha;;
28;;;endereco;Rua das Turmalinas, 500, QD62, Parque Bandeirante Prol, Rio Verde - GO, 75905-630, Brasil;Rua das Turmalinas 500 Rio Verde GO 75905630 Brazil;Rio Verde;GO;75905630;-17.79272;-50.91966;-17.79272;-50.91966;QD62 Parque Bandeirante Prol;;
29;;;endereco;Rua Olívia Marques, 553, Centro, Itapeva - SP, 18400-100, Brasil;Rua Olivia Marques 553 Itapeva SP 18400100 Brazil;Itapeva;SP;18400100;-23.98501;-48.87427;-23.98501;-48.87427;Centro;;
30;;;endereco;Rua São Paulo, 1128, Jardim Porto Alegre, Toledo - PR, 85906-150, Brasil;Rua Sao Paulo 1128 Toledo PR 85906150 Brazil;Toledo;PR;85906150;-24.712;-53.71762;-24.712;-53.71762;Jardim Porto Alegre;;
31;;;endereco;Rua Mauro Lopes, Arujá - SP, 07434-300, Brasil;Rua Mauro Lopes Aruja SP 07434300 Brazil;Arujá;SP;07434300;-23.41187;-46.32224;-23.41187;-46.32224;;ALTO;sem numero de porta
32;;;endereco;Rua Onze, 2, Cara Cara, Ponta Grossa - PR, 84052-020, Brasil;Rua Onze 2 Ponta Grossa PR 84052020 Brazil;Ponta Grossa;PR;84052020;-25.10829;-50.09572;-25.10829;-50.09572;Cara Cara;;
