linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
3;;;endereco;Ponte Dom Tito Buss, Jardim América, Rio do Sul - SC, 89160-000, Brasil;Jardim America Rio do Sul SC 89160000 Brazil;Rio do Sul;SC;89160000;-27.20859;-49.63256;-27.20859;-49.63256;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
4;;;endereco;Rua Afonso Pena, Timbó - SC, 89120-000, Brasil;Rua Afonso Pena Timbo SC 89120000 Brazil;Timbó;SC;89120000;-26.84787;-49.26781;-26.84787;-49.26781;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
5;;;endereco;Avenida Primeiro de Maio, 961, Poço Fundo, Brusque - SC, 88353-202, Brasil;Avenida Primeiro de Maio 961 Brusque SC 88353202 Brazil;Brusque;SC;88353202;-27.12149;-48.90193;-27.12149;-48.90193;Poço Fundo;;
6;;;endereco;Rua Gerhard Nelson Appel, 145, Centro 2, Brusque - SC, 88354-121, Brasil;Rua Gerhard Nelson Appel 145 Brusque SC 88354121 Brazil;Brusque;SC;88354121;-27.10766;-48.91622;-27.10766;-48.91622;Centro 2;;
7;;;endereco;Rua Doutor Olímpio de Souza Pitanga, 688, Jardim Maluche, Brusque - SC, 88354-310, Brasil;Rua Doutor Olimpio de Souza Pitanga 688 Brusque SC 88354310 Brazil;Brusque;SC;88354310;-27.10494;-48.93455;-27.10494;-48.93455;Jardim Maluche;;
8;;;endereco;Avenida Governador Irineu Bornhausen, Agronômica, Florianópolis - SC, 88015-710, Brasil;Avenida Governador Irineu Bornhausen Agronomica Florianopolis SC 88015710 Brazil;Florianópolis;SC;88015710;-27.58266;-48.54542;-27.58266;-48.54542;;ALTO;sem numero de porta
9;;;endereco;BR-101, Araranguá - SC, 88900-000, Brasil;BR 101 Ararangua SC 88900000 Brazil;Araranguá;SC;88900000;-29.00542;-49.56499;-29.00542;-49.56499;;ALTO;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
10;;;endereco;Rua Oswaldo Loos, 287, Poço Fundo, Brusque - SC, 88353-134, Brasil;Rua Oswaldo Loos 287 Brusque SC 88353134 Brazil;Brusque;SC;88353134;-27.10698;-48.90726;-27.10698;-48.90726;Poço Fundo;;
11;;;endereco;Rua Gustavo Zimmermann, 9969, Itoupava Alta, Blumenau - SC, 89063-185, Brasil;Rua Gustavo Zimmermann 9969 Blumenau SC 89063185 Brazil;Blumenau;SC;89063185;-26.7657;-49.07735;-26.7657;-49.07735;Itoupava Alta;;
12;;;endereco;Rua Santa Catarina, 819, Ascurra - SC, 89138-000, Brasil;Rua Santa Catarina 819 Ascurra SC 89138000 Brazil;Ascurra;SC;89138000;-26.94565;-49.38081;-26.94565;-49.38081;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
13;;;endereco;Avenida Normando Tedesco, 153, Centro, Balneário Camboriú - SC, 88330-120, Brasil;Avenida Normando Tedesco 153 Balneario Camboriu SC 88330120 Brazil;Balneário Camboriú;SC;88330120;-27.00748;-48.61041;-27.00748;-48.61041;Centro;;
14;;;endereco;Rua Bertolino João de Melo, Santo Amaro da Imperatriz - SC, 88140-000, Brasil;Rua Bertolino Joao de Melo Santo Amaro da Imperatriz SC 88140000 Brazil;Santo Amaro da Imperatriz;SC;88140000;-27.68048;-48.76614;-27.68048;-48.76614;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
15;;;endereco;Rua Cherne, 464, Centro, Bombinhas - SC, 88215-000, Brasil;Rua Cherne 464 Bombinhas SC 88215000 Brazil;Bombinhas;SC;88215000;-27.14922;-48.49815;-27.14922;-48.49815;Centro;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
16;;;endereco;Rua Otto Hoier, 56, São Vicente, Itajaí - SC, 88308-100, Brasil;Rua Otto Hoier 56 Itajai SC 88308100 Brazil;Itajaí;SC;88308100;-26.91061;-48.68594;-26.91061;-48.68594;São Vicente;;
