linha;nome;motivo;endereco_original
2;linha 2;endereco incompleto;São Joaquim, SC, Brasil
88;linha 88;endereco incompleto;São Gonçalo do Sapucaí, MG, Brasil
104;linha 104;endereco incompleto;Araponga, MG, Brasil
106;linha 106;endereco incompleto;Três Rios, RJ, Brasil
116;linha 116;endereco incompleto;Valença, RJ, Brasil
122;linha 122;endereco incompleto;Piracaia, SP, Brasil
174;linha 174;endereco incompleto;Angra dos Reis, RJ, Brasil
192;linha 192;endereco incompleto;Angra dos Reis, RJ, Brasil
196;linha 196;endereco incompleto;Angra dos Reis, RJ, Brasil
214;linha 214;endereco incompleto;Mairipotaba, GO, Brasil
216;linha 216;endereco incompleto;Silvânia, GO, Brasil
218;linha 218;endereco incompleto;Silvânia, GO, Brasil
224;linha 224;endereco incompleto;Pirenópolis, GO, Brasil
225;linha 225;endereco incompleto;Santo Antônio de Goiás, GO, Brasil
233;linha 233;endereco incompleto;Angra dos Reis, RJ, Brasil
