linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Avenida Deputado Jamel Cecílio, Jardim Goiás, Goiânia - GO, 74810-100, Brasil;Avenida Deputado Jamel Cecilio Jardim Goias Goiania GO 74810100 Brazil;Goiânia;GO;74810100;-16.70687;-49.23757;-16.70687;-49.23757;;ALTO;sem numero de porta
4;;;endereco;Shin Ca 4, Setor de Hab. Individuais Norte, Lago Norte - DF, 71503-504, Brasil;Shin Ca 4 Lago Norte DF 71503504 Brazil;Lago Norte;DF;71503504;-15.71941;-47.88518;-15.71941;-47.88518;Setor de Hab. Individuais Norte;;
5;;;endereco;Salvatore Ferragamo, Avenida Presidente Juscelino Kubitschek, 2041, Itaim Bibi, São Paulo - SP, 04543-011, Brasil;Avenida Presidente Juscelino Kubitschek 2041 Sao Paulo SP 04543011 Brazil;São Paulo;SP;04543011;-23.59042;-46.69055;-23.59042;-46.69055;Itaim Bibi;;
6;;;endereco;Lima's Lanches Truck, Avenida Marginal Pinheiros, Morumbi, São Paulo - SP, 05502-001, Brasil;Avenida Marginal Pinheiros Morumbi Sao Paulo SP 05502001 Brazil;São Paulo;SP;05502001;-23.59725;-46.69733;-23.59725;-46.69733;;ALTO;sem numero de porta
7;;;endereco;Fit, Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo - SP, 01456-060, Brasil;Avenida Brigadeiro Faria Lima Pinheiros Sao Paulo SP 01456060 Brazil;São Paulo;SP;01456060;-23.57732;-46.68818;-23.57732;-46.68818;;ALTO;sem numero de porta
8;;;endereco;Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo - SP, 05426-100, Brasil;Avenida Brigadeiro Faria Lima Pinheiros Sao Paulo SP 05426100 Brazil;São Paulo;SP;05426100;-23.5709;-46.69072;-23.5709;-46.69072;;ALTO;sem numero de porta
9;;;endereco;Avenida Hélio Ossamu Daikuara, 1551, Jardim Vista Alegre, Embu das Artes - SP, 06807-315, Brasil;Avenida Helio Ossamu Daikuara 1551 Embu das Artes SP 06807315 Brazil;Embu das Artes;SP;06807315;-23.63382;-46.82559;-23.63382;-46.82559;Jardim Vista Alegre;;
10;;;endereco;Avenida do Batel, 1868, Batel, Curitiba - PR, 80420-090, Brasil;Avenida do Batel 1868 Curitiba PR 80420090 Brazil;Curitiba;PR;80420090;-25.44349;-49.29056;-25.44349;-49.29056;Batel;;
11;;;endereco;PANDORA, Alameda Terracota, 545, Cerâmica, São Caetano do Sul - SP, Brasil;Alameda Terracota 545 Sao Caetano do Sul SP Brazil;São Caetano do Sul;SP;;-23.62648;-46.57981;-23.62648;-46.57981;Cerâmica;;
12;;;endereco;Avenida Perimetral Norte, Jardim Balneário Meia Ponte, Goiânia - GO, 74573-260, Brasil;Avenida Perimetral Norte Jardim Balneario Meia Ponte Goiania GO 74573260 Brazil;Goiânia;GO;74573260;-16.62994;-49.27552;-16.62994;-49.27552;;ALTO;sem numero de porta
