severidade;linha;nome;endereco_dsp;risco
ALTO;2;;Avenida Deputado Jamel Cecilio Jardim Goias Goiania GO 74810100 Brazil;sem numero de porta
ALTO;6;;Avenida Marginal Pinheiros Morumbi Sao Paulo SP 05502001 Brazil;sem numero de porta
ALTO;7;;Avenida Brigadeiro Faria Lima Pinheiros Sao Paulo SP 01456060 Brazil;sem numero de porta
ALTO;8;;Avenida Brigadeiro Faria Lima Pinheiros Sao Paulo SP 05426100 Brazil;sem numero de porta
ALTO;12;;Avenida Perimetral Norte Jardim Balneario Meia Ponte Goiania GO 74573260 Brazil;sem numero de porta
ALTO;13;;New Time Santo Amaro Sao Paulo SP 04710190 Brazil;sem numero de porta
ALTO;18;;Avenida Independencia Sao Mateus Juiz de Fora MG 36025320 Brazil;sem numero de porta
ALTO;19;;Stein Associados Centro Joinville SC 89201420 Brazil;sem numero de porta
ALTO;22;;Avenida Pompeia Barra Funda Sao Paulo SP 05022000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;26;;JOHN JOHN Mooca Sao Paulo SP 03109000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;27;;Rua Tenente Antonio Joao Zona Industrial Norte Joinville SC 89219720 Brazil;sem numero de porta
ALTO;28;;Rodovia Presidente Castelo Branco Sao Roque SP 18132851 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;29;;Rua North Shopping Barretos Pereira Barretos SP 14784190 Brazil;sem numero de porta
ALTO;31;;Rua Henrique Savi Jardim Infante Dom Henrique Bauru SP 17012205 Brazil;sem numero de porta
ALTO;34;;Rua Frei Rolim Cursino Sao Paulo SP 04151100 Brazil;sem numero de porta
ALTO;36;;Rodovia Governador Mario Covas Porto Belo SC 85874000 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;40;;Rua Fonseca Bangu Rio de Janeiro RJ 21820005 Brazil;sem numero de porta
ALTO;41;;Avenida Dom Helder Camara Cachambi Rio de Janeiro RJ 20771004 Brazil;sem numero de porta
ALTO;43;;Avenida Regente Feijo Vila Formosa Sao Paulo SP 03342000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;44;;Rua Professor Antonio Maria Teixeira Leblon Rio de Janeiro RJ 22430050 Brazil;sem numero de porta
ALTO;48;;Rodovia Marechal Rondon Vila Cardia Bauru SP 17030005 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;49;;Rodovia do Cafe Governador Ney Braga Campo Largo PR Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;50;;Alameda 1 Ribeirao Preto SP Brazil;logradouro sem nome
ALTO;52;;BRT Transoeste Vargem Grande Rio de Janeiro RJ 22640100 Brazil;sem numero de porta
ALTO;54;;Praca Oswaldo Cruz Centro Curitiba PR 80250230 Brazil;sem numero de porta
ALTO;55;;Rua Roma Jardim Excelsior Cabo Frio RJ Brazil;sem numero de porta
ALTO;56;;Avenida Alberto Benassi Jardim dos Manacas Araraquara SP 14804300 Brazil;sem numero de porta
ALTO;57;;Avenida Transguarulhense Picanco Guarulhos SP 07082055 Brazil;sem numero de porta
ALTO;58;;Estrada do Engenho d Agua Anil Rio de Janeiro RJ 22765240 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;61;;Avenida Gov Andre Franco Montoro Taboao da Serra SP 06757000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;64;;Shell ERL S Zona Civico Administrativa Brasilia DF Brazil;sem numero de porta
ALTO;65;;Rua Domingos Agostim Tatuape Sao Paulo SP 03306010 Brazil;sem numero de porta
