linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Rodovia Jorge Fortulino, Balneário Rincão - SC, 88828-000, Brasil;Rodovia Jorge Fortulino Balneario Rincao SC 88828000 Brazil;Balneário Rincão;SC;88828000;-28.8176;-49.25158;-28.8176;-49.25158;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
3;;;endereco;Rua Doutor Avelino Queiroz, 191, Capitólio - MG, 37930-000, Brasil;Rua Doutor Avelino Queiroz 191 Capitolio MG 37930000 Brazil;Capitólio;MG;37930000;-20.61413;-46.04788;-20.61413;-46.04788;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
4;;;endereco;Avenida Beira Mar, Perequê-Mirim, Ubatuba - SP, 11680-000, Brasil;Avenida Beira Mar Pereque Mirim Ubatuba SP 11680000 Brazil;Ubatuba;SP;11680000;-23.50346;-45.12436;-23.50346;-45.12436;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
5;;;endereco;Avenida São João, 298, Praia de Armação do Itaporocoy, Penha - SC, 88385-000, Brasil;Avenida Sao Joao 298 Penha SC 88385000 Brazil;Penha;SC;88385000;-26.78998;-48.6046;-26.78998;-48.6046;Praia de Armação do Itaporocoy;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
6;;;endereco;Rua São Paulo, 780, Umuarama, Itanhaém - SP, 11740-000, Brasil;Rua Sao Paulo 780 Itanhaem SP 11740000 Brazil;Itanhaém;SP;11740000;-24.1747;-46.81734;-24.1747;-46.81734;Umuarama;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
7;;;endereco;Rua Lateral BR 101, 243, Prado de Baixo, Biguaçu - SC, 88160-000, Brasil;Rua Lateral BR 101 243 Biguacu SC 88160000 Brazil;Biguaçu;SC;88160000;-27.48636;-48.64833;-27.48636;-48.64833;Prado de Baixo;ALTO;"endereco de rodovia (57-67% falharam); CEP generico de cidade, nao de rua (2,4x mais falha)"
8;;;endereco;Rua do Prefeito, 295, Torres - RS, 95560-000, Brasil;Rua do Prefeito 295 Torres RS 95560000 Brazil;Torres;RS;95560000;-29.3281;-49.73955;-29.3281;-49.73955;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
9;;;endereco;Avenida João Carraro, 256, Porto Rico - PR, 87950-000, Brasil;Avenida Joao Carraro 256 Porto Rico PR 87950000 Brazil;Porto Rico;PR;87950000;-22.77218;-53.26762;-22.77218;-53.26762;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
10;;;endereco;Rua Osório Fernandes de Macedo, 62, Da Barra, Balneário Camboriú - SC, 88332-075, Brasil;Rua Osorio Fernandes de Macedo 62 Balneario Camboriu SC 88332075 Brazil;Balneário Camboriú;SC;88332075;-27.00962;-48.61308;-27.00962;-48.61308;Da Barra;;
11;;;endereco;Rua Minas Gerais, 474, Paranagi, Sertaneja - PR, 86340-000, Brasil;Rua Minas Gerais 474 Sertaneja PR 86340000 Brazil;Sertaneja;PR;86340000;-22.84635;-50.87609;-22.84635;-50.87609;Paranagi;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
12;;;endereco;Rodovia Ariovaldo de Almeida Viana, Guarujá - SP, Brasil;Rodovia Ariovaldo de Almeida Viana Guaruja SP Brazil;Guarujá;SP;;-23.92762;-46.20835;-23.92762;-46.20835;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta"
13;;;endereco;Avenida Celso Romano de Oliveira, Porto Rico - PR, 87950-000, Brasil;Avenida Celso Romano de Oliveira Porto Rico PR 87950000 Brazil;Porto Rico;PR;87950000;-22.77131;-53.26849;-22.77131;-53.26849;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
14;;;endereco;Rua Brasil, Centro, Campo Mourão - PR, Brasil;Rua Brasil Centro Campo Mourao PR Brazil;Campo Mourão;PR;;-24.04366;-52.37811;-24.04366;-52.37811;;ALTO;sem numero de porta
15;;;endereco;Avenida Manoel Silva, 51, Porto Novo, Caraguatatuba - SP, 11667-752, Brasil;Avenida Manoel Silva 51 Caraguatatuba SP 11667752 Brazil;Caraguatatuba;SP;11667752;-23.69568;-45.43858;-23.69568;-45.43858;Porto Novo;;
16;;;endereco;Rua Jorge Salvador Chere, 197, Guarujá - SP, 11420-700, Brasil;Rua Jorge Salvador Chere 197 Guaruja SP 11420700 Brazil;Guarujá;SP;11420700;-24.00062;-46.29679;-24.00062;-46.29679;;;
17;;;endereco;Avenida Agenor Nogueira, 1115, Presidente Epitácio - SP, 19470-000, Brasil;Avenida Agenor Nogueira 1115 Presidente Epitacio SP 19470000 Brazil;Presidente Epitácio;SP;19470000;-21.74222;-52.07958;-21.74222;-52.07958;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
18;;;endereco;Marina Flat Píer 22, Perequê-Mirim, Caraguatatuba - SP, 11667-000, Brasil;Marina Flat Pier 22 Caraguatatuba SP 11667000 Brazil;Caraguatatuba;SP;11667000;-23.70726;-45.43257;-23.70726;-45.43257;Perequê-Mirim;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
19;;;endereco;Rua Pedro Balbino de Souza, 17, Carlópolis - PR, 86420-000, Brasil;Rua Pedro Balbino de Souza 17 Carlopolis PR 86420000 Brazil;Carlópolis;PR;86420000;-23.42738;-49.72396;-23.42738;-49.72396;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
20;;;endereco;Avenida Antônio Sindeaux de Lima, 349, Santa Clara d'Oeste - SP, 15785-000, Brasil;Avenida Antonio Sindeaux de Lima 349 Santa Clara d Oeste SP 15785000 Brazil;Santa Clara d'Oeste;SP;15785000;-20.09167;-50.9285;-20.09167;-50.9285;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
21;;;endereco;Náutica Barramar, Rua Benedito Pereira, 280, Perequê-Mirim, Caraguatatuba - SP, 11668-620, Brasil;Rua Benedito Pereira 280 Caraguatatuba SP 11668620 Brazil;Caraguatatuba;SP;11668620;-23.71004;-45.43012;-23.71004;-45.43012;Perequê-Mirim;;
22;;;endereco;Rua Maria Francisca Pereira, 1676, Rosana - SP, 19273-000, Brasil;Rua Maria Francisca Pereira 1676 Rosana SP 19273000 Brazil;Rosana;SP;19273000;-22.57717;-53.05824;-22.57717;-53.05824;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
23;;;endereco;Rua dos Expedicionários, 41, Estradinha, Paranaguá - PR, 83206-450, Brasil;Rua dos Expedicionarios 41 Paranagua PR 83206450 Brazil;Paranaguá;PR;83206450;-25.52757;-48.50954;-25.52757;-48.50954;Estradinha;;
24;;;endereco;Magazine Luiza, Cássia - MG, 37980-000, Brasil;Magazine Luiza Cassia MG 37980000 Brazil;Cássia;MG;37980000;-20.58495;-46.91916;-20.58495;-46.91916;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
25;;;endereco;Avenida João José da Cruz, 777, Canto Grande, Bombinhas - SC, 88215-000, Brasil;Avenida Joao Jose da Cruz 777 Bombinhas SC 88215000 Brazil;Bombinhas;SC;88215000;-27.18953;-48.50619;-27.18953;-48.50619;Canto Grande;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
26;;;endereco;Rua Elisa Gomes, 6, Formiga - MG, 35574-372, Brasil;Rua Elisa Gomes 6 Formiga MG 35574372 Brazil;Formiga;MG;35574372;-20.45935;-45.43581;-20.45935;-45.43581;;;
27;;;endereco;Rua Quatorze, 531, Cachoeira Dourada - MG, 38370-000, Brasil;Rua Quatorze 531 Cachoeira Dourada MG 38370000 Brazil;Cachoeira Dourada;MG;38370000;-18.51745;-49.49777;-18.51745;-49.49777;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
28;;;endereco;PR-412, Pontal do Paraná - PR, 83255-000, Brasil;PR 412 Pontal do Parana PR 83255000 Brazil;Pontal do Paraná;PR;83255000;-25.69724;-48.47598;-25.69724;-48.47598;;ALTO;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
29;;;endereco;Rua A. S. da Silva, 113, Centro Penha, Penha - SC, 88385-000, Brasil;Rua A S da Silva 113 Penha SC 88385000 Brazil;Penha;SC;88385000;-26.77592;-48.647;-26.77592;-48.647;Centro Penha;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
30;;;endereco;Rua Portugal, 67, Do Ubatuba, São Francisco do Sul - SC, 89240-000, Brasil;Rua Portugal 67 Sao Francisco do Sul SC 89240000 Brazil;São Francisco do Sul;SC;89240000;-26.18855;-48.57124;-26.18855;-48.57124;Do Ubatuba;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
31;;;endereco;Alameda Pintassilgo, 14, Carlópolis - PR, 86420-000, Brasil;Alameda Pintassilgo 14 Carlopolis PR 86420000 Brazil;Carlópolis;PR;86420000;-23.38735;-49.64048;-23.38735;-49.64048;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
32;;;endereco;Rua Otavio Carlos, 105A, Bom Sucesso - MG, 37220-000, Brasil;Rua Otavio Carlos 105A Bom Sucesso MG 37220000 Brazil;Bom Sucesso;MG;37220000;-21.03506;-44.75932;-21.03506;-44.75932;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
33;;;endereco;Rua Nossa Senhora da Boa Viagem, 1424, Arquipélago, Porto Alegre - RS, 90090-140, Brasil;Rua Nossa Senhora da Boa Viagem 1424 Porto Alegre RS 90090140 Brazil;Porto Alegre;RS;90090140;-30.01875;-51.2565;-30.01875;-51.2565;Arquipélago;;
34;;;endereco;Rua Hespanhol, 522, Passo de Torres - SC, 88980-000, Brasil;Rua Hespanhol 522 Passo de Torres SC 88980000 Brazil;Passo de Torres;SC;88980000;-29.32079;-49.72393;-29.32079;-49.72393;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
35;;;endereco;Rodovia Tertuliano Brito Xavier, 1800, Jurere Leste, Florianópolis - SC, 88054-601, Brasil;Rodovia Tertuliano Brito Xavier 1800 Florianopolis SC 88054601 Brazil;Florianópolis;SC;88054601;-27.43111;-48.4774;-27.43111;-48.4774;Jurere Leste;ALTO;endereco de rodovia (57-67% falharam)
36;;;endereco;Evolution Language, Avenida Rio Branco, Indaiá, Caraguatatuba - SP, 11665-600, Brasil;Avenida Rio Branco Indaia Caraguatatuba SP 11665600 Brazil;Caraguatatuba;SP;11665600;-23.63056;-45.42703;-23.63056;-45.42703;;ALTO;sem numero de porta
37;;;endereco;Estrada Cubatão Grande, 2101, Vila Cubatão, Joinville - SC, 89226-833, Brasil;Estrada Cubatao Grande 2101 Joinville SC 89226833 Brazil;Joinville;SC;89226833;-26.20245;-48.79225;-26.20245;-48.79225;Vila Cubatão;ALTO;endereco de rodovia (57-67% falharam)
38;;;endereco;Praça Flórida, 333, Florida, Guaíba - RS, 92728-335, Brasil;Praca Florida 333 Guaiba RS 92728335 Brazil;Guaíba;RS;92728335;-30.15222;-51.32239;-30.15222;-51.32239;Florida;;
39;;;endereco;Avenida Nuta James, 65, Barra da Tijuca, Rio de Janeiro - RJ, 22640-030, Brasil;Avenida Nuta James 65 Rio de Janeiro RJ 22640030 Brazil;Rio de Janeiro;RJ;22640030;-23.00528;-43.31273;-23.00528;-43.31273;Barra da Tijuca;;
40;;;endereco;Rua Augusto de Lima, 889, Umuarama, Itanhaém - SP, 11740-000, Brasil;Rua Augusto de Lima 889 Itanhaem SP 11740000 Brazil;Itanhaém;SP;11740000;-24.1733;-46.81861;-24.1733;-46.81861;Umuarama;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
41;;;endereco;Avenida Beira Rio, 346, Porto Rico - PR, 87950-000, Brasil;Avenida Beira Rio 346 Porto Rico PR 87950000 Brazil;Porto Rico;PR;87950000;-22.76919;-53.26756;-22.76919;-53.26756;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
42;;;endereco;Rua Fortaleza, 25, São João Batista do Glória - MG, 37920-000, Brasil;Rua Fortaleza 25 Sao Joao Batista do Gloria MG 37920000 Brazil;São João Batista do Glória;MG;37920000;-20.63509;-46.50548;-20.63509;-46.50548;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
43;;;endereco;Rodovia Arlindo Bettio, Rosana - SP, 19273-000, Brasil;Rodovia Arlindo Bettio Rosana SP 19273000 Brazil;Rosana;SP;19273000;-22.5736;-53.05551;-22.5736;-53.05551;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
44;;;endereco;Rua Floresta, 985, Chácara da Saudade, Paraty - RJ, 23970-000, Brasil;Rua Floresta 985 Paraty RJ 23970000 Brazil;Paraty;RJ;23970000;-23.22002;-44.72043;-23.22002;-44.72043;Chácara da Saudade;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
45;;;endereco;Avenida Prefeito Cirino Cabral, 9515, De Gravatá, Navegantes - SC, 88375-000, Brasil;Avenida Prefeito Cirino Cabral 9515 Navegantes SC 88375000 Brazil;Navegantes;SC;88375000;-26.82704;-48.62318;-26.82704;-48.62318;De Gravatá;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
46;;;endereco;Rua Arthur Bernardes, 66, Porto Mendes, Marechal Cândido Rondon - PR, 85960-000, Brasil;Rua Arthur Bernardes 66 Marechal Candido Rondon PR 85960000 Brazil;Marechal Cândido Rondon;PR;85960000;-24.492;-54.31242;-24.492;-54.31242;Porto Mendes;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
47;;;endereco;Rua Aristides de Oliveira, 177, Bockmann, Paranaguá - PR, 83203-695, Brasil;Rua Aristides de Oliveira 177 Paranagua PR 83203695 Brazil;Paranaguá;PR;83203695;-25.51657;-48.523;-25.51657;-48.523;Bockmann;;
48;;;endereco;Avenida Euginio José Gomes, 95, Santa Clara d'Oeste - SP, 15785-000, Brasil;Avenida Euginio Jose Gomes 95 Santa Clara d Oeste SP 15785000 Brazil;Santa Clara d'Oeste;SP;15785000;-20.09235;-50.93033;-20.09235;-50.93033;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
49;;;endereco;Avenida Maringá, 11, Porto Maringá, Marilena - PR, 87960-000, Brasil;Avenida Maringa 11 Marilena PR 87960000 Brazil;Marilena;PR;87960000;-22.66777;-53.07973;-22.66777;-53.07973;Porto Maringá;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
