linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Botanique Hotel & Spa in Campos do Jordão, Rua Elípio Gonçalves da Silva, 4000, Campos do Jordão - SP, 12460-000, Brasil;Rua Elipio Goncalves da Silva 4000 Campos do Jordao SP 12460000 Brazil;Campos do Jordão;SP;12460000;-22.78144;-45.66284;-22.78144;-45.66284;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
3;;;endereco;Avenida Doutor Alberto Penteado, 35, Morumbi, São Paulo - SP, 05678-000, Brasil;Avenida Doutor Alberto Penteado 35 Sao Paulo SP 05678000 Brazil;São Paulo;SP;05678000;-23.59742;-46.70085;-23.59742;-46.70085;Morumbi;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
4;;;endereco;Zoe Films, Avenida Paulista, 1374, Jardim Paulista, São Paulo - SP, 01419-001, Brasil;Avenida Paulista 1374 Sao Paulo SP 01419001 Brazil;São Paulo;SP;01419001;-23.56369;-46.65608;-23.56369;-46.65608;Jardim Paulista;;
5;;;endereco;Estrada Ernesto Diedericksen, Campos do Jordão - SP, 12460-000, Brasil;Estrada Ernesto Diedericksen Campos do Jordao SP 12460000 Brazil;Campos do Jordão;SP;12460000;-22.77137;-45.59987;-22.77137;-45.59987;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
6;;;endereco;Rua Harry Bertell, Jardim Martinelli, Itatiaia - RJ, 27580-000, Brasil;Rua Harry Bertell Jardim Martinelli Itatiaia RJ 27580000 Brazil;Itatiaia;RJ;27580000;-22.4339;-44.51979;-22.4339;-44.51979;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
7;;;endereco;Rua Deputado Laércio Corte, 1501, Vila Andrade, São Paulo - SP, 05706-290, Brasil;Rua Deputado Laercio Corte 1501 Sao Paulo SP 05706290 Brazil;São Paulo;SP;05706290;-23.632;-46.72268;-23.632;-46.72268;Vila Andrade;;
8;;;endereco;Rua Francisco Vieira Mota, 10, Jacaúna, Aquiraz - CE, 61700-000, Brasil;Rua Francisco Vieira Mota 10 Aquiraz CE 61700000 Brazil;Aquiraz;CE;61700000;-3.94428;-38.27628;-3.94428;-38.27628;Jacaúna;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
9;;;endereco;Alameda das Siriemas, Porto Feliz - SP, 18540-000, Brasil;Alameda das Siriemas Porto Feliz SP 18540000 Brazil;Porto Feliz;SP;18540000;-23.3717;-47.56257;-23.3717;-47.56257;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
10;;;endereco;Boa Vista Surf Lodge, Porto Feliz - SP, 18540-000, Brasil;Boa Vista Surf Lodge Porto Feliz SP 18540000 Brazil;Porto Feliz;SP;18540000;-23.3706;-47.55009;-23.3706;-47.55009;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
11;;;endereco;Residencial Fazenda da Grama, Rodovia Miguel Melhado Campos, Itupeva - SP, 13295-000, Brasil;Residencial Fazenda da Grama Rodovia Miguel Melhado Campos Itupeva SP 13295000 Brazil;Itupeva;SP;13295000;-23.05409;-47.07024;-23.05409;-47.07024;;ALTO;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
