linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Rua Irmã, 158, Penha, São Paulo - SP, 03656-040, Brasil;Rua Irma 158 Sao Paulo SP 03656040 Brazil;São Paulo;SP;03656040;-23.52555;-46.50845;-23.52555;-46.50845;Penha;;
3;;;endereco;Maní, Rua Joaquim Antunes, 210, Pinheiros, São Paulo - SP, 05415-000, Brasil;Rua Joaquim Antunes 210 Sao Paulo SP 05415000 Brazil;São Paulo;SP;05415000;-23.56624;-46.67955;-23.56624;-46.67955;Pinheiros;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
4;;;endereco;Restaurante Parador, Rua Araújo, 126, República, São Paulo - SP, 01247-090, Brasil;Rua Araujo 126 Sao Paulo SP 01247090 Brazil;São Paulo;SP;01247090;-23.54491;-46.6447;-23.54491;-46.6447;República;;
5;;;endereco;Rua Padre João Manuel, 950, Jardim Paulista, São Paulo - SP, 01411-001, Brasil;Rua Padre Joao Manuel 950 Sao Paulo SP 01411001 Brazil;São Paulo;SP;01411001;-23.56512;-46.66596;-23.56512;-46.66596;Jardim Paulista;;
6;;;endereco;Rua General Jardim, 173, República, São Paulo - SP, 01223-011, Brasil;Rua General Jardim 173 Sao Paulo SP 01223011 Brazil;São Paulo;SP;01223011;-23.54484;-46.64622;-23.54484;-46.64622;República;;
7;;;endereco;Rua Augusta, 2985, Jardim Paulista, São Paulo - SP, 01412-100, Brasil;Rua Augusta 2985 Sao Paulo SP 01412100 Brazil;São Paulo;SP;01412100;-23.56646;-46.66866;-23.56646;-46.66866;Jardim Paulista;;
8;;;endereco;Rua Fradique Coutinho, 1897, Pinheiros, São Paulo - SP, 05416-012, Brasil;Rua Fradique Coutinho 1897 Sao Paulo SP 05416012 Brazil;São Paulo;SP;05416012;-23.55183;-46.69431;-23.55183;-46.69431;Pinheiros;;
9;;;endereco;Rua Mourato Coelho, 1404, Pinheiros, São Paulo - SP, 05417-002, Brasil;Rua Mourato Coelho 1404 Sao Paulo SP 05417002 Brazil;São Paulo;SP;05417002;-23.55612;-46.69257;-23.55612;-46.69257;Pinheiros;;
10;;;endereco;Rua Augusta, 1291, Consolação, São Paulo - SP, 01304-001, Brasil;Rua Augusta 1291 Sao Paulo SP 01304001 Brazil;São Paulo;SP;01304001;-23.5555;-46.6571;-23.5555;-46.6571;Consolação;;
11;;;endereco;Rua Vitório Fasano, 88, Jardim Paulista, São Paulo - SP, 01414-020, Brasil;Rua Vitorio Fasano 88 Sao Paulo SP 01414020 Brazil;São Paulo;SP;01414020;-23.56445;-46.66949;-23.56445;-46.66949;Jardim Paulista;;
12;;;endereco;Dior, Avenida Magalhães de Castro, 12000, Morumbi, São Paulo - SP, 05676-030, Brasil;Avenida Magalhaes de Castro 12000 Sao Paulo SP 05676030 Brazil;São Paulo;SP;05676030;-23.59881;-46.69824;-23.59881;-46.69824;Morumbi;;
13;;;endereco;Rua dos Pinheiros, 1269, Pinheiros, São Paulo - SP, 05422-012, Brasil;Rua dos Pinheiros 1269 Sao Paulo SP 05422012 Brazil;São Paulo;SP;05422012;-23.56829;-46.68974;-23.56829;-46.68974;Pinheiros;;
14;;;endereco;Rua Bela Cintra, 2062, Jardim Paulista, São Paulo - SP, 01415-007, Brasil;Rua Bela Cintra 2062 Sao Paulo SP 01415007 Brazil;São Paulo;SP;01415007;-23.56262;-46.6686;-23.56262;-46.6686;Jardim Paulista;;
15;;;endereco;Uniao Geral Armênia de Beneficencia, Rua Natingui, 1545, Pinheiros, São Paulo - SP, 05429-040, Brasil;Rua Natingui 1545 Sao Paulo SP 05429040 Brazil;São Paulo;SP;05429040;-23.55973;-46.69936;-23.55973;-46.69936;Pinheiros;;
16;;;endereco;Rua Haddock Lobo, 1663, Jardim Paulista, São Paulo - SP, 01414-001, Brasil;Rua Haddock Lobo 1663 Sao Paulo SP 01414001 Brazil;São Paulo;SP;01414001;-23.56515;-46.66881;-23.56515;-46.66881;Jardim Paulista;;
17;;;endereco;Rua Tabapuã, 1480, Itaim Bibi, São Paulo - SP, 04533-005, Brasil;Rua Tabapua 1480 Sao Paulo SP 04533005 Brazil;São Paulo;SP;04533005;-23.58558;-46.68481;-23.58558;-46.68481;Itaim Bibi;;
18;;;endereco;Lair Nunes Ribeiro, Rua Augusta, Jardim Paulista, São Paulo - SP, 01412-000, Brasil;Rua Augusta Jardim Paulista Sao Paulo SP 01412000 Brazil;São Paulo;SP;01412000;-23.56053;-46.66233;-23.56053;-46.66233;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
19;;;endereco;Rua Doutor Mário Ferraz, 529, Itaim Bibi, São Paulo - SP, 01453-011, Brasil;Rua Doutor Mario Ferraz 529 Sao Paulo SP 01453011 Brazil;São Paulo;SP;01453011;-23.58487;-46.68501;-23.58487;-46.68501;Itaim Bibi;;
20;;;endereco;Barbearia da Esquina, Rua Joaquim Antunes, Pinheiros, São Paulo - SP, 05415-001, Brasil;Rua Joaquim Antunes Pinheiros Sao Paulo SP 05415001 Brazil;São Paulo;SP;05415001;-23.56473;-46.68111;-23.56473;-46.68111;;ALTO;sem numero de porta
21;;;endereco;Rua Oscar Freire, 155, Jardim Paulista, São Paulo - SP, 01426-001, Brasil;Rua Oscar Freire 155 Sao Paulo SP 01426001 Brazil;São Paulo;SP;01426001;-23.56781;-46.66391;-23.56781;-46.66391;Jardim Paulista;;
22;;;endereco;Rua Diogo Jácome, 618, Moema, São Paulo - SP, 04512-001, Brasil;Rua Diogo Jacome 618 Sao Paulo SP 04512001 Brazil;São Paulo;SP;04512001;-23.59713;-46.66792;-23.59713;-46.66792;Moema;;
23;;;endereco;Rua Oscar Freire, 1631, Jardim Paulista, São Paulo - SP, 05409-010, Brasil;Rua Oscar Freire 1631 Sao Paulo SP 05409010 Brazil;São Paulo;SP;05409010;-23.55786;-46.67376;-23.55786;-46.67376;Jardim Paulista;;
24;;;endereco;Rua Estados Unidos, 1812, Jardim Paulista, São Paulo - SP, 01427-001, Brasil;Rua Estados Unidos 1812 Sao Paulo SP 01427001 Brazil;São Paulo;SP;01427001;-23.56504;-46.67092;-23.56504;-46.67092;Jardim Paulista;;
25;;;endereco;Rua dos Pinheiros, 1629, Pinheiros, São Paulo - SP, 05422-012, Brasil;Rua dos Pinheiros 1629 Sao Paulo SP 05422012 Brazil;São Paulo;SP;05422012;-23.5676;-46.69342;-23.5676;-46.69342;Pinheiros;;
26;;;endereco;Rua dos Pinheiros, 227, Pinheiros, São Paulo - SP, 05422-010, Brasil;Rua dos Pinheiros 227 Sao Paulo SP 05422010 Brazil;São Paulo;SP;05422010;-23.56479;-46.68047;-23.56479;-46.68047;Pinheiros;;
27;;;endereco;Rua dos Pinheiros, 262, Pinheiros, São Paulo - SP, 05422-000, Brasil;Rua dos Pinheiros 262 Sao Paulo SP 05422000 Brazil;São Paulo;SP;05422000;-23.56467;-46.68085;-23.56467;-46.68085;Pinheiros;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
28;;;endereco;Rua Bela Cintra, 2047, Jardim Paulista, São Paulo - SP, 01415-002, Brasil;Rua Bela Cintra 2047 Sao Paulo SP 01415002 Brazil;São Paulo;SP;01415002;-23.56272;-46.6682;-23.56272;-46.6682;Jardim Paulista;;
29;;;endereco;Rua Estados Unidos, 2085, Jardim Paulista, São Paulo - SP, 01427-002, Brasil;Rua Estados Unidos 2085 Sao Paulo SP 01427002 Brazil;São Paulo;SP;01427002;-23.56353;-46.67311;-23.56353;-46.67311;Jardim Paulista;;
30;;;endereco;Rua Bela Cintra, 2209, Jardim Paulista, São Paulo - SP, 01415-009, Brasil;Rua Bela Cintra 2209 Sao Paulo SP 01415009 Brazil;São Paulo;SP;01415009;-23.56374;-46.6694;-23.56374;-46.6694;Jardim Paulista;;
31;;;endereco;Rua dos Pinheiros, 1106, Pinheiros, São Paulo - SP, 05422-001, Brasil;Rua dos Pinheiros 1106 Sao Paulo SP 05422001 Brazil;São Paulo;SP;05422001;-23.56761;-46.68833;-23.56761;-46.68833;Pinheiros;;
32;;;endereco;Rua Joaquim Antunes, 183, Pinheiros, São Paulo - SP, 05415-010, Brasil;Rua Joaquim Antunes 183 Sao Paulo SP 05415010 Brazil;São Paulo;SP;05415010;-23.56666;-46.67982;-23.56666;-46.67982;Pinheiros;;
33;;;endereco;Rua dos Pinheiros, 209, Pinheiros, São Paulo - SP, 05422-010, Brasil;Rua dos Pinheiros 209 Sao Paulo SP 05422010 Brazil;São Paulo;SP;05422010;-23.56453;-46.68018;-23.56453;-46.68018;Pinheiros;;
34;;;endereco;Ourominas Dtvm, Avenida São Luís, República, São Paulo - SP, 01046-000, Brasil;Avenida Sao Luis Republica Sao Paulo SP 01046000 Brazil;São Paulo;SP;01046000;-23.54536;-46.64346;-23.54536;-46.64346;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
35;;;endereco;Ateliermix, Rua Oscar Freire, Jardim Paulista, São Paulo - SP, 01426-003, Brasil;Rua Oscar Freire Jardim Paulista Sao Paulo SP 01426003 Brazil;São Paulo;SP;01426003;-23.56338;-46.66893;-23.56338;-46.66893;;ALTO;sem numero de porta
36;;;endereco;Rua Dias Ferreira, 166, Leblon, Rio de Janeiro - RJ, 22431-050, Brasil;Rua Dias Ferreira 166 Rio de Janeiro RJ 22431050 Brazil;Rio de Janeiro;RJ;22431050;-22.98445;-43.22741;-22.98445;-43.22741;Leblon;;
37;;;endereco;Ponto De Carregamento Para Veículos Elétricos, Avenida Atlântica, 4240, Copacabana, Rio de Janeiro - RJ, 22070-002, Brasil;Avenida Atlantica 4240 Rio de Janeiro RJ 22070002 Brazil;Rio de Janeiro;RJ;22070002;-22.98627;-43.189;-22.98627;-43.189;Copacabana;;
38;;;endereco;Rua Dias Ferreira, 147, Leblon, Rio de Janeiro - RJ, 22431-050, Brasil;Rua Dias Ferreira 147 Rio de Janeiro RJ 22431050 Brazil;Rio de Janeiro;RJ;22431050;-22.98478;-43.22804;-22.98478;-43.22804;Leblon;;
39;;;endereco;Brazilian Hits Remakes, Rua Luís Coelho, Consolação, São Paulo - SP, 01309-000, Brasil;Rua Luis Coelho Consolacao Sao Paulo SP 01309000 Brazil;São Paulo;SP;01309000;-23.55689;-46.65919;-23.55689;-46.65919;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
40;;;endereco;Rua Iaiá, 107, Itaim Bibi, São Paulo - SP, 04537-010, Brasil;Rua Iaia 107 Sao Paulo SP 04537010 Brazil;São Paulo;SP;04537010;-23.58686;-46.67822;-23.58686;-46.67822;Itaim Bibi;;
41;;;endereco;Rua Joaquim Antunes, 116, Pinheiros, São Paulo - SP, 05415-000, Brasil;Rua Joaquim Antunes 116 Sao Paulo SP 05415000 Brazil;São Paulo;SP;05415000;-23.56707;-46.67918;-23.56707;-46.67918;Pinheiros;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
42;;;endereco;Rua Cônego Eugênio Leite, 220, Pinheiros, São Paulo - SP, 05414-011, Brasil;Rua Conego Eugenio Leite 220 Sao Paulo SP 05414011 Brazil;São Paulo;SP;05414011;-23.56443;-46.68026;-23.56443;-46.68026;Pinheiros;;
43;;;endereco;Rua Itapura, 1473, Tatuapé, São Paulo - SP, 03310-000, Brasil;Rua Itapura 1473 Sao Paulo SP 03310000 Brazil;São Paulo;SP;03310000;-23.5516;-46.56474;-23.5516;-46.56474;Tatuapé;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
44;;;endereco;Rua Haddock Lobo, 1415, Jardim Paulista, São Paulo - SP, 01414-003, Brasil;Rua Haddock Lobo 1415 Sao Paulo SP 01414003 Brazil;São Paulo;SP;01414003;-23.56351;-46.66718;-23.56351;-46.66718;Jardim Paulista;;
45;;;endereco;Rua Joaquim Antunes, 116, Pinheiros, São Paulo - SP, 05415-000, Brasil;Rua Joaquim Antunes 116 Sao Paulo SP 05415000 Brazil;São Paulo;SP;05415000;-23.56708;-46.67918;-23.56708;-46.67918;Pinheiros;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
46;;;endereco;Rua dos Pinheiros, 344, Pinheiros, São Paulo - SP, 05422-000, Brasil;Rua dos Pinheiros 344 Sao Paulo SP 05422000 Brazil;São Paulo;SP;05422000;-23.56487;-46.68146;-23.56487;-46.68146;Pinheiros;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
47;;;endereco;Rua Avanhandava, 908, República, São Paulo - SP, 01306-000, Brasil;Rua Avanhandava 908 Sao Paulo SP 01306000 Brazil;São Paulo;SP;01306000;-23.55035;-46.64505;-23.55035;-46.64505;República;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
48;;;endereco;Alameda Ministro Rocha Azevedo, 726, Jardim Paulista, São Paulo - SP, 01410-000, Brasil;Alameda Ministro Rocha Azevedo 726 Sao Paulo SP 01410000 Brazil;São Paulo;SP;01410000;-23.56363;-46.66193;-23.56363;-46.66193;Jardim Paulista;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
49;;;endereco;Rua Padre João Manuel, 955, Jardim Paulista, São Paulo - SP, 01411-001, Brasil;Rua Padre Joao Manuel 955 Sao Paulo SP 01411001 Brazil;São Paulo;SP;01411001;-23.5654;-46.66562;-23.5654;-46.66562;Jardim Paulista;;
50;;;endereco;Alameda Casa Branca, 1008, Jardim Paulista, São Paulo - SP, 01408-001, Brasil;Alameda Casa Branca 1008 Sao Paulo SP 01408001 Brazil;São Paulo;SP;01408001;-23.56851;-46.66274;-23.56851;-46.66274;Jardim Paulista;;
51;;;endereco;Rua Oscar Freire, 390, Jardim Paulista, São Paulo - SP, 01426-000, Brasil;Rua Oscar Freire 390 Sao Paulo SP 01426000 Brazil;São Paulo;SP;01426000;-23.56604;-46.6653;-23.56604;-46.6653;Jardim Paulista;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
52;;;endereco;Rua Bela Cintra, 1569, Jardim Paulista, São Paulo - SP, 01415-009, Brasil;Rua Bela Cintra 1569 Sao Paulo SP 01415009 Brazil;São Paulo;SP;01415009;-23.55962;-46.665;-23.55962;-46.665;Jardim Paulista;;
53;;;endereco;Rua Oscar Freire, 282, Jardim Paulista, São Paulo - SP, 01426-000, Brasil;Rua Oscar Freire 282 Sao Paulo SP 01426000 Brazil;São Paulo;SP;01426000;-23.56677;-46.66467;-23.56677;-46.66467;Jardim Paulista;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
54;;;endereco;Rua Sarandi, 30, Jardim Paulista, São Paulo - SP, 01414-010, Brasil;Rua Sarandi 30 Sao Paulo SP 01414010 Brazil;São Paulo;SP;01414010;-23.5644;-46.66871;-23.5644;-46.66871;Jardim Paulista;;
55;;;endereco;Rua Dias Ferreira, 155, Leblon, Rio de Janeiro - RJ, 22431-050, Brasil;Rua Dias Ferreira 155 Rio de Janeiro RJ 22431050 Brazil;Rio de Janeiro;RJ;22431050;-22.98464;-43.22776;-22.98464;-43.22776;Leblon;;
56;;;endereco;Rua Dias Ferreira, 233, Leblon, Rio de Janeiro - RJ, 22431-050, Brasil;Rua Dias Ferreira 233 Rio de Janeiro RJ 22431050 Brazil;Rio de Janeiro;RJ;22431050;-22.98409;-43.22752;-22.98409;-43.22752;Leblon;;
57;;;endereco;Rua dos Pinheiros, 358, Pinheiros, São Paulo - SP, 05422-000, Brasil;Rua dos Pinheiros 358 Sao Paulo SP 05422000 Brazil;São Paulo;SP;05422000;-23.56498;-46.68154;-23.56498;-46.68154;Pinheiros;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
58;;;endereco;Avenida Santo Amaro, 884, Itaim Bibi, São Paulo - SP, 04506-000, Brasil;Avenida Santo Amaro 884 Sao Paulo SP 04506000 Brazil;São Paulo;SP;04506000;-23.59178;-46.67273;-23.59178;-46.67273;Itaim Bibi;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
59;;;endereco;Rua Padre João Manuel, 1126, Jardim Paulista, São Paulo - SP, 01411-001, Brasil;Rua Padre Joao Manuel 1126 Sao Paulo SP 01411001 Brazil;São Paulo;SP;01411001;-23.56634;-46.66712;-23.56634;-46.66712;Jardim Paulista;;
60;;;endereco;Rua Maria Antônia, 216, Consolação, São Paulo - SP, 01222-010, Brasil;Rua Maria Antonia 216 Sao Paulo SP 01222010 Brazil;São Paulo;SP;01222010;-23.54659;-46.65046;-23.54659;-46.65046;Consolação;;
61;;;endereco;Rua Capitão Pinto Ferreira, 15, Jardim Paulista, São Paulo - SP, 01423-020, Brasil;Rua Capitao Pinto Ferreira 15 Sao Paulo SP 01423020 Brazil;São Paulo;SP;01423020;-23.57145;-46.65437;-23.57145;-46.65437;Jardim Paulista;;
62;;;endereco;Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo - SP, 05426-100, Brasil;Avenida Brigadeiro Faria Lima Pinheiros Sao Paulo SP 05426100 Brazil;São Paulo;SP;05426100;-23.56646;-46.69427;-23.56646;-46.69427;;ALTO;sem numero de porta
63;;;endereco;Rua Joaquim Floriano, 563, Itaim Bibi, São Paulo - SP, 04534-011, Brasil;Rua Joaquim Floriano 563 Sao Paulo SP 04534011 Brazil;São Paulo;SP;04534011;-23.58474;-46.67545;-23.58474;-46.67545;Itaim Bibi;;
64;;;endereco;Rua dos Pinheiros, 230, Pinheiros, São Paulo - SP, 05422-000, Brasil;Rua dos Pinheiros 230 Sao Paulo SP 05422000 Brazil;São Paulo;SP;05422000;-23.56454;-46.68051;-23.56454;-46.68051;Pinheiros;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
65;;;endereco;Rua Campos Bicudo, 129, Itaim Bibi, São Paulo - SP, 04536-010, Brasil;Rua Campos Bicudo 129 Sao Paulo SP 04536010 Brazil;São Paulo;SP;04536010;-23.58163;-46.68235;-23.58163;-46.68235;Itaim Bibi;;
66;;;endereco;Power2Go, Rua Oscar Freire, 281, Jardim Paulista, São Paulo - SP, 01426-000, Brasil;Rua Oscar Freire 281 Sao Paulo SP 01426000 Brazil;São Paulo;SP;01426000;-23.56703;-46.66475;-23.56703;-46.66475;Jardim Paulista;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
67;;;endereco;Rua General Severiano, Botafogo, Rio de Janeiro - RJ, 22290-040, Brasil;Rua General Severiano Botafogo Rio de Janeiro RJ 22290040 Brazil;Rio de Janeiro;RJ;22290040;-22.95343;-43.1784;-22.95343;-43.1784;;ALTO;sem numero de porta
68;;;endereco;Rua Visconde de Pirajá, 338, Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil;Rua Visconde de Piraja 338 Rio de Janeiro RJ 22410003 Brazil;Rio de Janeiro;RJ;22410003;-22.98412;-43.20496;-22.98412;-43.20496;Ipanema;;
69;;;endereco;Santa Ajuda a Melhor Idade, Rua Figueiredo de Magalhães, Copacabana, Rio de Janeiro - RJ, 22031-011, Brasil;Rua Figueiredo de Magalhaes Copacabana Rio de Janeiro RJ 22031011 Brazil;Rio de Janeiro;RJ;22031011;-22.96801;-43.18791;-22.96801;-43.18791;;ALTO;sem numero de porta
70;;;endereco;Rua Conde de Ipanema, 40, Campo Belo, São Paulo - SP, 04611-020, Brasil;Rua Conde de Ipanema 40 Sao Paulo SP 04611020 Brazil;São Paulo;SP;04611020;-23.61795;-46.66549;-23.61795;-46.66549;Campo Belo;;
71;;;endereco;Rua Bela Cintra, 2183, Jardim Paulista, São Paulo - SP, 01415-009, Brasil;Rua Bela Cintra 2183 Sao Paulo SP 01415009 Brazil;São Paulo;SP;01415009;-23.56363;-46.66926;-23.56363;-46.66926;Jardim Paulista;;
72;;;endereco;Rua Haddock Lobo, 1091, Jardim Paulista, São Paulo - SP, 01414-003, Brasil;Rua Haddock Lobo 1091 Sao Paulo SP 01414003 Brazil;São Paulo;SP;01414003;-23.56136;-46.66485;-23.56136;-46.66485;Jardim Paulista;;
73;;;endereco;Rua Augusta, 2705, Jardim Paulista, São Paulo - SP, 01413-100, Brasil;Rua Augusta 2705 Sao Paulo SP 01413100 Brazil;São Paulo;SP;01413100;-23.56457;-46.66669;-23.56457;-46.66669;Jardim Paulista;;
74;;;endereco;Alameda Rio Claro, 28, Bela Vista, São Paulo - SP, 01332-010, Brasil;Alameda Rio Claro 28 Sao Paulo SP 01332010 Brazil;São Paulo;SP;01332010;-23.5603;-46.65187;-23.5603;-46.65187;Bela Vista;;
75;;;endereco;Rua Santa Clara, 84, Copacabana, Rio de Janeiro - RJ, 22041-011, Brasil;Rua Santa Clara 84 Rio de Janeiro RJ 22041011 Brazil;Rio de Janeiro;RJ;22041011;-22.97102;-43.18744;-22.97102;-43.18744;Copacabana;;
76;;;endereco;Rua Dias Ferreira, 320, Leblon, Rio de Janeiro - RJ, 22431-050, Brasil;Rua Dias Ferreira 320 Rio de Janeiro RJ 22431050 Brazil;Rio de Janeiro;RJ;22431050;-22.98348;-43.22675;-22.98348;-43.22675;Leblon;;
