linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco;Beercode, Vila Ipiranga, Porto Alegre - RS, 91340-001, Brasil;Vila Ipiranga Porto Alegre RS 91340001 Brazil;Porto Alegre;RS;91340001;-30.02512;-51.16242;-30.02512;-51.16242;;ALTO;sem numero de porta
3;;;endereco;LE LIS BLANC, Sanvitto, Caxias do Sul - RS, 95112-360, Brasil;LE LIS BLANC Sanvitto Caxias do Sul RS 95112360 Brazil;Caxias do Sul;RS;95112360;-29.17606;-51.22034;-29.17606;-51.22034;;ALTO;sem numero de porta
4;;;endereco;Conserto de Roupas, Avenida Madre Benvenuta, 568, Itacorubi, Florianópolis - SC, 88035-020, Brasil;Avenida Madre Benvenuta 568 Florianopolis SC 88035020 Brazil;Florianópolis;SC;88035020;-27.59011;-48.51503;-27.59011;-48.51503;Itacorubi;;
5;;;endereco;iPlace, Avenida do Batel, 1868, Batel, Curitiba - PR, 80420-090, Brasil;Avenida do Batel 1868 Curitiba PR 80420090 Brazil;Curitiba;PR;80420090;-25.44293;-49.29081;-25.44293;-49.29081;Batel;;
6;;;endereco;Bacio di Latte, Avenida Marginal Pinheiros, Morumbi, São Paulo - SP, 05676-030, Brasil;Avenida Marginal Pinheiros Morumbi Sao Paulo SP 05676030 Brazil;São Paulo;SP;05676030;-23.59891;-46.6976;-23.59891;-46.6976;;ALTO;sem numero de porta
7;;;endereco;Avenida Presidente Juscelino Kubitschek, 2041, Itaim Bibi, São Paulo - SP, 04543-000, Brasil;Avenida Presidente Juscelino Kubitschek 2041 Sao Paulo SP 04543000 Brazil;São Paulo;SP;04543000;-23.59145;-46.68982;-23.59145;-46.68982;Itaim Bibi;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
8;;;endereco;Lojas Centauro, Avenida Brigadeiro Faria Lima, 2232, Pinheiros, São Paulo - SP, 01452-001, Brasil;Avenida Brigadeiro Faria Lima 2232 Sao Paulo SP 01452001 Brazil;São Paulo;SP;01452001;-23.57704;-46.68819;-23.57704;-46.68819;Pinheiros;;
9;;;endereco;Casas Bahia, Avenida Professora Izoraida M. Peres, 401, Parque Campolim, Sorocaba - SP, 18048-105, Brasil;Avenida Professora Izoraida M Peres 401 Sorocaba SP 18048105 Brazil;Sorocaba;SP;18048105;-23.53366;-47.46344;-23.53366;-47.46344;Parque Campolim;;
10;;;endereco;Alameda Xingu, 350, Alphaville, Barueri - SP, 06454-000, Brasil;Alameda Xingu 350 Barueri SP 06454000 Brazil;Barueri;SP;06454000;-23.50456;-46.84836;-23.50456;-46.84836;Alphaville;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
12;;;endereco;Rua dos Junquilhos, 10, Tijuca, Rio de Janeiro - RJ, 20521-090, Brasil;Rua dos Junquilhos 10 Rio de Janeiro RJ 20521090 Brazil;Rio de Janeiro;RJ;20521090;-22.92833;-43.22536;-22.92833;-43.22536;Tijuca;;
13;;;endereco;Garagem de Parqueamento, Rua Barão de São Francisco, Andaraí, Rio de Janeiro - RJ, 20560-032, Brasil;Rua Barao de Sao Francisco Andarai Rio de Janeiro RJ 20560032 Brazil;Rio de Janeiro;RJ;20560032;-22.91933;-43.25019;-22.91933;-43.25019;;ALTO;sem numero de porta
14;;;endereco;Gav Resorts, Avenida Iguatemi, 777, Vila Brandina, Campinas - SP, 13092-516, Brasil;Avenida Iguatemi 777 Campinas SP 13092516 Brazil;Campinas;SP;13092516;-22.89264;-47.02727;-22.89264;-47.02727;Vila Brandina;;
15;;;endereco;Hering, Avenida Iguatemi, 777, Vila Brandina, Campinas - SP, 13092-500, Brasil;Avenida Iguatemi 777 Campinas SP 13092500 Brazil;Campinas;SP;13092500;-22.89234;-47.02688;-22.89234;-47.02688;Vila Brandina;;
16;;;endereco;Crislen Ótica, Parque Faber Castell I, São Carlos - SP, Brasil;Parque Faber Castell I Sao Carlos SP Brazil;São Carlos;SP;;-22.01751;-47.915;-22.01751;-47.915;;ALTO;sem numero de porta
17;;;endereco;Ponto De Carregamento Para Veículos Elétricos, Avenida Luiz Eduardo Toledo Prado, 900, Ribeirão Preto - SP, Brasil;Avenida Luiz Eduardo Toledo Prado 900 Ribeirao Preto SP Brazil;Ribeirão Preto;SP;;-21.2257;-47.83524;-21.2257;-47.83524;;;
18;;;endereco;Ponto De Carregamento Para Veículos Elétricos, Avenida Pres. Juscelino Kubitschek Oliveira, São José do Rio Preto - SP, 15091-450, Brasil;Avenida Pres Juscelino Kubitschek Oliveira Sao Jose do Rio Preto SP 15091450 Brazil;São José do Rio Preto;SP;15091450;-20.86646;-49.41453;-20.86646;-49.41453;;ALTO;sem numero de porta
19;;;endereco;Big Shopping, Av. João César de Oliveira, 1275, Cidade Jardim Eldorado, Contagem - MG, 32310-000, Brasil;Avenida Joao Cesar de Oliveira 1275 Contagem MG 32310000 Brazil;Contagem;MG;32310000;-19.94401;-44.04065;-19.94401;-44.04065;Cidade Jardim Eldorado;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
20;;;endereco;Emporio do Aço, Avenida João Naves de Ávila, Tibery, Uberlândia - MG, 38405-142, Brasil;Avenida Joao Naves de Avila Tibery Uberlandia MG 38405142 Brazil;Uberlândia;MG;38405142;-18.91045;-48.2598;-18.91045;-48.2598;;ALTO;sem numero de porta
21;;;endereco;Rua Cônego Getúlio, 621, Cônego Getúlio, Patos de Minas - MG, 38700-205, Brasil;Rua Conego Getulio 621 Patos de Minas MG 38700205 Brazil;Patos de Minas;MG;38700205;-18.59798;-46.51376;-18.59798;-46.51376;Cônego Getúlio;;
22;;;endereco;Kopenhagen, Shin Ca, 4, Setor de Hab. Individuais Norte, Lago Norte - DF, 71503-504, Brasil;Shin Ca 4 Lago Norte DF 71503504 Brazil;Lago Norte;DF;71503504;-15.72094;-47.88592;-15.72094;-47.88592;Setor de Hab. Individuais Norte;;
