name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata
CINÉPOLIS,Cinépolis,ChIJ-Q6VCn6O9gcR_ZFoLe5IVzU,AV. PROF. CARLOS CUNHA  1000 - JARACATY  SÃO LUÍS - MA  65076-907  BRASIL,São Luís,,MA,BR,65076-907,-2.5109687,-44.2858788,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINE ARAÚJO,Cine Araújo,ChIJ-T5n2NUElwARBVTTnBi-b4Y,AV. HENRIQUE TERRA  1700 - PORTINHO  CABO FRIO - RJ  28911-320  BRASIL,Cabo Frio,,RJ,BR,28911-320,-22.8742711,-42.0366807,"movie_theater,point_of_interest,establishment",,5,bigquery,
MOVIECOM CINEMAS,Moviecom Cinemas,ChIJ-_li4134zJQR4gEep66joDA,AV. CHARLES SCHNNEIDER  1700 - VILA COSTA  TAUBATÉ - SP  12040-900  BRASIL,Taubaté,,SP,BR,12040-900,-23.0235654,-45.5811401,"movie_theater,point_of_interest,establishment",,5,bigquery,
UCI PARKSHOPPING CANOAS,Uci Parkshopping Canoas,ChIJ09RkPBFwGZURpKvkTepjVlE,PARK SHOPPING CANOAS  AV. FARROUPILHA  4545 - LOJA 3004 - MAL. RONDON  CANOAS - RS  92020-475  BRASIL,Canoas,,RS,BR,92020-475,-29.9148746,-51.1655329,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA KINOPLEX,Cinema Kinoplex,ChIJ0U3aGs7VvQAR0__dN_YPKFo,AV. VINTE E OITO DE MARÇO  574 - CENTRO  CAMPOS DOS GOYTACAZES - RJ  28020-740  BRASIL,Campos dos Goytacazes,,RJ,BR,28020-740,-21.770043,-41.3146349,"shopping_mall,point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJ0UNyTHDBpgARWduEAOs_l1I,RODOVIA FERNÃO DIAS  601  ROD. BR  381 - KM 492 - SÃO JOÃO  ALAGOAS  BRASIL,Betim,,MG,BR,,-19.9625554,-44.1600527,Entertainment,,5,bigquery,
KINOPLEX MADUREIRA,Kinoplex Madureira,ChIJ0VUnfNhimQARPyfH4i7KBo0,ESTR. DO PORTELA  222 - 4º ANDAR LOJA 408 - MADUREIRA  RIO DE JANEIRO - RJ  21351-050  BRASIL,Rio de Janeiro,,RJ,BR,21351-050,-22.870559,-43.3409346,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS PORTO ALEGRE,Cinépolis Porto Alegre,ChIJ0ciugFp4GZURDR_FKjB07qw,AV. JOÃO PESSOA  1831 - 311 - AZENHA  PORTO ALEGRE - RS  90040-001  BRASIL,Porto Alegre,,RS,BR,90040-001,-30.0459767,-51.213726,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINÉPOLIS NAÇÕES BAURU,Cinépolis Nações Bauru,ChIJ0zHm_7tnv5QRqbLITmLuifI,R. MARCONDES SALGADO  QUADRA 11 - CHÁCARA DAS FLORES  BAURU - SP  17013-113  BRASIL,Bauru,,SP,BR,17013-113,-22.3160011,-49.0665983,"movie_theater,point_of_interest,establishment",,5,bigquery,
CINEMA CINEMARK,Cinema Cinemark,ChIJ1-LydnqR9pQRfXsbWA9GOLg,AV. DAS CATARATAS  3570 - VILA YOLANDA  FOZ DO IGUAÇU - PR  85853-000  BRASIL,Foz do Iguaçu,,PR,BR,85853-000,-25.568924,-54.5583532,Entertainment,,5,bigquery,
