linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;CINÉPOLIS;;endereco;AV. PROF. CARLOS CUNHA  1000 - JARACATY  SÃO LUÍS - MA  65076-907  BRASIL;Avenida PROF CARLOS CUNHA 1000 Sao Luis MA 65076907 Brazil;São Luís;MA;65076907;-2.5109687;-44.2858788;-2.510969;-44.285879;- JARACATY;;
3;CINE ARAÚJO;;endereco;AV. HENRIQUE TERRA  1700 - PORTINHO  CABO FRIO - RJ  28911-320  BRASIL;Avenida HENRIQUE TERRA 1700 Cabo Frio RJ 28911320 Brazil;Cabo Frio;RJ;28911320;-22.8742711;-42.0366807;-22.874271;-42.036681;- PORTINHO;;
4;MOVIECOM CINEMAS;;endereco;AV. CHARLES SCHNNEIDER  1700 - VILA COSTA  TAUBATÉ - SP  12040-900  BRASIL;Avenida CHARLES SCHNNEIDER 1700 Taubate SP 12040900 Brazil;Taubaté;SP;12040900;-23.0235654;-45.5811401;-23.023565;-45.58114;- VILA COSTA;;
5;UCI PARKSHOPPING CANOAS;;endereco;PARK SHOPPING CANOAS  AV. FARROUPILHA  4545 - LOJA 3004 - MAL. RONDON  CANOAS - RS  92020-475  BRASIL;Avenida FARROUPILHA 4545 Canoas RS 92020475 Brazil;Canoas;RS;92020475;-29.9148746;-51.1655329;-29.914875;-51.165533;- - MAL. RONDON;;
6;CINEMA KINOPLEX;;endereco;AV. VINTE E OITO DE MARÇO  574 - CENTRO  CAMPOS DOS GOYTACAZES - RJ  28020-740  BRASIL;Avenida VINTE E OITO DE MARCO 574 Campos dos Goytacazes RJ 28020740 Brazil;Campos dos Goytacazes;RJ;28020740;-21.770043;-41.3146349;-21.770043;-41.314635;- CENTRO;;
7;CINEMA CINEMARK;;endereco;RODOVIA FERNÃO DIAS  601  ROD. BR  381 - KM 492 - SÃO JOÃO  ALAGOAS  BRASIL;RODOVIA FERNAO DIAS 601 Betim MG Brazil;Betim;MG;;-19.9625554;-44.1600527;-19.962555;-44.160053;ROD. BR 381 - - SÃO JOÃO;ALTO;endereco de rodovia (57-67% falharam)
8;KINOPLEX MADUREIRA;;endereco;ESTR. DO PORTELA  222 - 4º ANDAR LOJA 408 - MADUREIRA  RIO DE JANEIRO - RJ  21351-050  BRASIL;Estrada DO PORTELA 222 Rio de Janeiro RJ 21351050 Brazil;Rio de Janeiro;RJ;21351050;-22.870559;-43.3409346;-22.870559;-43.340935;- - MADUREIRA;ALTO;endereco de rodovia (57-67% falharam)
9;CINÉPOLIS PORTO ALEGRE;;endereco;AV. JOÃO PESSOA  1831 - 311 - AZENHA  PORTO ALEGRE - RS  90040-001  BRASIL;Avenida JOAO PESSOA 1831 Porto Alegre RS 90040001 Brazil;Porto Alegre;RS;90040001;-30.0459767;-51.213726;-30.045977;-51.213726;- 311 - AZENHA;;
10;CINÉPOLIS NAÇÕES BAURU;;endereco;R. MARCONDES SALGADO  QUADRA 11 - CHÁCARA DAS FLORES  BAURU - SP  17013-113  BRASIL;Rua MARCONDES SALGADO QUADRA 11 Bauru SP 17013113 Brazil;Bauru;SP;17013113;-22.3160011;-49.0665983;-22.316001;-49.066598;- CHÁCARA DAS FLORES;;
11;CINEMA CINEMARK;;endereco;AV. DAS CATARATAS  3570 - VILA YOLANDA  FOZ DO IGUAÇU - PR  85853-000  BRASIL;Avenida DAS CATARATAS 3570 Foz do Iguacu PR 85853000 Brazil;Foz do Iguaçu;PR;85853000;-25.568924;-54.5583532;-25.568924;-54.558353;- VILA YOLANDA;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
12;MULTIPLEX VIC CENTER;;endereco;AV. SANTA BARBARA - JARDIM SÃO FRANCISCO  SANTA BÁRBARA D'OESTE - SP  13454-005  BRASIL;Avenida SANTA BARBARA JARDIM SAO FRANCISCO Santa Barbara d Oeste SP 13454005 Brazil;Santa Bárbara d'Oeste;SP;13454005;-22.750322;-47.3743363;-22.750322;-47.374336;;ALTO;sem numero de porta
