severidade;linha;nome;endereco_dsp;risco
ALTO;7;CINEMA CINEMARK;RODOVIA FERNAO DIAS 601 Betim MG Brazil;endereco de rodovia (57-67% falharam)
ALTO;8;KINOPLEX MADUREIRA;Estrada DO PORTELA 222 Rio de Janeiro RJ 21351050 Brazil;endereco de rodovia (57-67% falharam)
ALTO;12;MULTIPLEX VIC CENTER;Avenida SANTA BARBARA JARDIM SAO FRANCISCO Santa Barbara d Oeste SP 13454005 Brazil;sem numero de porta
ALTO;14;CINEMAXS - PARANA FAMÍLIA;Rodovia BR 158 N90 JARDIM ISABEL Campo Mourao PR 87309160 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;28;SOBRAL NERD | CINEMA - SÉRIES - QUADRINHOS E GAMES;Rua CORDEIRO DE ANDRADE CENTRO Sobral CE 62010400 Brazil;sem numero de porta
ALTO;29;CINEMA CINEMARK;RODOVIA BR 282 LAGES GARDEN SHOPPING LUC 120 BAIRRO GUARUJA VILA MARIZA Lages SC 88524900 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;32;CINEMA CINEMARK;RODOVIA ALKINDAR MONTEIRO JUNQUEIRA 01 Braganca Paulista SP 12918900 Brazil;endereco de rodovia (57-67% falharam)
ALTO;38;CINÉPOLIS;VILA OLIMPIA Sao Paulo SP 04543011 Brazil;sem numero de porta
ALTO;44;MOVIECOM X CINEMA PÁTEO ITAQUÁ;Avenida ITALO ADAMI 1 809 VILA ZEFERINA Itaquaquecetuba SP 08574020 Brazil;sem numero de porta
ALTO;45;CINEMA SHOPPING;PARQUE HONGARO Sumare SP 13170023 Brazil;sem numero de porta
ALTO;46;CINESYSTEM CINEMAS;Rodovia BR 316 4 500 PISO L4 Ananindeua PA 67113970 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;53;CINEMARK;Rodovia PRES DUTRA PISTA LATERAL 225 Guarulhos SP 07042040 Brazil;endereco de rodovia (57-67% falharam)
ALTO;60;CINE ARAÚJO VOLTA REDONDA;Rodovia DOS METALURGICOS 1189 Volta Redonda RJ 03178200 Brazil;endereco de rodovia (57-67% falharam)
ALTO;63;CINÉPOLIS CONTINENTE PARK;RODOVIA BR 101 AREA Sao Jose SC 88104801 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;72;CONCHA ACÚSTICA DO MUSEU;CAMPOS DO JORDAO Campos do Jordao SP 12460000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;73;CINÉPOLIS;RODOVIA BR 470 3000 Blumenau SC 89065800 Brazil;endereco de rodovia (57-67% falharam)
ALTO;82;CENTERPLEX - SHOPPING CARPINA;PE 041 BAIRRO NOVO Carpina PE 55819900 Brazil;sem numero de porta
ALTO;85;KINOPLEX VIA PARQUE;VIA PARQUE SHOPPING AV AYRTON SENNA 3000 Rio de Janeiro RJ 22775904 Brazil;endereco de rodovia (57-67% falharam)
ALTO;104;CINÉPOLIS PLAZA CARAPICUÍBA;ESTRADA ERNESTINA VIEIRA 149 Carapicuiba SP 06382260 Brazil;endereco de rodovia (57-67% falharam)
ALTO;106;ANTONIO DO CINEMA;RUA PADRE IBIAPINA PREDIO CENTRO Pocinhos PB 58150000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;112;CINEMA CINEMARK;ST SHI NORTE QUADRA CA 04 BLOCO A LOTE A PISO SUPERIOR B LAGO NORTE Brasilia DF 71503504 Brazil;sem numero de porta
ALTO;117;SHOPPING METR ITAQUERA  CINPOLIS BOX ITAQUERA;CIDADE ANTONIO ESTEVAO DE CARVALHO Sao Paulo SP Brazil;sem numero de porta
ALTO;119;CINEFLIX SHOPPING SUL VALPARAÍSO;BR 040 12 PARQUE ESPLANADA III Valparaiso de Goias GO 72876902 Brazil;sem numero de porta
ALTO;131;CINÉPOLIS PATTEO OLINDA;Rua EDUARDO DE MORAIS CASA CAIADA Olinda PE 53130150 Brazil;sem numero de porta
ALTO;136;BURITI SHOPPING RIO VERDE;BR 060 1044 JARDIM CAMPESTRE Rio Verde GO 75907580 Brazil;sem numero de porta
ALTO;138;CINEMA CINEMARK;RODOVIA BA 535 PISO L2 INDUSTRIA VIA PARAFUSO PONTO CERTO Camacari BA 42800970 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
