name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,Nº,Praça,Formato,Veículo,Endereço,Latitude,Longitude
,,,"Evs - Espaço Vida Saudável Herbalife, Avenida Pastor Martin Luther King Júnior, Del Castilho, Rio de Janeiro - RJ, 20765-000, Brasil",Rio de Janeiro,,RJ,,20765-000,-22.87889,-43.27142,,,,,,126,Rio de Janeiro,Shopping,ELETROMIDIA,Avenida Pastor Martin Luther King Jr,-22.8787854,-43.2711981
,,,"Shopping Jardim Guadalupe, Guadalupe, Rio de Janeiro - RJ, 21515-001, Brasil",Rio de Janeiro,,RJ,,21515-001,-22.84103,-43.36899,,,,,,22155,Rio de Janeiro,Shopping,ELETROMIDIA,Av. Brasil,-22.8410586,-43.3689914
,,,"Madureira Shopping, Estrada do Portela, 222, Madureira, Rio de Janeiro - RJ, 21351-050, Brasil",Rio de Janeiro,,RJ,,21351-050,-22.87088,-43.34128,,,,,,222,Rio de Janeiro,Shopping,ELETROMIDIA,Estrada do Portela,-22.8704362,-43.3411517
,,,"Zletric, Estrada da Gávea, 899, São Conrado, Rio de Janeiro - RJ, 22610-001, Brasil",Rio de Janeiro,,RJ,,22610-001,-22.99641,-43.25943,,,,,,899,Rio de Janeiro,Shopping,ELETROMIDIA,Estrada da Gávea,-22.9964157,-43.2594305
,,,"Shopping Nova Iguaçu, Avendia Abílio Augusto Távora, 1111, Luz, Nova Iguaçu - RJ, 26260-045, Brasil",Nova Iguaçu,,RJ,,26260-045,-22.76302,-43.46515,,,,,,1111,Rio de Janeiro,Shopping,ELETROMIDIA,Rua Felipe Camarão,-22.7630738,-43.4651009
,,,"Dom Quixote, Avenida das Américas, 7777, Barra da Tijuca, Rio de Janeiro - RJ, 22793-081, Brasil",Rio de Janeiro,,RJ,,22793-081,-23.00135,-43.38663,,,,,,7777,Rio de Janeiro,Shopping,ELETROMIDIA,Avenida das Américas,-23.0010292,-43.3860369
,,,"Garagem de Parqueamento, Rua Barão de São Francisco, Andaraí, Rio de Janeiro - RJ, 20560-032, Brasil",Rio de Janeiro,,RJ,,20560-032,-22.91942,-43.25006,,,,,,236,Rio de Janeiro,Shopping,ELETROMIDIA,Rua Barão de São Francisco,-22.9193268,-43.2501861
,,,"CALVIN KLEIN, Rua Lauro Muller, Botafogo, Rio de Janeiro - RJ, 22290-160, Brasil",Rio de Janeiro,,RJ,,22290-160,-22.9573,-43.17646,,,,,,116,Rio de Janeiro,Shopping,ELETROMIDIA,Rua Lauro Müller,-22.9572918,-43.1764787
,,,"Espaço Coworking, Centro, Rio de Janeiro - RJ, Brasil",Rio de Janeiro,,RJ,,,-22.91372,-43.16704,,,,,,365,Rio de Janeiro,Shopping,ELETROMIDIA,Av. Almirante Silvio de Noronha,-22.9138358,-43.1670135
,,,"Cinemark, Avenida das Américas, 500, Barra da Tijuca, Rio de Janeiro - RJ, Brasil",Rio de Janeiro,,RJ,,,-23.00357,-43.31722,,,,,,500,Rio de Janeiro,Shopping,ELETROMIDIA,Av. das Américas,-23.003591,-43.31724
,,,"Eclectic, Praia de Botafogo, Botafogo, Rio de Janeiro - RJ, 22250-040, Brasil",Rio de Janeiro,,RJ,,22250-040,-22.94745,-43.18289,,,,,,400,Rio de Janeiro,Shopping,ELETROMIDIA,Praia de Botafogo,-22.9474738,-43.182904
,,,"Rua Conde de Bonfim, 18, Tijuca, Rio de Janeiro - RJ, 20520-053, Brasil",Rio de Janeiro,,RJ,,20520-053,-22.92219,-43.22186,,,,,,25,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Conde de Bonfim,-22.9224033,-43.2217113
,,,"Rua Equador, 680, Santo Cristo, Rio de Janeiro - RJ, 20220-410, Brasil",Rio de Janeiro,,RJ,,20220-410,-22.89886,-43.20707,,,,,,23,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua União,-22.89887647,-43.20701449
,,,"Rua Equador, 65, Santo Cristo, Rio de Janeiro - RJ, 20220-410, Brasil",Rio de Janeiro,,RJ,,20220-410,-22.89675,-43.20154,,,,,,0,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Praça Quinze de Novembro,-22.89668409,-43.2016105
,,,"Avenida Beira Mar, Glória, Rio de Janeiro - RJ, 20021-060, Brasil",Rio de Janeiro,,RJ,,20021-060,-22.91148,-43.1722,,,,,,436,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Beira-Mar,-22.911475,-43.17221
,,,"Forme RJ C a Fotográficos Ltda, Avenida Almirante Barroso, Centro, Rio de Janeiro - RJ, 20031-003, Brasil",Rio de Janeiro,,RJ,,20031-003,-22.90781,-43.17663,,,,,,156,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Rio Branco,-22.90799,-43.17655
,,,"Rua União, 28, Santo Cristo, Rio de Janeiro - RJ, 20250-340, Brasil",Rio de Janeiro,,RJ,,20250-340,-22.89784,-43.19961,,,,,,0,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Rodrigues Alves,-22.8979897,-43.1993772
,,,"Avenida Rio Branco, 147, Centro, Rio de Janeiro - RJ, 20040-006, Brasil",Rio de Janeiro,,RJ,,20040-006,-22.90526,-43.17743,,,,,,147,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Rio Branco,-22.9052921,-43.1775619
,,,"Rua Artur Araripe, Gávea, Rio de Janeiro - RJ, 22451-020, Brasil",Rio de Janeiro,,RJ,,22451-020,-22.97591,-43.22825,,,,,,110,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Artur Araripe,-22.9759131,-43.228263
,,,"Rua Voluntários da Pátria, 329, Botafogo, Rio de Janeiro - RJ, 22270-010, Brasil",Rio de Janeiro,,RJ,,22270-010,-22.95443,-43.1924,,,,,,329,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Voluntários da Pátria,-22.9542944,-43.1925045
,,,"Rua Visconde de Pirajá, 3, Ipanema, Rio de Janeiro - RJ, 22410-000, Brasil",Rio de Janeiro,,RJ,,22410-000,-22.98486,-43.19553,,,,,,12,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Visconde de Pirajá,-22.9848193,-43.195524
,,,"Rua Paulo Mazzucchelli, 35, Barra da Tijuca, Rio de Janeiro - RJ, 22621-190, Brasil",Rio de Janeiro,,RJ,,22621-190,-23.00912,-43.30637,,,,,,918,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Érico Veríssimo,-23.0091553,-43.30624
,,,"Rua Bolívar, 84, Copacabana, Rio de Janeiro - RJ, 22061-020, Brasil",Rio de Janeiro,,RJ,,22061-020,-22.97571,-43.19059,,,,,,80,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Bolivar,-22.9756872,-43.1905381
,,,"Rua Miguel Lemos, 25A, Copacabana, Rio de Janeiro - RJ, 22071-000, Brasil",Rio de Janeiro,,RJ,,22071-000,-22.97802,-43.19038,,,,,,41D,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Miguel Lemos,-22.9779864,-43.1903638
,,,"Rua Visconde de Pirajá, 325, Ipanema, Rio de Janeiro - RJ, 22410-001, Brasil",Rio de Janeiro,,RJ,,22410-001,-22.98436,-43.20484,,,,,,70,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Joana Angélica,-22.9844065,-43.2048822
,,,"Estrada dos Três Rios, 243, Freguesia (Jacarepaguá), Rio de Janeiro - RJ, 22745-004, Brasil",Rio de Janeiro,,RJ,,22745-004,-22.939,-43.34132,,,,,,271,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Estrada dos Três Rios,-22.9389816,-43.3412994
,,,"Avenida Ataulfo de Paiva, 734, Leblon, Rio de Janeiro - RJ, 22440-033, Brasil",Rio de Janeiro,,RJ,,22440-033,-22.98418,-43.2229,,,,,,725,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Ataulfo de Paiva,-22.9841919,-43.2229251
,,,"Rua Conde de Bonfim, 251, Tijuca, Rio de Janeiro - RJ, 20520-051, Brasil",Rio de Janeiro,,RJ,,20520-051,-22.92378,-43.22944,,,,,,240,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Conde de Bonfim,-22.9237628,-43.229496
,,,"Rua Visconde de Pirajá, 306, Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil",Rio de Janeiro,,RJ,,22410-003,-22.98413,-43.20395,,,,,,287,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Visconde de Pirajá,-22.9841418,-43.203935
,,,"Rua das Laranjeiras, 259, Laranjeiras, Rio de Janeiro - RJ, 22240-003, Brasil",Rio de Janeiro,,RJ,,22240-003,-22.93449,-43.18714,,,,,,251,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua das Laranjeiras,-22.9343754,-43.1870829
,,,"Avenida Rio Branco, 26, Centro, Rio de Janeiro - RJ, 20090-001, Brasil",Rio de Janeiro,,RJ,,20090-001,-22.89911,-43.18015,,,,,,s/n,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Rio Branco,-22.89902866,-43.17990379
,,,"Rua Visconde de Pirajá, 220, Ipanema, Rio de Janeiro - RJ, 22410-000, Brasil",Rio de Janeiro,,RJ,,22410-000,-22.98424,-43.20133,,,,,,220,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Visconde de Pirajá,-22.984137,-43.2013667
,,,"Rua Frei Leandro, 8, Lagoa, Rio de Janeiro - RJ, 22470-210, Brasil",Rio de Janeiro,,RJ,,22470-210,-22.96085,-43.2067,,,,,,15,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Jardim Botânico,-22.9608935,-43.2065652
,,,"Rua Visconde de Pirajá, 389, Ipanema, Rio de Janeiro - RJ, 22410-003, Brasil",Rio de Janeiro,,RJ,,22410-003,-22.9843,-43.20676,,,,,,381,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Visconde De Piraja,-22.98422,-43.20673
,,,"Avenida Vieira Souto, Ipanema, Rio de Janeiro - RJ, 22420-008, Brasil",Rio de Janeiro,,RJ,,22420-008,-22.98623,-43.21153,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Vieira Souto,-22.98618,-43.21153
,,,"Rua Maria Quitéria, Ipanema, Rio de Janeiro - RJ, 21850-080, Brasil",Rio de Janeiro,,RJ,,21850-080,-22.9864,-43.20728,,,,,,450,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Vieira Souto,-22.9864,-43.20725
