linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;;;endereco (numero de coluna propria);Evs - Espaço Vida Saudável Herbalife, Avenida Pastor Martin Luther King Júnior, Del Castilho, Rio de Janeiro - RJ, 20765-000, Brasil;Avenida Pastor Martin Luther King Junior 126 Rio de Janeiro RJ 20765000 Brazil;Rio de Janeiro;RJ;20765000;-22.87889;-43.27142;-22.87889;-43.27142;Del Castilho;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
3;;;endereco (logradouro de coluna alternativa) (numero de coluna propria);Shopping Jardim Guadalupe, Guadalupe, Rio de Janeiro - RJ, 21515-001, Brasil;Avenida Brasil 22155 Rio de Janeiro RJ 21515001 Brazil;Rio de Janeiro;RJ;21515001;-22.84103;-43.36899;-22.84103;-43.36899;;;
4;;;endereco;Madureira Shopping, Estrada do Portela, 222, Madureira, Rio de Janeiro - RJ, 21351-050, Brasil;Estrada do Portela 222 Rio de Janeiro RJ 21351050 Brazil;Rio de Janeiro;RJ;21351050;-22.87088;-43.34128;-22.87088;-43.34128;Madureira;ALTO;endereco de rodovia (57-67% falharam)
5;;;endereco;Zletric, Estrada da Gávea, 899, São Conrado, Rio de Janeiro - RJ, 22610-001, Brasil;Estrada da Gavea 899 Rio de Janeiro RJ 22610001 Brazil;Rio de Janeiro;RJ;22610001;-22.99641;-43.25943;-22.99641;-43.25943;São Conrado;ALTO;endereco de rodovia (57-67% falharam)
6;;;endereco;Shopping Nova Iguaçu, Avendia Abílio Augusto Távora, 1111, Luz, Nova Iguaçu - RJ, 26260-045, Brasil;Avendia Abilio Augusto Tavora 1111 Nova Iguacu RJ 26260045 Brazil;Nova Iguaçu;RJ;26260045;-22.76302;-43.46515;-22.76302;-43.46515;Luz;;
7;;;endereco;Dom Quixote, Avenida das Américas, 7777, Barra da Tijuca, Rio de Janeiro - RJ, 22793-081, Brasil;Avenida das Americas 7777 Rio de Janeiro RJ 22793081 Brazil;Rio de Janeiro;RJ;22793081;-23.00135;-43.38663;-23.00135;-43.38663;Barra da Tijuca;;
8;;;endereco (numero de coluna propria);Garagem de Parqueamento, Rua Barão de São Francisco, Andaraí, Rio de Janeiro - RJ, 20560-032, Brasil;Rua Barao de Sao Francisco 236 Rio de Janeiro RJ 20560032 Brazil;Rio de Janeiro;RJ;20560032;-22.91942;-43.25006;-22.91942;-43.25006;Andaraí;;
9;;;endereco (numero de coluna propria);CALVIN KLEIN, Rua Lauro Muller, Botafogo, Rio de Janeiro - RJ, 22290-160, Brasil;Rua Lauro Muller 116 Rio de Janeiro RJ 22290160 Brazil;Rio de Janeiro;RJ;22290160;-22.9573;-43.17646;-22.9573;-43.17646;Botafogo;;
10;;;endereco (logradouro de coluna alternativa) (numero de coluna propria);Espaço Coworking, Centro, Rio de Janeiro - RJ, Brasil;Avenida Almirante Silvio de Noronha 365 Rio de Janeiro RJ Brazil;Rio de Janeiro;RJ;;-22.91372;-43.16704;-22.91372;-43.16704;;;
11;;;endereco;Cinemark, Avenida das Américas, 500, Barra da Tijuca, Rio de Janeiro - RJ, Brasil;Avenida das Americas 500 Rio de Janeiro RJ Brazil;Rio de Janeiro;RJ;;-23.00357;-43.31722;-23.00357;-43.31722;Barra da Tijuca;;
12;;;endereco (numero de coluna propria);Eclectic, Praia de Botafogo, Botafogo, Rio de Janeiro - RJ, 22250-040, Brasil;Praia de Botafogo 400 Rio de Janeiro RJ 22250040 Brazil;Rio de Janeiro;RJ;22250040;-22.94745;-43.18289;-22.94745;-43.18289;Botafogo;;
13;;;endereco (numero de coluna propria);Rua Conde de Bonfim, 18, Tijuca, Rio de Janeiro - RJ, 20520-053, Brasil;Rua Conde de Bonfim 25 Rio de Janeiro RJ 20520053 Brazil;Rio de Janeiro;RJ;20520053;-22.92219;-43.22186;-22.92219;-43.22186;18 Tijuca;;
14;;;endereco (numero de coluna propria);Rua Equador, 680, Santo Cristo, Rio de Janeiro - RJ, 20220-410, Brasil;Rua Equador 23 Rio de Janeiro RJ 20220410 Brazil;Rio de Janeiro;RJ;20220410;-22.89886;-43.20707;-22.89886;-43.20707;680 Santo Cristo;;
15;;;endereco (numero de coluna propria);Rua Equador, 65, Santo Cristo, Rio de Janeiro - RJ, 20220-410, Brasil;Rua Equador 0 Rio de Janeiro RJ 20220410 Brazil;Rio de Janeiro;RJ;20220410;-22.89675;-43.20154;-22.89675;-43.20154;65 Santo Cristo;;
16;;;endereco (numero de coluna propria);Avenida Beira Mar, Glória, Rio de Janeiro - RJ, 20021-060, Brasil;Avenida Beira Mar 436 Rio de Janeiro RJ 20021060 Brazil;Rio de Janeiro;RJ;20021060;-22.91148;-43.1722;-22.91148;-43.1722;Glória;;
