severidade;linha;nome;endereco_dsp;risco
ALTO;4;;Estrada do Portela 222 Rio de Janeiro RJ 21351050 Brazil;endereco de rodovia (57-67% falharam)
ALTO;5;;Estrada da Gavea 899 Rio de Janeiro RJ 22610001 Brazil;endereco de rodovia (57-67% falharam)
ALTO;27;;Estrada dos Tres Rios 271 Rio de Janeiro RJ 22745004 Brazil;endereco de rodovia (57-67% falharam)
ALTO;36;;Avenida Vieira Souto Ipanema Rio de Janeiro RJ 22420008 Brazil;sem numero de porta
ALTO;50;;Avenida Augusto Severo Gloria Rio de Janeiro RJ 20021040 Brazil;sem numero de porta
ALTO;52;;Rua Fonte da Saudade Lagoa Rio de Janeiro RJ 22471210 Brazil;sem numero de porta
ALTO;67;;Rua Juquia L O AO N Leblon Rio de Janeiro RJ 22441080 Brazil;sem numero de porta
ALTO;79;;Rua Governador Irineu Bornhausen Flamengo Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;83;;Rua Araujo Porto Alegre Centro Rio de Janeiro RJ 20030015 Brazil;sem numero de porta
ALTO;88;;Avenida Presidente Antonio Carlos Centro Rio de Janeiro RJ 20020010 Brazil;sem numero de porta
ALTO;91;;Avenida Oswaldo Cruz Botafogo Rio de Janeiro RJ 22250040 Brazil;sem numero de porta
ALTO;97;;Avenida Beira Mar Gloria Rio de Janeiro RJ 20021060 Brazil;sem numero de porta
ALTO;101;;Avenida das Nacoes Unidas Botafogo Rio de Janeiro RJ 22250150 Brazil;sem numero de porta
ALTO;103;;Avenida Presidente Vargas Centro Rio de Janeiro RJ 20071002 Brazil;sem numero de porta
ALTO;111;;Avenida Visconde de Albuquerque Gavea Rio de Janeiro RJ 22450002 Brazil;sem numero de porta
ALTO;112;;Avenida AUTOMOVEL CLUBE Rio de Janeiro RJ 21220300 Brazil;sem numero de porta
ALTO;116;;Avenida RADIAL OESTE Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;120;;Avenida Pastor Martin Luther King Junior Pavuna Rio de Janeiro RJ 21520002 Brazil;sem numero de porta
ALTO;121;;Avenida Pastor Martin Luther King Jr Rio de Janeiro RJ 20760005 Brazil;sem numero de porta
ALTO;123;;Avenida PRESIDENTE CASTELO BRANCO Rio de Janeiro RJ 20271130 Brazil;sem numero de porta
ALTO;125;;Avenida Armando Lombardi Barra da Tijuca Rio de Janeiro RJ 22640020 Brazil;sem numero de porta
ALTO;130;;Rua Ulysses Guimaraes Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;139;;Avenida Ataulfo de Paiva Leblon Rio de Janeiro RJ 22440035 Brazil;sem numero de porta
ALTO;147;;Rua Helios Seelinger Barra da Tijuca Rio de Janeiro RJ 22640040 Brazil;sem numero de porta
ALTO;148;;Avenida Afonso de Taunay Barra da Tijuca Rio de Janeiro RJ 22621310 Brazil;sem numero de porta
ALTO;153;;Avenida Ayrton Senna Barra da Tijuca Rio de Janeiro RJ 22775003 Brazil;sem numero de porta
ALTO;156;;Praca Antero de Quental Leblon Rio de Janeiro RJ 22440034 Brazil;sem numero de porta
ALTO;158;;Rua Gilberto Cardoso Leblon Rio de Janeiro RJ 22430070 Brazil;sem numero de porta
ALTO;160;;Avenida Alfredo Balthazar da Silveira Recreio dos Bandeirantes Rio de Janeiro RJ 22790710 Brazil;sem numero de porta
ALTO;161;;Rua Alceu Amoroso Lima Barra da Tijuca Rio de Janeiro RJ 22631010 Brazil;sem numero de porta
ALTO;162;;Avenida das Americas Barra da Tijuca Rio de Janeiro RJ 22640101 Brazil;sem numero de porta
ALTO;163;;Avenida das Americas Barra da Tijuca Rio de Janeiro RJ 22793081 Brazil;sem numero de porta
ALTO;164;;Avenida das Americas Proximo ao 3120 3198 Avenida das Americas Barra da Tijuca Rio de Janeiro RJ 22640101 Brazil;sem numero de porta
ALTO;165;;Avenida Das Americas Rio de Janeiro RJ 22631003 Brazil;sem numero de porta
ALTO;166;;Avenida das Americas Barra da Tijuca Rio de Janeiro RJ 22640102 Brazil;sem numero de porta
ALTO;167;;Avenida das Americas Barra da Tijuca Rio de Janeiro RJ 22790701 Brazil;sem numero de porta
ALTO;169;;Avenida das Americas Barra da Tijuca Rio de Janeiro RJ 22790703 Brazil;sem numero de porta
ALTO;171;;Rua Amilcar de Castro Barra Olimpica Rio de Janeiro RJ 22775045 Brazil;sem numero de porta
ALTO;177;;Avenida Henrique Dodsworth Lagoa Rio de Janeiro RJ 22061030 Brazil;sem numero de porta
ALTO;178;;Avenida Henrique Dodsworth Lagoa Rio de Janeiro RJ 22061030 Brazil;sem numero de porta
ALTO;179;;Avenida Ayrton Senna Barra da Tijuca Rio de Janeiro RJ 22775003 Brazil;sem numero de porta
ALTO;180;;Avenida Lauro Sodre Rio de Janeiro RJ 22290070 Brazil;sem numero de porta
ALTO;181;;Avenida Maracana Maracana Rio de Janeiro RJ 20271111 Brazil;sem numero de porta
ALTO;182;;Rua Baltazar Lisboa Vila Isabel Rio de Janeiro RJ 20540130 Brazil;sem numero de porta
ALTO;187;;Estrada Da Gavea Rio de Janeiro RJ 22610170 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;188;;Rua das Laranjeiras Catete Rio de Janeiro RJ 22221020 Brazil;sem numero de porta
ALTO;191;;Brs 3 I Visconde de Ouro Preto I Praia de Botafogo Botafogo Rio de Janeiro RJ 22250040 Brazil;sem numero de porta
ALTO;202;;Praca Nossa Senhora Auxiliadora Leblon Rio de Janeiro RJ 22431000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;205;;Rua Marechal Francisco de Moura Botafogo Rio de Janeiro RJ 22260140 Brazil;sem numero de porta
ALTO;210;;Rodovia dos Bandeirantes Caieiras SP 07700000 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;211;;Avenida Gastao Senges Barra da Tijuca Rio de Janeiro RJ 22631002 Brazil;sem numero de porta
ALTO;212;;AVENIDA SALVADOR ALLENDE Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;215;;Avenida das Americas Barra da Tijuca Rio de Janeiro RJ 22793080 Brazil;sem numero de porta
ALTO;222;;Estrada do Monteiro 1200 Rio de Janeiro RJ 23036430 Brazil;endereco de rodovia (57-67% falharam)
ALTO;225;;ESTRADA DE JACAREPAGUA Rio de Janeiro RJ Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;227;;Estrada de Jacarepagua 3602 Rio de Janeiro RJ 22753212 Brazil;endereco de rodovia (57-67% falharam)
ALTO;231;;Rua Jose Ortiz Meier Rio de Janeiro RJ 20725070 Brazil;sem numero de porta
ALTO;232;;Avenida Meriti Vila da Penha Rio de Janeiro RJ 21211800 Brazil;sem numero de porta
ALTO;236;;ESTRADA DO TINDIBA 1763 Rio de Janeiro RJ 22740362 Brazil;endereco de rodovia (57-67% falharam)
ALTO;238;;Avenida Maracana Tijuca Rio de Janeiro RJ 20511001 Brazil;sem numero de porta
ALTO;239;;Rua Igreja Nossa Senhora do Libano Tijuca Rio de Janeiro RJ 20530720 Brazil;sem numero de porta
ALTO;241;;Rua Projetada B Campo Grande Rio de Janeiro RJ 21235635 Brazil;sem numero de porta
ALTO;243;;Avenida Dom Helder Camara Cachambi Rio de Janeiro RJ 20771004 Brazil;sem numero de porta
ALTO;245;;Estrada da Pedra 5131 Rio de Janeiro RJ 23030380 Brazil;endereco de rodovia (57-67% falharam)
ALTO;247;;Estrada do Portela 222 Rio de Janeiro RJ 21351050 Brazil;endereco de rodovia (57-67% falharam)
ALTO;249;;Estrada do Monteiro 318 Rio de Janeiro RJ 23045830 Brazil;endereco de rodovia (57-67% falharam)
ALTO;250;;Rua Luis Beltrao Vila Valqueire Rio de Janeiro RJ 21321230 Brazil;sem numero de porta
ALTO;251;;Estrada Rodrigues Caldas 127 Rio de Janeiro RJ 22713372 Brazil;endereco de rodovia (57-67% falharam)
ALTO;254;;Jardim Sulacap Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;256;;Avenida Brasil Sao Cristovao Rio de Janeiro RJ 20940070 Brazil;sem numero de porta
ALTO;263;;Estrada dos Tres Rios 1049 Rio de Janeiro RJ 22745004 Brazil;endereco de rodovia (57-67% falharam)
ALTO;266;;Rua Henrique Lahmeyer de Mello Barra Olimpica Rio de Janeiro RJ 22775032 Brazil;sem numero de porta
ALTO;269;;Residencial Villa Carioca Rua Barao de Mesquita Andarai Rio de Janeiro RJ 20540003 Brazil;sem numero de porta
ALTO;276;;Estrada Rodrigues Caldas 127 Rio de Janeiro RJ 22713372 Brazil;endereco de rodovia (57-67% falharam)
ALTO;278;;Estrada do Portela 99 Rio de Janeiro RJ 21351050 Brazil;endereco de rodovia (57-67% falharam)
ALTO;280;;Rua Professor Alfredo Gomes Botafogo Rio de Janeiro RJ 22251080 Brazil;sem numero de porta
ALTO;281;;Estrada DO MENDANHA Rio de Janeiro RJ 23092001 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;285;;Estrada Rodrigues Caldas 48 Rio de Janeiro RJ 22713373 Brazil;endereco de rodovia (57-67% falharam)
ALTO;290;;Estrada da Gavea 899 Rio de Janeiro RJ 22610001 Brazil;endereco de rodovia (57-67% falharam)
ALTO;293;;Avenida Maracana Tijuca Rio de Janeiro RJ 20511000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;294;;Avenida Adalgisa Colombo Barra Olimpica Rio de Janeiro RJ 22775040 Brazil;sem numero de porta
ALTO;297;;Rua Barao de Sao Francisco Andarai Rio de Janeiro RJ 20560032 Brazil;sem numero de porta
ALTO;299;;Estrada Adhemar Bebiano Del Castilho Rio de Janeiro RJ 20765000 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;302;;Avenida Albert Sabin Barra da Tijuca Rio de Janeiro RJ 22793082 Brazil;sem numero de porta
ALTO;312;;Rua Orlando Madeira de Ley Recreio dos Bandeirantes Rio de Janeiro RJ 22790365 Brazil;sem numero de porta
ALTO;316;;AVENIDA DAS AMERICAS Rio de Janeiro RJ 22640102 Brazil;sem numero de porta
ALTO;323;;Rua Ministro Tavares de Lira Catete Rio de Janeiro RJ 22221060 Brazil;sem numero de porta
ALTO;324;;Rua Garcia d Avila Ipanema Rio de Janeiro RJ 22421010 Brazil;sem numero de porta
ALTO;326;;Avenida Lucio Costa Barra da Tijuca Rio de Janeiro RJ 22795006 Brazil;sem numero de porta
ALTO;327;;Avenida Lucio Costa Barra da Tijuca Rio de Janeiro RJ 22795006 Brazil;sem numero de porta
ALTO;328;;Avenida Epitacio Pessoa Lagoa Rio de Janeiro RJ 22410090 Brazil;sem numero de porta
ALTO;331;;Avenida Epitacio Pessoa Lagoa Rio de Janeiro RJ 22410090 Brazil;sem numero de porta
ALTO;332;;Avenida Epitacio Pessoa Lagoa Rio de Janeiro RJ 22410090 Brazil;sem numero de porta
ALTO;333;;Avenida Epitacio Pessoa Lagoa Rio de Janeiro RJ 22410090 Brazil;sem numero de porta
ALTO;334;;Rua Afonso Cavalcanti Cidade Nova Rio de Janeiro RJ 20211110 Brazil;sem numero de porta
ALTO;340;;Avenida Rio Branco Centro Rio de Janeiro RJ 20040004 Brazil;sem numero de porta
ALTO;343;;Avenida RODRIGUES ALVES Rio de Janeiro RJ 20220361 Brazil;sem numero de porta
ALTO;345;;Rua Rivadavia Correa Gamboa Rio de Janeiro RJ 20220290 Brazil;sem numero de porta
ALTO;346;;Alameda dos Palmeirais Barra da Tijuca Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;347;;Alameda dos Palmeirais Barra da Tijuca Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;348;;Praia do Flamengo Flamengo Rio de Janeiro RJ 22210065 Brazil;sem numero de porta
ALTO;350;;Praca Senador Salgado Filho Centro Rio de Janeiro RJ 20021340 Brazil;sem numero de porta
