linha_origem;name;endereco_original;lat_original;lng_original;lat_corrigida;lng_corrigida;cidade;uf;cep;endereco_para_dsp
2;APJ OURINHOS;19908-095 Av. Luiz Saldanha Rodrigues 2675 VILA SANTOS DUMONT SP Ourinhos;-229.753.965;-498.961.345;-22.975396;-49.896135;Ourinhos;SP;19908095;Av Luiz Saldanha Rodrigues 2675 VILA SANTOS DUMONT Ourinhos SP 19908095 Brazil
3;APPLAUSO BOTUCATU;18608-393 Avenida Deputado Dante Delmanto 1510 Vila Paulista SP Botucatu;-228.688.945;-484.622.131;-22.868894;-48.462213;Botucatu;SP;18608393;Avenida Deputado Dante Delmanto 1510 Vila Paulista Botucatu SP 18608393 Brazil
4;APPLAUSO ITAPETININGA;18213-145 Rua José de Almeida Carvalho 1240 Vila Leonor SP Itapetininga;-235.784.215;-480.268.279;-23.578422;-48.026828;Itapetininga;SP;18213145;Rua Jose de Almeida Carvalho 1240 Vila Leonor Itapetininga SP 18213145 Brazil
5;APPLAUSO ITU;13301-000 Avenida Doutor Otaviano Pereira Mendes 687 Liberdade SP Itu;-23.259.555;-472.982.898;-23.259555;-47.29829;Itu;SP;13301000;Avenida Doutor Otaviano Pereira Mendes 687 Liberdade Itu SP 13301000 Brazil
6;APPLAUSO TATUI;18277-000 Rua Onze de Agosto 3680 CENTRO SP Tatuí;-233.591.006;-478.813.515;-23.359101;-47.881352;Tatuí;SP;18277000;Rua Onze de Agosto 3680 CENTRO Tatui SP 18277000 Brazil
7;ARMANDO SANTO ANDRE;09080-111 Av. D. Pedro II 2449 CAMPESTRE SP Santo André;-236.359.615;-465.441.356;-23.635962;-46.544136;Santo André;SP;09080111;Av D Pedro II 2449 CAMPESTRE Santo Andre SP 09080111 Brazil
8;AUTO ORIENTE CABEDELO;58102-660 Rua Hortência Helena A. Brito 319 Jardim America PB Cabedelo;-70.719.683;-348.490.985;-7.071968;-34.849098;Cabedelo;PB;58102660;Rua Hortencia Helena A Brito 319 Jardim America Cabedelo PB 58102660 Brazil
9;AUTO ORIENTE CARUARU;55034-180 Avenida José Pinheiro dos Santos 658 Pinheirópolis PE Caruaru;-8.296.002.399.999.990;-359.868.462;-8.296002;-35.986846;Caruaru;PE;55034180;Avenida Jose Pinheiro dos Santos 658 Pinheiropolis Caruaru PE 55034180 Brazil
10;AUTO ORIENTE JOÃO PESSOA;58041-006 Avenida Presidente Epitácio Pessoa 1758 Expedicionários PB João Pessoa;-7.120.055;-348.546.712;-7.120055;-34.854671;João Pessoa;PB;58041006;Avenida Presidente Epitacio Pessoa 1758 Expedicionarios Joao Pessoa PB 58041006 Brazil
11;AUTO ORIENTE OLINDA;53030-010 Avenida Presidente Getúlio Vargas 1058 Bairro Novo PE Olinda;-8.001.551.899.999.990;-348.400.947;-8.001552;-34.840095;Olinda;PE;53030010;Avenida Presidente Getulio Vargas 1058 Bairro Novo Olinda PE 53030010 Brazil
