name;address;lat;lng;Whatsapp;Site
APJ OURINHOS;19908-095 Av. Luiz Saldanha Rodrigues 2675 VILA SANTOS DUMONT SP Ourinhos;-229.753.965;-498.961.345;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
APPLAUSO BOTUCATU;18608-393 Avenida Deputado Dante Delmanto 1510 Vila Paulista SP Botucatu;-228.688.945;-484.622.131;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
APPLAUSO ITAPETININGA;18213-145 Rua José de Almeida Carvalho 1240 Vila Leonor SP Itapetininga;-235.784.215;-480.268.279;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
APPLAUSO ITU;13301-000 Avenida Doutor Otaviano Pereira Mendes 687 Liberdade SP Itu;-23.259.555;-472.982.898;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
APPLAUSO TATUI;18277-000 Rua Onze de Agosto 3680 CENTRO SP Tatuí;-233.591.006;-478.813.515;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
ARMANDO SANTO ANDRE;09080-111 Av. D. Pedro II 2449 CAMPESTRE SP Santo André;-236.359.615;-465.441.356;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
AUTO ORIENTE CABEDELO;58102-660 Rua Hortência Helena A. Brito 319 Jardim America PB Cabedelo;-70.719.683;-348.490.985;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
AUTO ORIENTE CARUARU;55034-180 Avenida José Pinheiro dos Santos 658 Pinheirópolis PE Caruaru;-8.296.002.399.999.990;-359.868.462;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
AUTO ORIENTE JOÃO PESSOA;58041-006 Avenida Presidente Epitácio Pessoa 1758 Expedicionários PB João Pessoa;-7.120.055;-348.546.712;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
AUTO ORIENTE OLINDA;53030-010 Avenida Presidente Getúlio Vargas 1058 Bairro Novo PE Olinda;-8.001.551.899.999.990;-348.400.947;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
AUTO ORIENTE RECIFE;52021-000 Avenida Norte Miguel Arraes de Alencar 1925 Espinheiro PE Recife;-80.399.642;-348.880.639;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
BARIGUI BRUSQUE;88352-500 Rodovia Antônio Heil 202 Centro SC Brusque;-270.157.628;-488.331.509;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
BARIGUI GUARAPUAVA;85055-010 Avenida Manoel Ribas 4638 Conradinho PR Guarapuava;-253.678.507;-5.147.383.139.999.990;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
BARIGUI PAROLIN;80220-350 Rua Antônio Parolin Júnior 120 Parolin PR Curitiba;-254.612.067;-492.566.441;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
BARIGUI PARQUE;80710-000 Rua Padre Agostinho 3081 BIGORRILHO PR Curitiba;-254.354.005;-493.080.322;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
BARIGUI PONTA GROSSA;84043-000 Avenida Visconde de Mauá 3010 Colônia Dona Luíza PR Ponta Grossa;-251.345.007;-501.543.227;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
BENN PORTO VELHO;76806-640 Rua da Beira 5770 Floresta RO Porto Velho;-8.774.368.299.999.990;-638.793.099;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
BENN RIO BRANCO;69906-150 Via Chico Mendes 1437 Vila do DNER AC Rio Branco;-99.902.353;-678.075.255;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
BONSAI CASCAVEL;85816-290 Av. Brasil 1952 GRAMADO PR Cascavel;-249.525.477;-535.057.225;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
BONSAI MARINGA;87040-365 Rua Gaspar Ricardo 234 ZONA 10 PR Maringá;-234.236.899;-5.191.181.599.999.990;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CANOPUS PRIMAVERA DO LESTE;78550-000 Rua Rio de Janeiro 2655 Cidade Primavera IV MT Primavera do Leste;-1.553.889;-542.944.665;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CANOPUS RONDONÓPOLIS;78700-100 Rua Fernando Corrêa da Costa 340 Centro MT Rondonópolis;-164.721.869;-54.631.452;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARBEL AV BARAO HOMEM DE MELO;30494-270 Av. Barão Homem de Melo 3400 ESTORIL MG Belo Horizonte;-199.655.921;-439.610.686;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARBEL AV. DO CONTORNO;30110-067 Avenida do Contorno 10151 Barro Preto MG Belo Horizonte;-199.195.901;-439.569.121;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
CARRERA ACELERA ARARAQUARA;14801-534 Avenida Rodrigo Fernando Grillo 2699 Jardim dos Manacás SP Araraquara;-217.861.705;-482.038.324;;https://www.nissan.com.br/test-drive.html?dcp=prg-spe-all-300x600-varejo-t1-cpc-a25+-na-prc-zeze-vrnac26aq106000001807-bra-rg&utm_source=prg&utm_medium=hypr&utm_campaign=varejo_all_300x600&utm_term=vrnac26aq106000001807&utm_content=t1-cpc-prc-zezeall_cn
