linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
2;APJ OURINHOS;;reenviado (ja aprovado pela DSP);19908-095 Av. Luiz Saldanha Rodrigues 2675 VILA SANTOS DUMONT SP Ourinhos;Av Luiz Saldanha Rodrigues 2675 VILA SANTOS DUMONT Ourinhos SP 19908095 Brazil;Ourinhos;SP;19908095;-229.753.965;-498.961.345;-22.975396;-49.896135;;;
3;APPLAUSO BOTUCATU;;reenviado (ja aprovado pela DSP);18608-393 Avenida Deputado Dante Delmanto 1510 Vila Paulista SP Botucatu;Avenida Deputado Dante Delmanto 1510 Vila Paulista Botucatu SP 18608393 Brazil;Botucatu;SP;18608393;-228.688.945;-484.622.131;-22.868894;-48.462213;;;
4;APPLAUSO ITAPETININGA;;reenviado (ja aprovado pela DSP);18213-145 Rua José de Almeida Carvalho 1240 Vila Leonor SP Itapetininga;Rua Jose de Almeida Carvalho 1240 Vila Leonor Itapetininga SP 18213145 Brazil;Itapetininga;SP;18213145;-235.784.215;-480.268.279;-23.578422;-48.026828;;;
5;APPLAUSO ITU;;reenviado (ja aprovado pela DSP);13301-000 Avenida Doutor Otaviano Pereira Mendes 687 Liberdade SP Itu;Avenida Doutor Otaviano Pereira Mendes 687 Liberdade Itu SP 13301000 Brazil;Itu;SP;13301000;-23.259.555;-472.982.898;-23.259555;-47.29829;;;
6;APPLAUSO TATUI;;reenviado (ja aprovado pela DSP);18277-000 Rua Onze de Agosto 3680 CENTRO SP Tatuí;Rua Onze de Agosto 3680 CENTRO Tatui SP 18277000 Brazil;Tatuí;SP;18277000;-233.591.006;-478.813.515;-23.359101;-47.881352;;;
7;ARMANDO SANTO ANDRE;;reenviado (ja aprovado pela DSP);09080-111 Av. D. Pedro II 2449 CAMPESTRE SP Santo André;Av D Pedro II 2449 CAMPESTRE Santo Andre SP 09080111 Brazil;Santo André;SP;09080111;-236.359.615;-465.441.356;-23.635962;-46.544136;;;
8;AUTO ORIENTE CABEDELO;;endereco;58102-660 Rua Hortência Helena A. Brito 319 Jardim America PB Cabedelo;Rua Hortencia Helena A Brito 319 Cabedelo PB 58102660 Brazil;Cabedelo;PB;58102660;-70.719.683;-348.490.985;-7.071968;-34.849098;Jardim America;;
9;AUTO ORIENTE CARUARU;;reenviado (ja aprovado pela DSP);55034-180 Avenida José Pinheiro dos Santos 658 Pinheirópolis PE Caruaru;Avenida Jose Pinheiro dos Santos 658 Pinheiropolis Caruaru PE 55034180 Brazil;Caruaru;PE;55034180;-8.296.002.399.999.990;-359.868.462;-8.296002;-35.986846;;;
10;AUTO ORIENTE JOÃO PESSOA;;reenviado (ja aprovado pela DSP);58041-006 Avenida Presidente Epitácio Pessoa 1758 Expedicionários PB João Pessoa;Avenida Presidente Epitacio Pessoa 1758 Expedicionarios Joao Pessoa PB 58041006 Brazil;João Pessoa;PB;58041006;-7.120.055;-348.546.712;-7.120055;-34.854671;;;
11;AUTO ORIENTE OLINDA;;reenviado (ja aprovado pela DSP);53030-010 Avenida Presidente Getúlio Vargas 1058 Bairro Novo PE Olinda;Avenida Presidente Getulio Vargas 1058 Bairro Novo Olinda PE 53030010 Brazil;Olinda;PE;53030010;-8.001.551.899.999.990;-348.400.947;-8.001552;-34.840095;;;
12;AUTO ORIENTE RECIFE;;reenviado (ja aprovado pela DSP);52021-000 Avenida Norte Miguel Arraes de Alencar 1925 Espinheiro PE Recife;Avenida Norte Miguel Arraes de Alencar 1925 Espinheiro Recife PE 52021000 Brazil;Recife;PE;52021000;-80.399.642;-348.880.639;-8.039964;-34.888064;;;
13;BARIGUI BRUSQUE;;reenviado (ja aprovado pela DSP);88352-500 Rodovia Antônio Heil 202 Centro SC Brusque;Rodovia Antonio Heil 202 Centro Brusque SC 88352500 Brazil;Brusque;SC;88352500;-270.157.628;-488.331.509;-27.015763;-48.833151;;;
14;BARIGUI GUARAPUAVA;;reenviado (ja aprovado pela DSP);85055-010 Avenida Manoel Ribas 4638 Conradinho PR Guarapuava;Avenida Manoel Ribas 4638 Conradinho Guarapuava PR 85055010 Brazil;Guarapuava;PR;85055010;-253.678.507;-5.147.383.139.999.990;-25.367851;-51.473831;;;
15;BARIGUI PAROLIN;;reenviado (ja aprovado pela DSP);80220-350 Rua Antônio Parolin Júnior 120 Parolin PR Curitiba;Rua Antonio Parolin Junior 120 Parolin Curitiba PR 80220350 Brazil;Curitiba;PR;80220350;-254.612.067;-492.566.441;-25.461207;-49.256644;;;
16;BARIGUI PARQUE;;reenviado (ja aprovado pela DSP);80710-000 Rua Padre Agostinho 3081 BIGORRILHO PR Curitiba;Rua Padre Agostinho 3081 BIGORRILHO Curitiba PR 80710000 Brazil;Curitiba;PR;80710000;-254.354.005;-493.080.322;-25.435401;-49.308032;;;
17;BARIGUI PONTA GROSSA;;reenviado (ja aprovado pela DSP);84043-000 Avenida Visconde de Mauá 3010 Colônia Dona Luíza PR Ponta Grossa;Avenida Visconde de Maua 3010 Colonia Dona Luiza Ponta Grossa PR 84043000 Brazil;Ponta Grossa;PR;84043000;-251.345.007;-501.543.227;-25.134501;-50.154323;;;
18;BENN PORTO VELHO;;reenviado (ja aprovado pela DSP);76806-640 Rua da Beira 5770 Floresta RO Porto Velho;Rua da Beira 5770 Floresta Porto Velho RO 76806640 Brazil;Porto Velho;RO;76806640;-8.774.368.299.999.990;-638.793.099;-8.774368;-63.87931;;;
19;BENN RIO BRANCO;;reenviado (ja aprovado pela DSP);69906-150 Via Chico Mendes 1437 Vila do DNER AC Rio Branco;Via Chico Mendes 1437 Vila do DNER Rio Branco AC 69906150 Brazil;Rio Branco;AC;69906150;-99.902.353;-678.075.255;-9.990235;-67.807525;;;
20;BONSAI CASCAVEL;;reenviado (ja aprovado pela DSP);85816-290 Av. Brasil 1952 GRAMADO PR Cascavel;Av Brasil 1952 GRAMADO Cascavel PR 85816290 Brazil;Cascavel;PR;85816290;-249.525.477;-535.057.225;-24.952548;-53.505722;;;
