name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,POI,Estado,Latitude,Longitude,Radius Distance
,,,"Avenida Brasil, 1695, Jardim Paulista, São Paulo - SP, 01431-001, Brasil",São Paulo,,SP,,01431-001,-23.56806,-46.67363,,,,,,Concessionárias,SP,-23.5680833,-46.6735565,0.3
,,,"Rua Mateo Forte, 259, Lapa, São Paulo - SP, 05038-160, Brasil",São Paulo,,SP,,05038-160,-23.51309,-46.69952,,,,,,Concessionárias,SP,-23.5131592,-46.6995648,0.3
,,,"Rua Emílio Mallet, 717, Tatuapé, São Paulo - SP, 03320-000, Brasil",São Paulo,,SP,,03320-000,-23.54672,-46.56685,,,,,,Concessionárias,SP,-23.5466647,-46.5668599,0.3
,,,"Avenida das Nações Unidas, 16979, Santo Amaro, São Paulo - SP, 04794-000, Brasil",São Paulo,,SP,,04794-000,-23.6395,-46.72234,,,,,,Concessionárias,SP,-23.6394536,-46.72234770000001,0.3
,,,"Avenida Tamboré, 973, Alphaville, Barueri - SP, 06460-000, Brasil",Barueri,,SP,,06460-000,-23.49714,-46.84226,,,,,,Concessionárias,SP,-23.497236,-46.8419513,0.3
,,,"Rua Jubiabá, 150, Alto de Pinheiros, São Paulo - SP, 05444-030, Brasil",São Paulo,,SP,,05444-030,-23.55507,-46.69845,,,,,,Concessionárias,SP,-23.5550659,-46.698443,0.3
,,,"Rua Jerônimo da Veiga, 446, Itaim Bibi, São Paulo - SP, 04536-001, Brasil",São Paulo,,SP,,04536-001,-23.58192,-46.68325,,,,,,Concessionárias,SP,-23.5819293,-46.6832098,0.3
,,,"Rua Ibirá, 181, Vila Scarpelli, Santo André - SP, 09190-130, Brasil",Santo André,,SP,,09190-130,-23.67939,-46.54339,,,,,,Concessionárias,SP,-23.6793774,-46.5434449,0.3
,,,"Avenida Washington Luís, 7059, Campo Belo, São Paulo - SP, 04627-006, Brasil",São Paulo,,SP,,04627-006,-23.62199,-46.66199,,,,,,Concessionárias,SP,-23.6220078,-46.6621038,0.3
,,,"Churrascaria Ponteio Mogi das Cruzes, Avenida Francisco Ferreira Lopes, 460, Mogi das Cruzes - SP, 08735-200, Brasil",Mogi das Cruzes,,SP,,08735-200,-23.53356,-46.2129,,,,,,Concessionárias,SP,-23.5338035,-46.2128615,0.3
