linha;nome;motivo;endereco_original
241;linha 241;endereco incompleto;Brasília, DF, Brasil
242;linha 242;endereco incompleto;Nova Nazaré, MT, Brasil
361;linha 361;endereco incompleto;São Pedro do Paraná, PR, Brasil
463;linha 463;endereco incompleto;Cabo Frio, RJ, Brasil
1105;linha 1105;endereco incompleto;Habib's, Brasil
1479;linha 1479;endereco incompleto;Pires do Rio, GO, Brasil
1511;linha 1511;endereco incompleto;Conceição do Rio Verde, MG, Brasil
1536;linha 1536;endereco incompleto;Pedra Azul, MG, Brasil
1569;linha 1569;endereco incompleto;Caratinga, MG, Brasil
1613;linha 1613;endereco incompleto;Muriaé, MG, Brasil
1625;linha 1625;endereco incompleto;Pégasus Art Esportivos Ltda, Brasil
1810;linha 1810;endereco incompleto;Goiás, GO, Brasil
1872;linha 1872;endereco incompleto;Pégasus Art Esportivos Ltda, Brasil
1995;linha 1995;endereco incompleto;Pégasus Art Esportivos Ltda, Brasil
2434;linha 2434;endereco incompleto;São Joaquim, SC, Brasil
2520;linha 2520;endereco incompleto;São Gonçalo do Sapucaí, MG, Brasil
2536;linha 2536;endereco incompleto;Araponga, MG, Brasil
2538;linha 2538;endereco incompleto;Três Rios, RJ, Brasil
2548;linha 2548;endereco incompleto;Valença, RJ, Brasil
2554;linha 2554;endereco incompleto;Piracaia, SP, Brasil
2606;linha 2606;endereco incompleto;Angra dos Reis, RJ, Brasil
2624;linha 2624;endereco incompleto;Angra dos Reis, RJ, Brasil
2628;linha 2628;endereco incompleto;Angra dos Reis, RJ, Brasil
2646;linha 2646;endereco incompleto;Mairipotaba, GO, Brasil
2648;linha 2648;endereco incompleto;Silvânia, GO, Brasil
2650;linha 2650;endereco incompleto;Silvânia, GO, Brasil
2656;linha 2656;endereco incompleto;Pirenópolis, GO, Brasil
2657;linha 2657;endereco incompleto;Santo Antônio de Goiás, GO, Brasil
2665;linha 2665;endereco incompleto;Angra dos Reis, RJ, Brasil
